,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1444079161,0.996815,0.002331,0.004614,-0.99679,0.002558,0.000412,0.000448,-0.000541,618.751929,223.246192,97.503453,-568.776302,1032.508157,-0.592,-55.824,-1030.912,-0.5413537957086791,-0.6469830852351219
1444079221,0.996864,0.003557,0.005495,-0.996832,0.002279,9.1e-05,-8.2e-05,2e-06,618.834334,223.362545,97.553554,-568.811684,1031.283026,0.0,-56.096,-1029.664,2.8200865572642075,-1.7643497759347821
1444079281,0.996825,0.00418,0.005776,-0.996785,0.002579,1.1e-05,0.000179,2.6e-05,618.632716,223.252828,97.686277,-568.612604,1031.643125,2.912,-57.696,-1029.92,3.283723747679575,-1.7351521460962662
1444079341,0.996874,0.004179,0.005551,-0.996836,0.002497,-6e-06,-2e-05,4.2e-05,618.757055,223.281584,97.712646,-568.731966,1032.123385,2.64,-56.4,-1030.496,0.6404083430698148,-0.9250069522877119
1444079431,0.997371,-0.008383,-9e-06,-0.994184,0.105566,-0.001074,-0.000934,0.00693,613.681143,86.943267,97.073641,-599.63413,1042.973796,66.458947,-101.187368,-1016.269474,8.601541748751904,-0.5634141585288626
1444079492,0.99712,0.008818,-0.003789,-0.997054,0.003592,-6.7e-05,-9.3e-05,-0.000549,612.410648,88.097293,97.946229,-598.072823,1042.171843,-41.616,-296.384,-919.024,4.949886098163012,-0.33929438610491514
1444079552,0.997139,0.009501,-0.003458,-0.997075,0.003241,-0.000202,0.000276,0.000252,612.63288,88.084242,98.047529,-598.285758,1035.060518,18.176,-21.648,-1034.352,7.133074713067289,-0.2096324006457086
1444079612,0.997163,0.012498,-0.003761,-0.99707,0.00273,3.3e-05,1.8e-05,-0.0,612.793757,88.14817,98.164211,-598.421959,1047.45355,260.586667,-368.32,-938.986667,3.7473746049409056,-0.7789765948990445
1444079672,0.997344,0.012653,-0.003356,-0.997206,0.009148,0.000204,-0.000291,-0.005925,612.007422,86.701048,95.061483,-598.322632,1033.73104,19.52,-30.544,-1032.832,5.1680769893876874,-0.01906285624965063
1444079732,0.997237,0.013691,-0.003284,-0.99713,0.00313,-0.000107,0.00015,0.000448,611.357989,85.628869,92.797941,-598.175347,1035.696135,20.304,-30.624,-1034.96,4.1168350154350986,-0.19690769659598964
1444079792,0.997262,0.013213,-0.00336,-0.997156,0.003183,2.5e-05,0.000302,-0.000242,611.454853,85.563171,92.846504,-598.276166,1034.715873,18.688,-30.16,-1034.016,1.777786349766359,-0.8894988090549556
