,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1438708458,1.019125,-0.016413,-0.029506,-1.018555,0.002838,-2.3e-05,-0.000356,0.000224,703.855423,-282.505444,-497.125067,-410.448858,-5.584968246327348,-0.13026281466092896,-2.738125194836029,-0.5612101900875501,-1.6594297348271254,-0.710074304644606,-1.363765419201662,-0.5499780736014246,-0.7266165345006678,-0.49895066345155065,-0.4425655851016471,-0.4197432800118712,-0.4151008296483158,1039.8253643,338.5776,-41.708800000000004,-604.464
1438708527,1.027085,-0.003572,-0.049552,-1.007858,0.003094,3.2e-05,-0.000571,0.000102,703.528097,-282.399618,-496.59901,-410.596781,-15.921937,-0.056545,-2.320248,-0.689462,-2.161471,-1.23019,-1.560453,-0.789263,-0.753472,-0.886391,-0.668193,-0.468204,-0.44093,1039.8253642999998,338.57759999999996,-41.708800000000004,-604.4639999999999
1438708579,1.019498,0.004852,-0.014249,-1.015779,0.159587,0.002194,-0.007432,0.088506,695.410341,-254.506982,-501.919795,-408.417347,-5.584968246327348,-0.13026281466092896,-2.738125194836029,-0.5612101900875501,-1.6594297348271254,-0.710074304644606,-1.363765419201662,-0.5499780736014246,-0.7266165345006678,-0.49895066345155065,-0.4425655851016471,-0.4197432800118712,-0.4151008296483158,1021.8007943,-52.8144,376.9696,-464.71999999999997
1438708638,1.014249,-0.000863,-0.031279,-1.013756,0.003227,0.000116,0.000205,1.6e-05,698.929773,-257.60903,-505.385807,-408.318873,-14.72159,0.230375,-2.489722,-0.165685,-1.971971,-0.975583,-2.003644,-0.751346,-0.732314,-0.614393,-0.764177,-0.424389,-0.660192,1031.1344689999999,-163.7104,-121.60319999999999,-785.472
1438708698,1.01596,-0.003673,-0.031779,-1.015449,0.003045,4.5e-05,-0.000291,-0.000183,698.384048,-257.186823,-504.975169,-408.159225,-6.622101,0.69643,-2.059723,-0.456665,-2.10498,-0.954216,-1.929271,-0.946943,-0.850197,-0.553401,-0.600334,-0.43179,-0.72783,1024.4313532,-125.76320000000001,168.93920000000003,-609.0064
1438708759,1.018011,-0.005195,-0.032784,-1.017464,0.00594,6.3e-05,8.7e-05,-6.1e-05,698.151219,-257.151991,-504.802153,-407.996806,-7.204465,1.355535,-2.299699,-0.53363,-2.163407,-1.007595,-1.564203,-0.897031,-1.051315,-0.807104,-0.510789,-0.293821,-0.650441,1024.3013008,-130.6784,170.79519999999997,-604.3184000000001
1438708821,1.01482,-0.004953,-0.032891,-1.014251,0.004957,0.000219,-0.000276,-3.6e-05,697.779815,-257.151328,-504.519853,-407.710975,-10.628984,1.143021,-2.265807,-0.032268,-2.165205,-1.072646,-1.667369,-0.713863,-0.89244,-0.648848,-0.781479,-0.269343,-0.610561,1031.521835,-2.864,-200.496,-1011.68
1438708878,1.009072,-0.00425,-0.029815,-1.008608,0.003604,8.7e-05,0.000486,-7.3e-05,697.26975,-256.459926,-504.568474,-407.213488,-12.467625,1.035587,-2.575094,-0.347838,-2.283489,-1.021389,-1.631911,-1.00459,-0.84525,-0.609749,-0.76449,-0.43501,-0.888068,1028.707779,-1.52,-198.848,-1009.2
1438708938,1.008826,-0.003807,-0.028757,-1.008395,0.00295,1.4e-05,8e-05,-0.000141,696.742498,-256.860525,-505.082922,-405.41516,-10.799513,0.544386,-2.532121,-0.207418,-2.432229,-1.203422,-1.809243,-0.881936,-0.571822,-0.637109,-0.936039,-0.538513,-0.707646,1029.408422,0.272,-199.088,-1009.872
1438708998,1.00723,-0.005319,-0.026579,-1.006845,0.003091,1.9e-05,0.000283,0.000192,696.262399,-257.148021,-505.231846,-404.222385,-8.033331,0.744124,-2.457255,-0.352606,-2.209782,-0.903981,-1.802089,-0.871759,-0.62637,-0.512451,-0.767267,-0.446133,-0.807925,1029.182463,-0.464,-198.176,-1009.808
