,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1449601597,1.000371,0.005318,0.000406,-1.000342,0.002536,-0.00026,0.000162,0.000109,634.234036,174.401032,103.380513,-600.956757,1013.1748592,-283.4426667,286.6512,-497.2533333,-1.426385852172811,2.252212169773062
1449601657,1.000243,0.006822,0.000355,-1.000211,0.002338,7e-05,4.3e-05,-6.2e-05,634.083478,174.502089,103.379288,-600.768468,1018.4437151000002,-158.8074666,293.89439989999994,-376.8864,0.1820351713464808,2.611876053642276
1449601717,1.000811,0.003077,-0.00017,-1.000802,0.002432,-9.6e-05,2.5e-05,0.000307,633.856464,174.194298,102.96345,-600.690103,995.369977,-7.104,-10.346667,-992.96,-3.5068495923111875,2.025692902595777
1449601777,1.001245,0.006925,0.002558,-1.001208,0.002544,0.000105,-5e-06,-0.000144,633.746575,174.64825,102.830368,-600.46522,996.406005,-4.976,-11.52,-996.256,-5.61993622918823,0.9452637260356095
1449601855,1.001354,0.019066,0.024336,-0.996488,0.256446,0.01425,0.017771,-0.141414,622.82139,145.845167,77.741054,-600.261514,1034.180063,-193.696,328.992,-320.752,2.6319154666922113,2.408475854645031
1449601918,1.002472,-0.007053,-0.083214,-0.981169,0.212738,-0.014194,-0.007446,-0.00222,632.006878,151.309538,66.437182,-609.903742,1012.281955,-101.808,597.616,-605.728,3.805893056931988,3.585545344055652
1449601975,1.00182,0.018605,0.003233,-1.001633,0.002849,-3.3e-05,-9e-06,0.000538,637.407427,157.754626,71.725162,-613.398029,1002.290629,-272.272,320.32,-892.96,-2.8045117500489405,2.247472455992453
1449602035,1.001889,0.01844,0.006226,-1.001692,0.003946,-5.1e-05,2.9e-05,0.000961,638.054774,158.014646,71.702399,-614.006484,1002.239715,-301.710769,348.258462,-889.329231,-2.6704571497080094,2.554960244076321
1449602095,1.004284,0.006394,-0.07997,-0.836949,0.488602,-0.010583,0.010717,0.010235,632.45453,151.385706,70.545525,-609.84905,1002.377068,-262.64,432.768,-780.56,0.46370202951448986,2.964758140783057
1449602155,1.001456,0.021933,0.004586,-1.001082,0.037179,9.7e-05,-0.000217,-0.032037,655.288612,161.952439,78.75112,-630.045626,1002.624338,-4.576,619.824,-781.504,0.3736836237802822,2.3883977458551966
