,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1445366534,1.023488,-0.036145,0.013573,1.020384,0.246308,-0.004386,0.000736,0.088154,380.099103,60.889093,49.518162,371.266052,1045.1964638,-252.12261010000003,506.9064640999999,-448.1521497,-0.45254771444320757,0.5649009407752076
1445366594,1.025689,-0.085111,0.075807,1.000483,0.357748,-0.041138,-0.013789,0.120465,391.892641,91.662941,18.88294,379.784908,1050.7653467,148.3153722,801.0635406,-1.4334046000000114,0.507482159058462,-0.054002020001808114
1445366674,1.022835,-0.024485,0.002242,1.022466,0.019397,0.000571,-0.000794,0.000141,407.699779,108.291361,11.516508,392.884878,1040.8159817,-10.734181999999992,440.9370843,-802.5843563000001,1.8396742840218443,-0.5493808668701362
1445366703,1.022907,-0.024167,-0.001467,1.022609,0.004336,2.5e-05,-0.000197,-0.000177,410.791637,109.530539,6.481625,395.8629,1042.256153,-0.3748123000000021,460.91536310000004,-745.9057623,0.5466586930779849,-0.20807415032059393
1445366761,1.023375,-0.024582,-0.001003,1.023053,0.00722,-0.000149,-0.002132,-0.000241,409.860428,109.904118,8.127392,394.764591,1038.9466238,-28.801624399999998,416.7832420000001,-808.4307805000001,-1.8192334456467223,-0.2596813956963149
1445366830,1.021379,-0.024156,-0.00076,1.021088,0.002213,8.1e-05,-0.000809,-0.000513,406.947416,108.195856,11.0385,392.144295,1036.2971776,-18.403383,341.6817956,-912.1332247,-4.548173077101533,0.062245463032733005
1445366881,1.020831,-0.024416,-0.000733,1.020508,0.009575,0.000778,0.000362,0.000684,406.995108,108.233974,11.768824,392.161673,1038.9861560000002,-13.199020100000002,363.695408,-912.6614991999999,-2.046939764105229,0.2535269475513091
1445366941,1.019787,-0.024189,-0.000715,1.019482,0.004072,-0.00105,0.000267,0.000427,406.103325,107.857012,10.450447,391.378063,1039.7837,-0.5466565000000008,374.7986807,-911.4444083000001,-1.8746797730604452,0.1396949779256449
1445367020,1.020065,-0.023294,-0.001217,1.019789,0.002586,0.000359,0.000334,0.000418,406.207424,107.996059,10.412693,391.44861,1010.770341,-17.378462,26.338462,-1010.141538,-2.0553588204588076,-0.12394703031291572
1445367098,1.024422,-0.029482,0.005549,1.021332,0.124164,0.006451,0.006349,0.099204,397.594066,91.29903,8.56658,386.631193,1007.445816,-3.264,13.184,-1007.232,-2.037915039398139,-0.04053375125088875
1445367147,1.021536,-0.040185,0.01441,1.020636,0.003281,-7.1e-05,0.000295,2.6e-05,390.500407,77.735811,6.747547,382.624254,1015.630944,0.426667,15.765333,-1012.928,-2.905618386495052,-0.050258486412914784
1445367218,1.020929,-0.040126,0.013504,1.020037,0.002458,0.000157,8.3e-05,9.3e-05,390.107,72.774883,10.533333,383.113091,1010.69563,-4.416,9.109333,-1010.432,-1.3370061358691325,-0.5381368519578329
1445367239,1.021003,-0.040269,0.008278,1.020155,0.003006,3e-06,0.000191,7.8e-05,390.279284,72.986807,10.860199,383.238928,1011.134837,-3.369412,11.2,-1010.955294,-0.3721361108728996,-0.47959931188936805
1445367296,1.020562,-0.041836,0.005535,1.019681,0.002484,9.8e-05,0.000238,0.000316,389.987471,73.195498,11.096739,382.895111,1012.092225,-0.042667,11.84,-1011.904,-0.8703690026150562,-0.5276105739352135
1445367398,1.0214,-0.03785,0.006869,1.02064,0.009004,-1.6e-05,0.000108,0.001346,390.800485,73.002546,11.206776,383.756439,1018.713014,-115.2,-224.64,-898.24,-1.9131138331912254,0.11912415141254211
1445367453,1.02047,-0.038856,0.005087,1.019701,0.002338,5.4e-05,0.000716,0.000509,390.414929,72.973557,11.245293,383.368429,1010.428914,-2.389333,11.669333,-1010.218667,-0.8149601416350624,-0.4070779759866171
1445367476,1.021561,-0.040257,0.005413,1.020741,0.002729,0.000375,-0.000149,-9.3e-05,390.863727,73.005438,11.284868,383.8183,1012.791561,-2.334118,11.463529,-1012.574118,-0.5761577565924632,-0.47050794227486686
1445367578,1.020238,-0.037585,0.010554,1.01948,0.002703,0.000682,0.000292,0.000185,390.67025,73.373711,10.697687,383.567869,1008.659136,-5.354667,6.144,-1008.469333,-0.7456704791384747,-0.18390647077357883
1445367621,1.020564,-0.037169,0.010579,1.019825,0.002163,0.000427,0.000256,0.000701,390.859396,73.47682,10.948256,383.733616,1011.89823,-7.402667,6.528,-1011.712,-0.5211173201126663,-0.26862601115963536
1445367656,1.020857,-0.036616,0.010704,1.020139,0.002073,-6.8e-05,0.000136,-6.3e-05,391.002473,73.402472,10.913145,383.894623,1011.231145,-5.226667,4.650667,-1011.072,-1.4928988410211155,-0.2102062908899679
1445367733,1.020085,-0.038032,0.013511,1.019277,0.003761,0.000787,0.000746,0.000486,359.945681,89.80633,-7.295038,348.484726,1037.261494,-8.924444,27.271111,-1010.168889,-1.2911960745999105,-0.3137221930066506
1445367795,1.019365,-0.037782,0.013795,1.018565,0.003343,2e-05,-0.000228,7.1e-05,359.512613,89.701132,-7.518726,348.059954,1011.200328,-7.509333,7.296,-1011.008,-1.2531073360552094,-0.37105983749550236
