,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1448907005,1.02605,-0.039414,-0.00051,1.025286,0.016988,-0.01179,-0.008917,-0.007534,127.490655,57.387004,-23.569836,-111.37555,1006.213471,42.6862154,195.732173,-916.1666491,0.36781885376695883,1.4368558967007528
1448907060,1.026225,-0.039524,0.00344,1.013164,0.146557,-0.045725,-0.056198,-0.050059,107.012703,83.729052,-30.848875,-58.377725,1035.9247222999998,189.6090476,763.8854476,97.1511619,5.191492886944168,0.7219178575837852
1448907120,1.026042,-0.007393,-0.026561,1.025665,0.023353,-0.01169,-0.008581,-0.008953,109.477086,91.437947,-17.351407,-57.634221,1038.1294299,328.99756199999996,635.5032029,43.135431499999996,-0.8603890020302647,1.5512253727086154
1448907331,1.027755,-0.007061,-0.00024,1.024578,0.219538,-0.017424,-0.002952,-0.15545,79.16831936384439,41.95815762120519,-24.297750649733025,7.371307565369946,1013.339259,23.232,159.424,-986.176,4.937674421527722,0.6913154414157111
1448907413,1.026951,-0.022759,0.009474,1.026648,0.018291,-0.012116,-0.008424,-0.007467,116.299612,62.135437,-44.237566,-87.791863,1003.104127,15.2,48.36,-1001.74,0.06994811411432914,1.5945408137349852
1448907473,1.026652,-0.022705,0.007347,1.026369,0.018052,-0.012803,-0.008811,-0.007772,116.329615,62.33863,-43.63599,-87.989999,1001.953815,15.908571,49.051429,-1000.571429,0.3984181705956681,1.4872975716642964
1448907533,1.026926,-0.02295,0.008122,1.026627,0.020022,-0.012759,-0.008125,-0.007627,115.317952,61.945247,-44.22692,-86.628669,1000.244237,14.229333,48.96,-998.869333,0.8686138747769785,1.3222108069899476
1448907580,1.026328,-0.027003,0.006375,1.025928,0.020886,-0.013477,-0.008328,-0.007732,115.756787,62.040305,-44.830584,-86.833477,1001.747604,17.770667,50.197333,-1000.256,1.6631389401385135,1.213134869151847
1448907669,1.026646,-0.027489,0.004262,1.026261,0.018497,-0.013017,-0.008079,-0.007547,115.903261,62.309659,-44.260885,-87.130013,1001.299454,16.234667,51.541333,-999.765333,1.9682738301328522,1.3702896561622717
1448907690,1.026868,-0.029281,0.004494,1.026429,0.018674,-0.01295,-0.008349,-0.008101,115.850124,62.638553,-43.630964,-87.140178,1004.400104,15.594667,45.354667,-995.754667,1.09313928537649,1.3163059530372274
1448907750,1.026936,-0.024455,0.005719,1.026609,0.019161,-0.012819,-0.008218,-0.007978,115.194197,62.231924,-43.414633,-86.670379,1002.753305,21.610667,30.122667,-1001.984,0.36205285252143343,1.299631715422047
1448907810,1.026907,-0.023869,0.005053,1.02661,0.018731,-0.012666,-0.007868,-0.008112,115.185864,62.318707,-43.241141,-86.684031,1003.350484,20.2,30.36,-1002.62,0.06890878520172053,1.5651143530872547
1448907870,1.02686,-0.024966,0.004018,1.026539,0.018134,-0.012824,-0.008123,-0.007717,115.283681,62.452776,-43.219392,-86.728137,1000.522903,20.594286,31.794286,-999.725714,0.8585747290727761,1.456277591144091
