,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1464129912,1.011438,-0.029586,0.002907,1.010972,0.014675,-0.004108,-0.007797,-0.007596,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,-5.201927,1.217395,2.04983,-0.365971,0.817284,-0.283171,0.272052,-0.337288,0.354223,-0.098733,0.067044,-0.278362,-0.018058,1035.3681617000002,-90.44842769999998,284.0373684,-268.6585084
1464129950,1.011233,-0.029709,0.002341,1.010757,0.013265,-0.004305,-0.007829,-0.008411,62.193865,-60.873198,12.547538,-1.765584,0.01808,1.207044,1.787375,-0.603878,0.905904,-0.537294,0.402896,-0.440327,0.350728,-0.16662,0.013138,-0.234945,-0.003979,1027.6537113999998,91.8889025,191.7727179,-809.900472
1464130031,1.013422,0.056145,0.198593,0.991466,0.058436,-0.004244,-0.00387,-0.002701,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,-2.858104,1.33539,2.531702,-0.068975,0.884348,-0.329945,0.449299,-0.35196,0.169774,-0.289214,-0.048167,-0.165857,0.016213,1036.9803024999999,4.132946400000003,390.5674899,-193.29535520000002
1464130109,1.014891,0.014083,0.18007,0.997869,0.078685,-0.007999,-0.010414,-0.003221,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,2.291921,2.06586,2.350479,-0.221071,0.708694,-0.562158,0.278347,-0.493586,0.273363,-0.344978,0.009649,-0.154313,0.022254,1019.5061383,168.76663390000004,60.829170999999995,-674.9018118
1464130130,1.017487,-0.012134,0.148759,1.005029,0.131788,-0.002919,-0.013659,-0.013283,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,-1.226563,1.861671,2.617034,0.132733,0.73834,-0.118241,0.305049,-0.248798,0.10032,-0.28166,-0.042186,-0.23672,0.056476,1029.1925294,124.73173339999998,216.4597334,-479.21584759999996
1464130190,1.012101,-0.034478,0.00065,1.01149,0.011542,-0.004422,-0.008372,-0.006357,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,2.661963,1.650604,1.722301,0.072018,0.623855,-0.387186,0.195184,-0.492246,0.176113,-0.137462,-0.050696,-0.161661,0.035016,1019.8228515000001,222.86091079999997,9.162791400000014,-429.8389195
1464130262,1.011455,-0.033629,5.1e-05,1.010869,0.01156,-0.004693,-0.007688,-0.006435,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,3.647178,1.032875,1.971674,-0.142185,1.032033,-0.38031,0.450664,-0.376921,0.333878,-0.156441,-0.038718,-0.202758,0.078789,1027.759939,22.328491800000005,280.44225800000004,-302.221167
1464130343,1.010191,-0.032903,0.000483,1.009625,0.011451,-0.00415,-0.007219,-0.006732,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,0.478482,1.866127,2.204136,-0.059597,0.829597,-0.29226,0.187209,-0.33427,0.251075,-0.143799,0.007064,-0.201249,0.073336,1024.019269,121.11908579999997,283.15779050000003,-604.884419
1464130371,1.011445,-0.030659,0.002092,1.010896,0.021549,-0.004182,-0.007224,-0.001329,100.31501292884052,-63.685495729175386,16.722988235244873,-7.086582324403516,-4.232155,2.1017,1.94083,-0.159108,0.807694,-0.34773,0.220846,-0.443599,0.15719,-0.230095,0.044454,-0.104304,0.058584,1088.3566701,167.28264910000001,359.4321523,-79.5777641
1464130451,1.01206,-0.03076,0.000594,1.011567,0.012554,-0.00416,-0.007963,-0.006994,61.605615,-60.638127,10.600025,0.784937,1.634464,2.033018,1.830359,-0.315233,0.751722,-0.251678,0.298112,-0.377365,0.150669,-0.142861,-0.009734,-0.229015,0.009228,1027.6537113999998,91.8889025,191.7727179,-809.900472
