,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1440000455,1.004012,-0.027821,0.025006,-1.002564,0.072271,0.002099,-0.007737,0.043084,348.154912,-286.319909,-41.935078,-193.530572,1125.3639102,340.827491,167.8464,-614.2498909999999,0.6689673920207987,2.1063471686914452
1440000515,1.002203,-0.077047,0.021874,-0.998976,0.009555,0.000155,0.000238,-0.000539,314.386397,-245.80785,-43.033833,-191.179804,1159.5683961,444.21789099999995,274.1952,-531.611491,8.885786594856109,1.439183105552424
1440000575,1.002147,-0.076462,0.021668,-0.998973,0.004672,-0.000264,-0.000161,-2.5e-05,313.754037,-245.783351,-40.400495,-190.784218,1163.909017,455.63869099999994,329.6848,-420.189091,1.50474597096213,2.0474933509945656
1440000635,1.001937,-0.073926,0.02227,-0.998945,0.004462,-0.000161,-0.000105,-2.4e-05,313.603914,-245.615757,-40.352309,-190.763551,1163.909017,455.638691,329.6848,-420.189091,2.582851954808801,1.8723856887341472
1440000695,1.005683,-0.077118,0.021671,-1.002021,0.032356,-7.9e-05,0.000486,-0.002477,315.34155,-245.917773,-50.007738,-190.94287,1009.72495,-314.36319999999995,326.22560000000004,-347.456,10.402328453585424,0.96266239389487
1440000756,1.005005,-0.027316,0.021589,-1.004386,0.004447,1e-06,-0.000286,-0.0001,308.207109,-236.496506,-58.939524,-188.641578,1010.0572904,-238.2464,400.4464,-572.624,3.091594202076633,1.969758492038202
1440000816,1.002768,-0.026417,0.020758,-1.002179,0.004957,0.000111,-4.9e-05,-6.8e-05,313.800173,-241.292346,-66.406735,-189.3075,1012.0034706000002,-179.10399999999998,508.4384,-582.3248,1.8471979571780512,1.379243881588724
1440000876,1.002623,-0.02572,0.022409,-1.002026,0.004332,-0.000199,0.000429,0.000188,314.059958,-241.805101,-65.739704,-189.317311,1004.5960808,-383.912,382.45919999999995,-570.0559999999999,-0.767836235511735,2.4578511974581514
1440000936,1.002355,-0.026658,0.023549,-1.001702,0.00567,-0.000507,-8.4e-05,-0.000454,313.61063,-242.15525,-65.841044,-188.082119,1011.7307602999999,-123.01759999999999,539.2768,-594.5616,2.4123123379946585,2.480955129459718
1440000996,1.002615,-0.023615,0.024897,-1.001995,0.004522,0.000182,-3.3e-05,0.000137,314.018943,-242.100614,-65.495752,-188.955542,1011.7307602999999,-123.01759999999999,539.2768,-594.5616000000001,3.3326817423749553,2.200469352541938
