,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1439926672,0.996008,0.009499,0.017503,-0.995799,0.006013,-0.000594,4.8e-05,0.002603,182.16499,9.849651,141.453574,-114.352779,-4.302207,1.333219,-1.816057,-0.31075,-2.019947,-1.14735,-1.800577,-1.122809,-0.742774,-1.005797,-0.631842,-0.647619,-1.025409,992.967797,-7.056,-18.24,-991.952
1439926732,0.992964,0.009785,0.01855,-0.992729,0.004887,7.1e-05,8.3e-05,0.000816,182.218463,10.030597,141.52633,-114.332387,-5.479957,1.35865,-1.789041,-0.58511,-2.055961,-1.306611,-1.628402,-0.839599,-0.752351,-0.901584,-1.009671,-0.873449,-0.679805,994.824577,-7.76,-17.12,-994.592
1439926792,0.992719,0.010121,0.018593,-0.992486,0.004312,-0.000333,0.000286,0.000923,182.453149,9.910483,141.661039,-114.550113,-5.986636,0.688675,-1.499776,-0.580843,-2.077321,-1.31579,-1.734472,-1.032822,-0.615176,-0.946322,-0.750208,-0.767158,-0.884514,995.400803,-7.456,-17.968,-995.152
1439926852,0.99281,0.010491,0.016203,-0.992618,0.004632,-2.6e-05,2.6e-05,0.001493,182.253377,10.031482,141.428441,-114.509117,-4.366051,1.115847,-1.742524,-0.45945,-2.000236,-1.268374,-1.751085,-0.996501,-0.69677,-0.929113,-0.761209,-0.880161,-0.911539,995.626878,-8.384,-18.544,-995.36
1439926912,0.992537,0.01021,0.015705,-0.992355,0.004486,0.000268,0.000112,0.000222,182.191171,9.935921,141.363181,-114.499346,-7.342541,1.212919,-1.823243,-0.372496,-2.091199,-1.11231,-1.678216,-1.148811,-0.772987,-0.903018,-0.736371,-0.759185,-0.918147,995.321404,-7.136,-20.096,-995.04
1439926972,0.992292,0.010743,0.015306,-0.992107,0.005023,7.7e-05,0.000109,0.001107,182.163882,9.939018,141.355685,-114.464934,-6.285225,1.219094,-1.86474,-0.309366,-2.231914,-1.1739,-1.549876,-1.019092,-0.789089,-1.005834,-0.664963,-0.799804,-0.834823,995.495963,-5.712,-20.16,-995.216
1439927032,0.993671,0.009269,0.014149,-0.993473,0.019728,-0.000103,0.000117,-0.012634,183.864846,6.378727,143.766551,-114.323253,-9.235544,0.908891,-1.699719,-0.633936,-2.270388,-1.149174,-1.557478,-0.750516,-0.750057,-1.053527,-0.929949,-0.938212,-0.745218,996.090895,-8.304,-21.632,-995.76
1439927092,0.992424,0.00922,0.013181,-0.992282,0.005581,-1e-05,-6e-06,0.001894,186.738259,0.572985,147.982425,-113.889501,-8.377943,0.144697,-1.760805,-0.567767,-2.445633,-1.266463,-1.566958,-0.877217,-0.687426,-0.977166,-0.888457,-0.679001,-0.638836,995.344149,-7.392,-21.712,-994.928
1439927152,0.992482,0.00791,0.014061,-0.992339,0.005793,1.8e-05,-2.9e-05,-0.000219,186.903556,0.57586,148.117134,-113.985725,-7.518806,1.001783,-2.119299,-0.568986,-2.357393,-1.18078,-1.356559,-1.019006,-0.785026,-0.839547,-0.664131,-0.897481,-0.952473,995.805373,-1.248,-26.256,-994.896
1439927212,0.992638,0.010751,0.018151,-0.992398,0.004675,-0.000182,5.1e-05,0.000922,188.805905,-3.513777,150.07096,-114.439445,-7.825368,-0.236296,-1.857181,-0.538063,-2.12893,-1.361048,-1.43441,-0.849591,-0.804148,-0.993721,-0.865367,-0.829529,-0.648085,995.629793,-4.464,-21.824,-995.28
1439927272,0.993021,0.008946,0.01468,-0.99282,0.035702,-0.000115,0.000293,-0.02828,187.245663,-13.897797,148.374425,-113.12948,-8.814369,0.90511,-2.323952,-0.301594,-2.175839,-1.536047,-1.466081,-0.978659,-0.732401,-0.843297,-0.711303,-0.71188,-0.787726,1010.894874,-3.456,-30.8,-998.064
1439927332,0.992427,0.011458,0.009559,-0.9923,0.006221,-0.000186,9.9e-05,0.001948,183.420161,-20.707589,144.145102,-111.511088,-11.675194,1.249898,-1.914299,-0.431173,-2.042035,-1.110495,-1.669698,-1.063413,-0.704944,-0.824241,-0.803149,-0.80059,-0.899939,996.240164,-4.4,-24.864,-995.68
1439927392,0.992388,0.011648,0.013361,-0.992212,0.005607,1.9e-05,0.000105,0.001447,183.669408,-20.285088,144.291495,-111.810594,-8.015825,1.371627,-2.192305,-0.404984,-1.980583,-1.165024,-1.631126,-1.254516,-0.73468,-0.699107,-0.536867,-0.716104,-0.99999,994.334027,-4.144,-22.656,-994.016
1439927452,0.992312,0.017627,0.010607,-0.992087,0.005288,0.00019,-2.4e-05,-0.001485,177.068386,-40.996947,133.825669,-108.451033,-7.015643,1.14378,-1.985096,0.006318,-2.649166,-1.059968,-1.546705,-0.957381,-0.964064,-1.139526,-0.881821,-0.598519,-0.735745,994.417971,-2.656,-24.384,-994.032
1439927512,0.993384,0.020179,0.002032,-0.993157,0.00675,-3.7e-05,-5.8e-05,3.2e-05,176.339053,-40.890105,132.687369,-108.700621,-9.30578,1.082488,-1.655086,-0.085969,-2.429196,-1.288063,-1.711026,-0.95759,-0.860495,-0.992896,-0.967196,-0.722958,-0.647536,996.323496,-0.08,-30.448,-995.808
1439927572,0.991574,0.019076,0.00118,-0.991366,0.004628,-0.000404,-3.2e-05,0.000666,176.276694,-42.301834,132.233196,-108.61438,-9.039572,1.19977,-1.860725,-0.289385,-2.36747,-1.1528,-1.772685,-0.761398,-0.949607,-0.972527,-0.94583,-0.868434,-0.699858,995.97384,-0.08,-28.768,-995.504
1439927632,1.013328,0.215737,-0.397116,-0.518706,0.787399,0.01308,0.075594,0.083801,258.603462,-65.540959,11.377039,-171.526059,-13.077086,0.6291,-2.421931,-0.287131,-2.390734,-1.209274,-1.529656,-0.777424,-0.834526,-0.920527,-1.050846,-0.834871,-0.677249,1011.19411,239.424,-243.232,-784.448
1439927692,1.009157,0.195639,-0.549873,-0.594872,0.876424,0.029457,0.043049,0.022176,121.236333,-7.524443,89.909984,-77.132308,-12.575683,0.641213,-1.957091,-1.183623,-2.015348,-0.683154,-1.142623,-0.721613,-0.735217,-0.782235,-0.693418,-0.458625,-0.480085,1034.262585,159.952,-615.648,-366.56
1439927752,1.000035,-0.739803,0.044243,-0.571127,0.642966,0.003242,-0.014885,-0.017729,135.604396,-42.975848,102.900441,-75.861426,-12.863631,-0.122756,-1.497902,0.329337,-1.065444,0.071243,-0.739414,-0.483613,-0.522041,-0.773147,-0.815859,-0.38825,-0.553938,993.710735,-442.736,-53.648,-824.224
1439927812,0.993067,-0.219698,-0.257738,-0.927505,0.325275,-0.00778,-0.004313,0.007844,135.224474,-32.317531,94.941165,-90.664012,-7.809052,-0.322103,-0.238651,0.475306,-0.588455,-0.043351,-0.908375,-0.689625,-0.789081,-0.648986,-0.535018,-0.465554,-0.483613,1002.535825,-577.888,337.216,-236.896
1439927872,0.993637,0.245434,-0.397044,-0.831617,0.547031,0.010732,0.016919,0.032272,142.709208,-14.731963,98.410299,-102.109586,-11.017714,0.880961,-0.997039,0.0079,-0.939201,-0.096118,-0.86293,-0.80134,-0.883095,-0.832547,-0.55846,-0.347143,-0.578564,1017.413748,-206.144,833.392,-242.352
1439927932,0.996262,-0.218044,0.371368,-0.897369,0.089083,-0.002584,-0.002805,0.000132,181.083004,-20.909331,149.920597,-93.194091,-9.421167,0.073745,-1.032032,-0.663983,-1.06433,-0.059911,-0.74745,-0.413878,-0.651211,-0.763919,-0.734837,-0.520996,-0.57641,1015.179898,-212.816,577.44,-471.68
1439927992,1.004653,-0.326342,-0.144201,-0.841725,0.828761,-0.012061,0.041194,0.086123,134.952781,-29.128642,96.876031,-86.807824,-14.140544,1.987202,-0.780432,-0.454831,-0.701309,-0.177653,-0.586891,-0.359874,-0.753842,-0.651317,-0.862445,-0.421005,-0.564783,1007.485546,-5.968,-6.464,-803.568
1439928053,1.006198,0.104769,-0.421432,-0.896851,0.536557,0.01567,-0.027282,-0.044914,131.963397,24.001018,90.907621,-92.462532,-9.96514,2.629549,-0.710578,0.090153,-0.620255,-0.463515,-0.972787,-0.785242,-0.683534,-0.832623,-0.945584,-0.395431,-0.662658,1017.40011,248.656,-893.84,-383.168
1439928112,1.008719,-0.350225,0.142112,-0.784923,1.0074,0.039094,-0.004781,0.021818,148.323374,15.389288,125.077984,-75.70785,-13.950615,2.121582,-0.783526,-0.218668,-0.818935,-0.179822,-0.93632,-0.462213,-0.712453,-0.681893,-0.81016,-0.435483,-0.509596,1045.762807,543.504,-583.904,-113.776
1439928172,0.993888,0.085963,-0.351244,-0.916416,0.483773,0.000177,-0.007909,-0.008345,128.241545,18.457178,86.292692,-93.028407,-5.658337,2.342619,-2.419676,-0.767021,-1.085618,-0.631466,-0.745158,-0.368767,-0.344252,-0.410244,-0.564945,-0.404868,-0.592177,1022.397203,215.536,-929.248,-350.464
1439928219,1.002367,0.003081,-0.2361,-0.927592,0.807835,-0.014489,-0.001547,0.048988,128.88392,22.698783,73.046929,-101.074062,-10.213761,1.116519,-0.856703,-0.461574,-0.796962,-0.270765,-0.654917,-0.313424,-0.617565,-0.526862,-0.6735,-0.425978,-0.619007,1023.223165,263.36,-935.104,-292.64
1439928279,0.999923,0.038875,0.005076,-0.972119,0.784868,0.005754,0.018449,-0.0278,130.176322,42.103984,53.054709,-110.721328,-11.112412,0.800163,-1.096515,-0.774973,-1.382548,-0.544836,-0.806538,-0.353268,-0.724139,-0.419276,-0.765176,-0.50363,-0.52956,1059.197158,-263.584,-141.104,310.64
1439928339,1.002984,-0.056913,0.062998,-0.94673,0.831116,0.010972,0.023963,-0.051035,137.852629,55.965126,53.329858,-112.577837,-5.453274,-3.097535,-2.817587,-1.402822,-1.051344,-0.934143,-1.230508,-0.626061,-0.778395,-0.60067,-0.717279,-0.497295,-0.560042,1042.57198,523.28,-654.656,-212.08
1439928399,0.999274,-0.118199,-0.144426,-0.942873,0.591309,-0.015497,-0.041319,-0.052212,131.484229,46.769195,39.160536,-114.937346,-9.4757,0.773148,-0.763455,-0.56292,-1.052419,-0.637989,-0.834036,-0.404505,-0.77264,-0.482887,-0.718182,-0.478947,-0.595035,1019.118317,-244.752,-901.536,-265.296
