,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1445379289,1.021536,0.013043,0.024509,-1.021152,0.003563,0.000357,0.0001,6e-06,881.095644,326.514622,123.781502,-808.946604,-5.881202,0.089136,-1.617223,-0.694221,-1.541853,-1.06722,-1.462382,-0.784355,-0.791251,-0.754829,-1.047684,-0.742519,-0.976559,1038.0061852000001,156.91946659999996,206.71840000000003,-293.5045334
1445379827,1.016244,0.033287,0.010113,-1.010085,0.081399,-0.009656,-0.009806,-0.008466,872.718168,305.631912,107.476831,-810.347522,-15.851414,1.178637,-1.546937,-0.561483,-1.542824,-0.910334,-1.318971,-0.633182,-1.041624,-0.789571,-1.006486,-0.852472,-0.876262,954.42446,40.496,6.352,-953.104
1445379887,1.014787,0.00818,0.018168,-1.014584,0.002299,-9.1e-05,6e-06,-9e-05,872.942523,305.068825,107.936309,-810.746756,-3.623119,1.37247,-1.423038,-0.542,-1.636643,-0.935643,-1.168461,-0.655513,-0.970046,-0.730619,-1.094439,-0.893096,-0.899352,956.254732,41.184,6.032,-955.232
1445380018,1.017075,0.015548,0.024611,-1.016652,0.004793,0.000291,-0.000139,-0.000133,891.441648,308.924448,168.567662,-819.034561,-12.395246,2.356545,-1.788253,-0.884201,-1.906888,-0.680374,-1.545181,-1.039212,-0.678545,-0.621032,-1.215672,-0.786406,-1.007727,954.347022,50.48,-17.424,-952.736
1445380079,1.015586,0.016368,0.022274,-1.015201,0.002603,-0.000521,0.000167,6.6e-05,891.011367,309.197393,168.925958,-818.389354,-9.7801,2.059038,-1.437294,-0.220439,-2.08393,-1.200851,-1.436169,-0.664618,-0.887189,-0.741791,-1.097661,-0.86846,-1.03372,955.994173,48.832,-18.576,-954.48
1445380139,1.014059,0.016918,0.020218,-1.013709,0.002721,-8.1e-05,9.1e-05,2.2e-05,890.158179,309.540889,166.595718,-817.808499,-11.604902,2.085742,-2.024907,-0.439976,-1.361808,-1.393117,-1.695664,-0.589557,-0.802053,-0.789665,-1.050164,-0.714285,-1.132505,961.101458,118.88,-385.991111,-835.555556
1445380199,1.013859,0.019398,0.023153,-1.013276,0.030063,0.000455,0.000773,-0.006157,888.778654,305.944762,167.132505,-817.550034,-9.210547,1.772424,-1.526991,-0.650052,-1.57471,-0.890584,-1.68186,-0.880301,-0.703807,-0.766026,-1.08819,-0.799172,-1.147231,955.167068,61.936,6.112,-951.424
1445380259,1.013238,0.050682,0.021762,-1.00571,0.002452,-4e-05,0.000305,-5.1e-05,888.902954,308.532006,167.387211,-816.634507,-10.314353,1.636095,-1.658083,-0.36845,-1.825021,-0.942874,-1.275661,-0.711092,-0.904413,-0.871603,-1.24713,-0.947127,-1.093131,953.516,50.08,0.384,-952.128
1445380319,1.012744,0.015814,0.020338,-1.01241,0.002413,0.000118,-2.4e-05,2e-05,891.932211,316.294838,165.319342,-817.416038,-10.65655,2.481562,-1.839298,-0.597695,-1.560423,-0.77464,-1.583842,-1.123018,-0.828954,-0.654776,-1.317302,-0.938024,-0.993362,956.282879,49.104,-4.56,-954.928
1445380379,1.012926,0.015615,0.021373,-1.012577,0.00206,-7.3e-05,7.7e-05,-3.4e-05,891.805642,316.276539,165.258677,-817.297285,-11.767974,2.11144,-1.379544,-0.848869,-1.616811,-0.545309,-1.286106,-1.032449,-1.069409,-0.746068,-1.453765,-0.905074,-0.932642,954.144743,49.376,-6.64,-952.768
