,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1440627472,0.978119,-0.002142,0.013074,0.978015,0.054705,0.041975,0.023354,0.006446,230.279897,-33.632418,115.948869,-196.095671,6.820137,0.295978,1.061907,-0.24701,0.252074,-0.588408,-0.052019,-0.277376,-0.325477,-0.131672,-0.068452,-0.220993,-0.162483,1000.877008,10.794667,25.792,-1000.405333
1440627533,0.978315,-0.000889,0.013128,0.97822,0.098688,-0.017685,-0.085444,0.003421,230.562398,-33.759728,115.905175,-196.431222,6.385852,0.562504,1.135485,-0.232385,0.277427,-0.498213,-0.057175,-0.401234,-0.331498,-0.161688,-0.141373,-0.177377,-0.082435,1000.650371,10.88,25.834667,-1000.170667
1440627593,0.978582,-0.000404,0.012593,0.978484,0.046329,0.00542,0.043081,-0.007191,230.679878,-33.948055,116.005207,-196.477705,8.577801,0.301324,1.228179,-0.123769,0.288884,-0.607492,-0.080354,-0.217811,-0.339721,-0.186377,-0.145521,-0.331551,-0.158823,1000.672763,12.754286,26.445714,-1000.16
1440627654,0.97864,-0.000241,0.012321,0.978557,0.111327,-0.03044,-0.095071,-0.008453,230.743288,-33.7929,115.884253,-196.650179,7.447237,0.394084,1.180179,-0.26675,0.24711,-0.524707,-0.150618,-0.366087,-0.411027,-0.157032,-0.117343,-0.241024,-0.024755,1002.673753,11.105882,28.178824,-1002.127059
1440627712,0.978938,0.007145,0.009338,0.978865,0.063615,-0.018909,-0.049655,-0.004198,230.272313,-34.893258,116.597828,-195.480271,6.461061,0.015284,1.195194,-0.282985,0.347053,-0.432626,-0.036499,-0.228154,-0.274043,-0.072953,-0.175941,-0.333467,-0.124688,1002.509664,60.074667,41.216,-970.794667
1440627771,0.978346,-0.007163,0.007106,0.978288,0.049841,0.008424,-0.021753,-0.033684,229.499471,-34.71336,115.359805,-195.338218,7.182487,0.238842,1.099009,-0.198792,0.360073,-0.521174,-0.018006,-0.305273,-0.34643,-0.083393,-0.15196,-0.309426,-0.120109,1001.70099,8.914286,30.491429,-1001.097143
1440627837,0.977991,-0.009516,0.008113,0.977907,0.102432,-0.030074,-0.083559,-0.009226,229.652118,-34.502206,115.286981,-195.597884,8.014406,0.278735,1.080301,-0.241369,0.316765,-0.481862,-0.123653,-0.298959,-0.370574,-0.07559,-0.114519,-0.312704,-0.167508,1003.046067,74.7,29.96,-975.34
1440627877,0.977983,-0.005593,0.008191,0.97793,0.134259,-0.028445,-0.115465,-0.011611,229.647659,-37.957991,115.530873,-194.770925,6.492162,-0.129597,1.025123,-0.338829,0.244465,-0.401655,-0.189488,-0.179203,-0.350859,-0.077014,-0.210996,-0.24721,-0.123735,1002.066027,12.864,48.192,-997.888
1440627938,0.978697,3e-06,0.007367,0.978651,0.119304,-0.022995,-0.103355,0.004918,228.251073,-36.205398,115.638387,-193.43056,6.697437,0.307284,1.093697,-0.270602,0.343294,-0.433618,-0.131386,-0.282885,-0.359695,-0.097562,-0.156264,-0.222478,-0.108854,1001.050695,7.616,31.552,-1000.448
1440627998,0.978266,-0.003707,0.008012,0.978216,0.121747,-0.01152,-0.105335,0.001515,228.660322,-35.683727,115.514431,-194.083961,5.909278,0.364329,1.110377,-0.240237,0.340728,-0.398026,-0.124005,-0.384862,-0.42099,-0.145778,-0.199802,-0.213386,0.0159,1001.241985,9.557333,31.274667,-1000.618667
