,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1445452132,1.002297,-0.063946,0.004038,-1.000232,0.012522,0.000177,3.5e-05,0.000191,895.663406,186.309841,144.007243,-864.154107,1028.4605503,-206.2245333,526.8208,-483.1808,1.4309166589495501,-1.0450725369321938
1445452192,1.002121,-0.061054,0.004345,-1.000227,0.010756,0.000257,0.000446,-0.000333,895.139393,185.037985,142.591239,-864.119269,1027.9408806,-294.84373330000005,580.984,-470.23519999999996,2.025455032502434,-0.4423559799133435
1445452584,0.999391,-0.082495,0.010558,-0.995743,0.034583,0.002112,-0.000167,0.012274,881.943872,187.838572,133.527624,-851.289174,1024.3198469000001,-389.29599999999994,646.1135999999999,-13.187999999999999,1.773290596519846e-15,-1.5467718668008395e-17
1445452645,1.004032,-0.070968,0.018972,-1.001307,0.003081,7.1e-05,0.000546,7.1e-05,875.781502,182.298267,128.229034,-846.945068,1020.5273569999997,-253.49973329999997,486.9667810000001,-355.80929530000003,1.7732909632320358e-15,-1.3273543587260893e-17
1445452706,1.003738,-0.065981,0.01143,-1.001477,0.015104,0.000812,-3.9e-05,0.000201,874.765922,181.007075,128.19871,-846.176976,1017.9353398999999,-85.17760000000001,492.4832,-304.6184,4.7273631513938374,-1.050501992901172
1445452766,1.005637,-0.066654,0.015273,-1.003306,0.002946,0.000326,0.000375,6.1e-05,874.664295,181.177374,127.802079,-846.09562,1017.7813487,-91.90613330000001,449.4106667,-380.07866670000004,3.0180747586961054,-1.169923346330047
1445452826,1.003838,-0.069484,0.018899,-1.001197,0.017904,-0.000562,-0.000769,-0.00011,874.759122,181.262193,127.358205,-846.242185,1017.9353398999999,-85.17760000000001,492.48319999999995,-304.6184,3.2787631225770677,-0.7237858603921126
1445452886,1.003745,-0.067062,0.014168,-1.001377,0.010333,-0.001941,-0.000783,0.00026,874.416901,181.086182,127.805815,-845.858778,1017.9353398999999,-85.17760000000001,492.4832,-304.6184,5.076684658540034,-0.8607533838817246
1445452946,1.003354,-0.064174,0.015347,-1.001172,0.003675,-7e-05,0.000181,-0.000219,874.574008,181.150346,127.721874,-846.020213,1019.4473767,-62.730133300000034,489.67238100000003,-332.68609530000003,0.6752304405618775,-0.33195458737475125
1445453006,1.002741,-0.06796,0.013832,-1.000321,0.003199,-4.8e-05,-0.0004,0.000151,874.418746,180.785138,127.58124,-845.959038,1019.4473767,-62.7301333,489.672381,-332.6860953,0.77015077369667,-0.7771725900742217
1445453066,1.003731,-0.064267,0.017008,-1.001513,0.003762,-1.9e-05,0.000147,-2e-06,873.90535,180.853257,127.664302,-845.401236,1017.7813487,-91.9061333,449.4106667,-380.07866670000004,2.7890426350440953,-0.6224520772431411
1445453126,1.003641,-0.064849,0.017533,-1.001373,0.004239,-0.000313,-0.000516,-0.000147,873.621536,180.526504,127.611784,-845.185634,1018.3479871,-102.3328,499.4937143,-344.12742860000003,3.6987128532708016,-0.35402577319453676
1445453186,1.003977,-0.066873,0.019728,-1.00154,0.004212,-6.8e-05,-1.7e-05,3.9e-05,873.153351,180.389606,127.59838,-844.732976,1017.7387208,-27.8949333,467.10598100000004,-458.7188953,2.8543104339289704,-0.6840132350514503
1445453246,1.004268,-0.06589,0.018966,-1.001915,0.003289,7e-06,7.4e-05,-0.0002,872.909985,180.488708,127.475985,-844.478714,1017.0778252999999,29.043466699999993,436.542781,-565.3532953,2.50216299332841,-1.0064244423149549
1445453306,1.004581,-0.066328,0.019845,-1.002187,0.002586,6.6e-05,9.6e-05,0.000156,872.605319,180.395319,127.476644,-844.183667,1016.2634779999998,-101.56979040000002,361.23078100000004,-642.2712382,-2.917593614224449,-0.8089066778646194
1445453366,1.004744,-0.065246,0.021984,-1.002377,0.002581,0.000175,-7.1e-05,-5e-05,872.23759,180.434213,127.491367,-843.793036,1017.0829462000002,27.540609599999982,373.29798100000005,-534.3768382000001,-1.7081062021311804,-0.8449814467366775
1445453426,1.004951,-0.059151,0.017519,-1.003028,0.008509,-6.4e-05,-0.000103,-0.000243,871.316802,178.23154,126.076241,-843.522419,1016.1958729999999,20.77580959999999,381.504381,-591.5224381999999,-0.9035903156524819,-0.5319984024003167
1445453486,1.003849,-0.063247,0.016875,-1.001637,0.047208,0.000381,0.000801,-7.3e-05,871.460838,178.447763,126.020868,-843.633724,1015.5166947999999,72.1568,443.88731429999996,-506.98262859999994,6.088995686880112,-1.039969930942428
1445453546,1.003843,-0.061307,0.013773,-1.001854,0.014108,9.4e-05,-6.2e-05,-5.2e-05,871.654827,178.249778,125.480967,-843.956384,1015.5166947999999,72.15679999999999,443.88731429999996,-506.98262859999994,4.812557441577303,-0.8358672003351003
1445453606,1.003291,-0.06236,0.014713,-1.001236,0.002957,0.000104,2e-05,-1.1e-05,871.761221,178.682006,125.315502,-843.999504,1015.5166947999999,72.1568,443.88731429999996,-506.98262859999994,4.8565170791993255,-1.0812659397141442
1445453666,1.003016,-0.06304,0.016393,-1.00089,0.003887,8.8e-05,0.000201,0.000205,872.763925,179.069408,125.218158,-844.967482,1016.2845222999998,-63.18560000000001,459.01531429999994,-445.2802286,6.35053956465665,-0.8761046800897337
1445453726,1.002705,-0.066243,0.016709,-1.000369,0.00313,0.000563,-8.7e-05,-8e-06,873.408181,179.338809,125.565346,-845.524438,1001.766927,10.528,43.472,-1000.688,-1.288149190198959,-1.344707956689975
1445453786,1.006569,-0.053352,-0.02054,-0.990671,0.457462,0.03676,-0.038484,-0.122051,901.830428,178.079699,155.753224,-869.659063,1003.875081,7.376,37.744,-1000.752,5.334933236091264,-0.3215539127555936
1445453846,1.000279,-0.06508,-0.001412,-0.998131,0.022908,-0.000162,-0.000418,0.000211,943.840803,171.767888,192.215996,-907.955419,1010.054679,6.24,31.664,-997.936,5.089445253777633,-1.8063414713871824
1445453906,0.999765,-0.063379,-0.001191,-0.997742,0.011399,0.00033,0.000395,-0.000114,943.986592,172.017732,192.318175,-908.038048,1000.355949,8.64,24.544,-999.936,2.245682377509381,-0.9464738036624699
