,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1448316686,1.005049,-0.248933,0.524464,0.813291,0.180801,0.030325,-0.002472,0.003578,161.414028,125.017598,-98.038293,-27.909517,3.995883,-1.415812,0.162227,-0.378027,-0.978569,-0.282773,-0.781323,-0.462718,-0.5757,-0.195323,-0.47646,-0.342732,-0.124705,1035.0982529,117.0954182,740.0617212000001,-172.6868364
1448316751,0.992001,-0.00978,0.03881,0.991164,0.030057,0.001426,-0.002235,-0.027905,113.341377,80.264936,-79.346386,-9.856707,8.109579,-0.536782,0.485582,-0.341954,-0.665978,-0.332016,-0.865419,-0.410708,-0.536058,-0.326529,-0.381215,-0.41203,-0.213661,1033.8459934999998,70.7456,431.7759999,-459.88586670000007
1448316817,0.992059,-0.0101,0.040495,0.991146,0.012241,-2.8e-05,-0.000547,-0.005047,110.476935,75.235763,-80.237928,-10.261708,9.787193,-0.210103,0.255968,-0.615311,-0.61913,-0.317217,-0.898457,-0.44352,-0.663491,-0.276698,-0.281127,-0.334758,-0.184499,1028.404312,132.60160000000002,368.6933332,-586.8672
1448316863,0.992822,-0.009613,0.041338,0.991891,0.009676,-0.00018,0.00042,0.00474,109.911864,74.891083,-79.889495,-9.401118,9.143859,-0.612267,0.59675,-0.332584,-0.47158,-0.235281,-0.839387,-0.318906,-0.604029,-0.26634,-0.329096,-0.466773,-0.308826,1028.404312,132.60160000000002,368.69333320000004,-586.8672
1448316936,0.992139,-0.009355,0.03863,0.991321,0.007862,5.2e-05,0.000159,-0.000403,109.779389,73.192243,-81.283276,-9.281783,4.847216,-0.530176,0.410488,-0.51432,-0.736442,-0.275571,-0.885504,-0.415427,-0.461418,-0.208905,-0.374458,-0.445467,-0.291257,1024.34787,-13.888,-5.888,-1006.912
1448316991,0.993194,-0.014383,0.028108,0.992679,0.007338,0.000234,0.000402,0.004061,195.669338,73.390065,-181.106878,-9.977778,5.135113,-0.403831,-0.261784,-0.504967,-0.535433,-0.223809,-1.106628,-0.422657,-0.801427,-0.176914,-0.175812,-0.484921,-0.109788,1024.690262,-50.933333,97.866667,-1018.453333
1448317051,0.993305,-0.013753,0.028395,0.992789,0.007397,1.6e-05,0.000317,0.00328,195.466473,73.229808,-180.953189,-9.958387,8.178404,-0.099798,-0.158929,-0.299092,-0.610245,-0.279916,-1.093521,-0.381738,-0.621865,-0.214866,-0.191392,-0.465675,-0.030335,1028.671165,-55.168,102.144,-1021.952
1448317111,0.992784,-0.013698,0.028428,0.992249,0.011768,0.000369,-0.000539,0.002932,195.571516,73.409761,-180.989219,-10.049717,6.942485,-1.275113,-0.382977,-0.282714,-0.576247,-0.208545,-1.17068,-0.333679,-0.703066,-0.135661,-0.169753,-0.391552,-0.127903,1023.456313,-53.493333,96.96,-1017.28
1448317171,0.992927,-0.013433,0.027843,0.992206,0.139883,0.002177,0.001159,0.001271,195.68028,73.507312,-181.054394,-10.277433,4.903274,-0.484158,0.055626,-0.454907,-0.764795,-0.085652,-0.965532,-0.484902,-0.67966,-0.255205,-0.073282,-0.413175,-0.184011,1025.181729,-50.186667,97.44,-1019.146667
1448317231,0.993574,-0.014455,0.02681,0.993031,0.016127,-0.001502,0.001857,-0.003474,197.31328,74.631347,-182.382761,-9.880921,3.746143,-0.341209,-0.032981,-0.266173,-0.580641,-0.275248,-1.182839,-0.344847,-0.619014,-0.270885,-0.200967,-0.436882,-0.095097,1021.506448,-53.493333,100.533333,-1014.986667
