,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1439590067,1.005287,0.005195,-0.088438,-1.001318,0.021198,0.000588,0.000942,0.000464,449.919379,-292.964282,311.793763,139.221588,-7.493934,1.132357,-1.481641,-0.609155,-1.884579,-0.723755,-1.509845,-1.296577,-1.031879,-0.858312,-1.150599,-0.415982,-0.77732,1027.996735,-7.472,-253.904,-993.04
1439590128,1.00936,0.13228,-0.275538,-0.938662,0.201847,-0.013003,0.018141,0.013829,434.168172,-286.821139,293.105492,142.000248,-16.644125,1.127306,-1.613793,0.073209,-2.379395,-1.240171,-1.452657,-0.779496,-1.188198,-1.024485,-1.103826,-0.523031,-0.674747,1028.751392,-25.6,-264.224,-993.76
1439590188,1.007887,0.043653,-0.016604,-1.00678,0.021803,-0.000992,0.002058,0.001963,449.750184,-290.744194,311.323812,144.28889,-10.983519,0.698184,-2.333403,0.180645,-2.180235,-1.605858,-1.543334,-0.740051,-1.115495,-1.324189,-0.921465,-0.344247,-0.539305,1027.594722,-34.208,-272.128,-990.176
1439590248,1.001489,0.065292,-0.053265,-0.997931,0.005566,-0.000124,0.000141,-0.000565,456.17626,-297.662422,314.396922,143.69166,-6.551388,0.923646,-1.788636,-0.164324,-1.670335,-0.877576,-1.756758,-1.075317,-0.915945,-0.787203,-0.895728,-0.593449,-0.923565,1025.597342,-92.24,-232.64,-994.464
1439590308,1.002181,0.05756,-0.05285,-0.999116,0.00961,0.00065,2e-06,-0.000832,456.752646,-298.416351,314.119278,144.563225,-9.963111,0.816774,-2.582453,-0.067254,-1.856917,-1.877418,-1.070526,-1.074659,-1.153333,-0.587026,-1.239924,-0.861179,-0.247194,1039.990176,80.693333,-367.413333,-966.773333
1439590368,1.004464,-0.028266,-0.065402,-0.990354,0.108284,0.002439,-0.006706,-0.011436,467.599739,-313.086394,316.420112,142.754299,-16.421037,0.671461,-1.608528,0.024976,-1.8172,-1.064594,-1.663659,-0.970642,-1.024164,-0.872965,-0.905614,-0.628824,-0.617749,1029.917969,-45.472,-208.144,-1006.88
1439590428,1.002381,-0.161502,-0.024691,-0.98896,0.010116,-0.000111,-0.000787,5.8e-05,477.18473,-322.454319,322.152448,141.227276,-8.3041,1.784443,-2.209095,-0.565924,-1.519235,-0.99555,-1.714592,-1.055093,-1.012565,-0.751177,-0.961571,-0.53483,-0.766901,1026.222236,-34.352,-210.4,-1003.648
1439590488,1.001064,-0.162088,-0.02347,-0.987563,0.01845,-0.001274,0.000546,-0.000377,477.350765,-322.776492,322.038945,141.308841,-8.077596,1.661189,-2.161661,-0.202835,-1.760159,-1.369201,-1.998489,-0.828673,-0.928412,-0.946139,-0.935113,-0.511041,-0.707864,1026.799087,-22.896,-205.12,-1005.68
1439590548,0.99993,-0.150268,-0.028756,-0.988124,0.00806,-0.000225,-0.000326,0.000264,477.568474,-323.31388,321.66046,141.679246,-8.426241,1.446596,-1.704061,-0.230462,-1.864749,-1.101613,-1.730961,-0.933453,-1.068725,-0.710997,-0.708753,-0.603098,-0.814164,1027.566521,-28.528,-204.752,-1006.432
1439590608,0.999635,-0.146021,-0.027699,-0.988511,0.004583,8.7e-05,1.1e-05,-0.000192,477.417179,-323.042128,321.634049,141.849312,-6.497152,1.20971,-1.732214,-0.416391,-1.731909,-0.938917,-1.692948,-0.972803,-1.045759,-0.661649,-0.763989,-0.63041,-0.853363,1026.552956,-27.536,-201.648,-1006.048
1439590668,1.003058,-0.143997,-0.029266,-0.992224,0.005056,-0.000173,1.4e-05,0.001147,477.398469,-323.044966,321.498064,142.087068,-8.267497,1.288348,-2.040389,-0.221556,-1.889016,-0.903298,-1.742298,-1.061088,-1.035535,-0.591957,-0.709151,-0.594244,-1.064211,1037.990711,-20.384,-207.088,-1005.616
1439590728,0.999199,0.075665,-0.00453,-0.996292,0.006683,0.000447,-0.000289,0.00023,471.579988,-344.824233,287.818869,143.554599,-14.659189,0.912992,-2.081252,0.050473,-1.914606,-1.340812,-1.818561,-1.081044,-0.690256,-0.814722,-1.221001,-0.592627,-0.501796,1025.158483,-388.96,-213.536,-917.072
1439590788,1.006528,-0.007383,-0.010405,-1.006442,0.00866,-0.000178,0.00011,0.001813,430.798213,-324.104908,270.831616,84.805211,-9.84394,1.692502,-1.370387,-0.919167,-1.200651,-0.733539,-2.123843,-1.28661,-0.826586,-1.114148,-1.059952,-0.768528,-0.665931,1018.102757,-962.4,-60.624,-323.856
1439590848,1.001923,-0.00408,-0.009261,-1.001866,0.005291,0.000181,-0.000104,0.000732,430.907723,-323.722926,271.070847,86.047599,-6.316848,-0.371958,-1.103241,-0.430507,-1.730294,-1.263306,-1.686112,-1.056466,-0.838397,-0.612881,-0.759141,-0.595467,-0.806222,1017.734179,-958.112,-63.312,-336.736
1439590908,0.999458,-0.009157,-0.009565,-0.999285,0.019566,0.000561,0.000111,0.008815,419.484774,-311.365298,267.537189,86.065887,-9.857471,-1.182886,-0.671672,-0.46929,-1.578159,-1.348672,-1.617972,-0.990002,-1.007927,-0.930568,-1.066213,-0.650455,-0.788796,1018.115579,-963.664,-51.776,-322.272
1439590968,0.998815,-0.006063,-0.013893,-0.998688,0.004109,-0.000163,2.8e-05,-4.7e-05,416.846432,-309.268318,264.212646,91.129405,-8.448658,0.615233,-0.720977,-0.244784,-1.759242,-0.955,-1.534274,-0.809908,-0.974513,-1.012081,-1.058581,-0.519898,-0.622118,1018.463183,-997.12,-22.528,-204.864
1439591028,1.003716,-0.019605,-0.007499,-0.989634,0.142238,5.6e-05,-0.018701,0.024798,470.112095,-298.816439,335.544491,137.330677,-15.921179,0.240726,-1.651042,-0.246981,-1.75679,-1.012541,-1.664904,-1.092021,-0.935747,-0.848528,-0.920477,-0.509279,-0.561535,1016.287762,-767.6,-39.632,-195.2
1439591088,1.046598,-0.086055,-0.361837,-0.64796,1.625455,0.057196,0.075941,0.129704,421.609283,-282.665838,264.22574,147.078061,-17.848008,-0.760216,-1.482155,-0.630329,-1.524776,-0.76986,-1.249971,-0.525395,-0.727991,-0.702847,-0.869961,-0.531602,-0.636998,1049.141764,170.96,740.496,-302.608
1439591149,1.028069,0.041856,-0.519445,-0.790172,0.930665,-0.02598,0.000916,-0.001866,440.715941,-318.565097,247.569609,175.998159,-15.643164,-1.28418,-1.408311,-0.086632,-1.227829,-1.188136,-1.243928,-0.550533,-0.959098,-0.782921,-0.780627,-0.605023,-0.689057,1049.524264,134.112,385.76,-512.08
