,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1441314267,0.988823,0.062505,0.034311,0.986229,0.004917,0.000289,0.000665,-0.000115,106.574647,-50.376661,-56.892038,74.673393,1023.6266440000002,28.62007950000001,504.34940830000005,-322.6492631,5.466863559273124,-0.23605690378483832
1441314369,0.997985,0.005431,0.6732,0.731152,0.140855,-0.004826,0.010523,0.005178,158.332732,-54.692753,-76.003336,127.61356,1022.0051931,-278.0434526,552.3621449999999,-220.6029176,-0.5012380220504042,0.553091980860665
1441314456,0.996509,0.058074,0.531356,0.785382,0.448146,0.034661,-0.017093,-0.02993,163.675402,-63.738304,-54.377001,136.855532,1021.9072007999999,-141.68349,464.85016369999994,-337.8552778,11.596530721866772,-0.005612386501792179
1441314490,0.994655,-0.031605,0.609334,0.782556,0.1714,-0.002124,0.000362,-0.00194,139.920752,-51.406612,-65.560799,112.183119,1010.5618521,-100.80656839999999,317.1801264,-605.5634806,0.5532067629184867,0.6219575602223235
1441314553,0.989343,-0.042328,0.351905,0.922989,0.043827,-0.001648,-0.003555,0.001139,156.155172,-25.093578,-95.139832,121.102625,1025.6380271,-264.4537264,523.9553123,-484.8079812,-1.1548140447999447,0.5753814600895764
1441314618,0.990993,0.106982,0.329715,0.927581,0.068692,0.001859,-0.002429,0.001637,179.177713,-47.976984,-99.60874,140.939081,1008.6205074,-389.5255579,187.823579,-567.2569264,8.536357881939562,0.035325834710426815
1441314673,0.99548,-0.007419,0.613454,0.776149,0.362186,-0.007152,0.058224,0.06588,161.293451,-55.459648,-68.219692,134.835955,1022.9741344,-264.6270316,580.9549871,-194.99954920000002,4.327062603514398,-0.09857950244890187
1441314728,0.985785,0.035621,0.073126,0.97455,0.137804,-0.028371,0.00311,0.015749,156.733274,-54.46327,-78.878269,123.746944,1000.007717,37.254737,32.926316,-990.922105,9.264716301460055,-0.4367947431047962
1441314792,0.986476,0.028649,0.033478,0.985426,0.029793,-0.004818,-0.000651,0.012004,150.427685,-51.361349,-72.438238,121.370407,1001.763532,12.848,31.568,-1001.104,1.6868262740546414,-0.0030451823293658575
1441314848,0.987642,0.037326,0.04374,0.985958,0.007307,-0.001538,0.001488,0.002153,144.408455,-47.012615,-1.506052,136.501036,1001.077053,8.168421,28.075789,-1000.572632,1.6957662996703646,0.23287413869240356
1441314913,0.987984,0.036634,0.046038,0.986225,0.005878,-0.001154,0.000682,0.00169,144.695857,-47.602596,-1.802797,136.596254,1001.430697,9.824,26.672,-1000.96,2.9523009708956423,0.22084119925024984
1441314939,0.988031,0.036434,0.044695,0.986341,0.01032,-0.003432,0.00199,0.004449,144.879159,-47.280529,-1.643913,136.907623,998.1549103,-43.756912299999996,-16.320084300000005,-916.5706667999999,0.17170859548131584,0.08690602725637946
1441314999,0.987595,0.036607,0.045639,0.98585,0.028659,-0.013124,0.007074,0.015185,144.730589,-47.760391,-1.903975,136.576767,997.9671,8.858947,24.825263,-997.541053,5.928236264543897,-0.09772121894374698
1441315068,0.98754,0.037181,0.044908,0.985807,0.004122,-0.00082,-2.9e-05,0.000165,144.85109,-47.579063,-1.823336,136.769537,1001.866243,9.088,26.16,-1001.408,2.096667999209325,0.12997194058679687
1441315121,0.987574,0.03736,0.042308,0.985943,0.018826,-0.007266,0.002697,0.010143,144.917579,-46.382168,-1.44066,137.270477,1000.808068,10.064,28.96,-1000.24,3.22142435418319,0.04603410630861342
1441315181,0.987469,0.035304,0.044564,0.985825,0.005877,0.000692,-0.001105,-0.001445,143.126735,-50.765739,2.963535,133.765305,1000.384629,77.226667,20.72,-977.146667,5.7167200583080175,0.17302378656787434
1441315241,0.988205,0.035585,0.041227,0.98646,0.004006,-0.000939,-0.000542,-0.000277,144.051838,-51.229946,1.619267,134.609037,985.304646,50.496,-399.92,-857.504,1.562580197444493,0.17528356019059577
1441315304,0.987556,0.035677,0.0425,0.985985,0.005954,-0.001213,0.001108,-0.001428,145.693481,-48.899815,-5.708664,137.091434,994.639355,-20.592,-148.336,-955.328,5.00171906623247,0.026428453666610847
1441315358,0.988264,0.035474,0.040317,0.986791,0.004036,-5.6e-05,0.000299,9.1e-05,145.699637,-47.523983,-5.263945,137.603821,987.954491,-69.002105,-272.286316,-889.094737,0.6276627856680446,0.1293118951039372
1441315418,0.993973,-0.007287,0.54139,0.833369,0.101915,-0.007012,-0.008225,-0.012864,140.579219,-50.1383,-51.408686,120.713362,999.498352,158.496,4.256,-930.768,0.735626649927904,0.512970970417314
1441315478,0.993692,-0.028696,0.570055,0.812712,0.064997,0.004787,-0.005596,4.9e-05,133.550461,-49.850306,-56.806067,109.971411,985.877372,67.84,-445.44,-844.693333,6.213647634308328,0.31747439159375807
1441315546,0.981749,-0.279584,0.141666,0.769804,0.651173,-0.045726,0.042226,-0.050067,135.286754,-39.093351,-37.670067,121.387316,1000.526222,4.934737,31.646316,-999.915789,6.11207793971295,0.010940491986605665
1441315616,0.981091,-0.384599,0.250569,0.692671,0.450036,-0.021984,0.016605,-0.008009,231.12771223960124,-28.233015019250598,-31.900276284805777,148.47813716173943,1001.181267,6.864,33.312,-1000.528,6.088259333172917,-0.07042557136232132
1441315658,0.959322,-0.676045,0.066212,0.67735,0.017707,0.001226,-0.000293,0.001328,130.339591,-15.272469,-35.289217,124.527193,1000.418944,7.312,35.792,-999.68,-0.6168199453201928,0.4481195948572067
1441315739,0.995015,-0.539851,0.745684,0.306102,0.207549,0.010172,0.041035,0.015566,164.040329,-7.780476,-79.547613,142.755091,1031.939233,159.073684,982.231579,-241.28,0.41735850035916044,0.7173840766106073
1441315783,0.991083,-0.165888,0.42316,0.799275,0.424224,-0.016024,-0.058632,-0.014974,154.164405,-45.833954,-54.244747,135.314955,1035.867451,-286.24,917.984,213.888,6.826738303666917,0.11043510191197486
1441315859,0.993218,-0.026945,0.568186,0.813495,0.073672,-0.000456,-0.001601,-0.003974,150.900808,-53.796875,-56.691114,129.039225,997.799386,127.376842,-88.842105,-982.214737,1.7325053877520762,0.5078023799970277
1441315926,0.992372,-0.026805,0.509974,0.847185,0.177325,0.003635,0.011224,0.004227,151.214474,-50.06061,-54.968424,131.568834,1035.522943,-344.816,946.32,175.344,3.4687142760272036,0.25462784963126855
1441315986,0.981996,-0.422577,0.078652,0.709037,0.394925,0.003223,0.009767,-0.036868,138.29138,-33.799295,-37.53161,126.320139,1030.229884,55.488,688.816,133.968,7.368781586091725,0.05011128957289596
1441316046,0.99376,-0.213305,-0.22774,0.559341,0.89976,0.07964,-0.047203,-0.018214,177.718366,-14.067879,-23.731974,173.771456,1044.762233,88.195556,750.791111,295.324444,3.2279427842029143,-0.42032471337696253
1441316108,1.005122,-0.108218,-0.923591,0.201325,1.610008,0.050179,-0.02659,-0.022952,167.765326,-34.562761,-23.143682,162.103098,1023.0111332999999,-140.3676742,503.25608859999994,-396.4734718000001,0.2647112942741396,-0.64217297628271
1441316166,1.010054,-0.249202,-0.89853,0.181692,1.775777,0.055173,-0.017085,-0.047485,160.97666,-16.880449,-20.102465,158.37121,1020.9648428999999,-59.40236659999999,521.6118149,-288.7628313,0.12603627899929967,-0.6228847552627973
1441316226,1.006346,-0.355818,-0.856021,0.202073,1.688721,0.058653,0.027565,-0.063772,183.789458,1.648014,-24.506046,181.835732,1008.147654,-369.92,301.12,-761.92,-0.1887052073943963,-0.7008364099774764
1441316286,1.011048,-0.424187,-0.826908,0.195961,1.791977,0.057903,-0.045649,-0.040502,163.545875,-8.027321,-27.091331,160.678637,1030.0975502000001,152.04725200000001,411.4873704,-204.07096690000003,1.9076629199706734,-0.4612549547163263
1441316368,1.021362,-0.453029,-0.812349,0.207696,1.814082,0.053207,-0.040905,-0.046114,163.683884,-11.112282,-23.0907,161.287529,1061.271225,621.802667,514.496,-5.504,3.1422468046943495,-0.2827181529540533
1441316467,1.010649,-0.452486,-0.809638,0.197903,1.824896,0.102103,0.020328,-0.045009,170.782392,4.789801,-26.133411,168.340136,1061.332279,740.512,639.44,246.928,1.225247625811389,-0.25373327498358894
1441316554,1.019511,-0.040323,-0.943063,0.176605,1.808808,0.074775,-0.014264,-0.027033,200.537605,-4.252054,-7.193956,200.29702,1064.659483,756.614737,629.170526,242.711579,-0.4108083258687584,0.2532638531085872
1441316622,1.006253,-0.362791,-0.851811,0.19046,1.76153,0.081243,-0.026017,-0.021855,164.640919,-5.588148,-20.913424,162.873304,1067.723937,751.591111,641.493333,234.275556,1.301680943319386,-0.7313794980027534
1441316646,1.00376,-0.396865,-0.840453,0.184954,1.663206,0.063381,-0.036705,-0.031824,163.556028,-6.667217,-22.636318,161.537693,1057.125526,748.782222,635.075556,232.64,2.81330481407636,-0.6213575897627842
1441316729,1.024327,-0.450621,-0.798013,0.255391,1.807007,0.105636,-0.022916,-0.003107,180.957909,7.826191,-37.263948,175.23679,1053.395069,524.547368,410.947368,11.671579,5.9742531065659294,-0.12396006976243973
1441316788,1.003751,-0.247077,-0.896332,0.182767,1.736954,0.068907,-0.005384,-0.021176,174.029261,-2.357267,-21.696545,172.391291,1058.306962,730.4,657.493333,246.613333,-2.299568157158478,-0.4417050076833792
1441316833,1.006698,-0.38881,-0.840895,0.193661,1.772008,0.074189,-0.021346,-0.042539,231.12771223960124,-28.233015019250598,-31.900276284805777,148.47813716173943,1063.681279,727.44,653.68,253.44,3.3527479295867573,-0.6343478711644934
1441316886,1.002766,-0.447381,-0.802724,0.210332,1.771064,0.025994,-0.061921,-0.027787,192.569641,5.944092,-26.776115,190.499142,1067.779284,805.963636,569.890909,211.461818,3.2148175060980932,-0.4344129096154541
1441316947,0.993743,-0.042095,0.548541,0.820846,0.200506,-0.003778,0.022533,0.04901,163.289899,-30.895498,-44.993229,153.093996,1029.53953,-661.874286,762.285714,173.988571,0.11556188028849058,0.07374812534343407
1441316991,0.975442,0.055327,-0.511214,0.392529,0.653124,-0.116488,0.111915,-0.053622,197.297123,-30.800884,-25.525621,192.303682,1093.7714197,410.79191679999997,611.9086815999999,-272.2850867,2.9631501994665648,-1.3688851969481963
1441317052,0.995556,-0.047915,0.370503,0.845078,0.63588,-0.068703,0.037136,-0.149686,174.962642,-35.269936,-30.545853,168.059153,1031.997609,-259.149474,707.957895,246.096842,1.9910701963194117,-0.6017946628702636
1441317112,1.013443,-0.043736,-0.932802,0.214601,1.504578,0.034103,-0.357399,0.060025,231.12771223960124,-28.233015019250598,-31.900276284805777,148.47813716173943,1053.517527,445.44,496.586667,-284.586667,-0.02335836680727475,-0.7473504830432883
1441317172,0.94724,-0.062295,-0.903482,0.26136,0.072578,-0.0044,-0.00258,-0.008621,222.614267,-73.211061,-10.403706,209.855925,1011.701621,475.648,492.928,-594.133333,0.40693988129182657,0.20384817681135864
1441317236,0.948499,-0.027839,-0.911193,0.241507,0.093618,-0.002725,0.002252,-0.005135,231.464993,-67.378162,-9.157455,221.0632,1014.765695,629.507368,510.265263,-440.32,7.883600687161815,-0.21825331481587426
1441317290,0.946956,-0.091832,-0.897858,0.286576,0.011022,-0.000264,-0.000106,-9.5e-05,239.286726,-73.473093,-9.600943,227.514322,1011.861193,631.764211,524.917895,-589.406316,0.04780054308771934,0.5888596518428869
1441317350,0.963576,-0.37956,-0.105168,0.879395,0.006531,-0.00118,7.4e-05,-4.4e-05,169.930543,-22.625998,-21.04645,167.079578,1019.343921,69.136842,621.406316,-586.981053,-0.2281392035552109,-0.07286347631437622
1441317413,0.956529,-0.1947,-0.526485,0.553615,0.133423,0.040969,-0.035538,0.044701,182.612748,-30.877953,-15.267073,178.675783,1020.934005,230.922105,724.951579,-615.545263,4.317198512929438,-0.09282768272211595
1441317470,0.999543,0.029859,0.627242,0.737116,0.273132,0.019594,0.005081,0.026046,163.0755,-15.622763,-56.506073,151.866405,1029.378711,-592.555789,802.896842,128.96,3.107238402863426,-0.401038398517741
1441317530,0.991039,0.011231,0.125204,0.943263,0.425691,0.025158,0.012371,-0.000459,159.226971,-21.152102,-26.612085,154.938265,1025.044235,29.884444,566.986667,-342.666667,12.082783353127626,-0.9167412515813733
