,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1446679890,1.002594,0.022972,-0.002678,-1.002311,0.004249,-0.000235,-0.000437,-0.000166,392.929081,267.91826,-62.691211,-280.498396,990.3568401,-63.59056840000001,318.9613474,-505.74383159999996,-3.449725395209934,0.7120543509675796
1446679951,1.001775,0.021403,-0.002784,-1.001535,0.003692,-0.000153,-5.2e-05,0.000519,395.340009,258.295291,-80.025794,-286.934623,990.3568401,-63.59056839999998,318.9613474000001,-505.74383159999996,9.035797526373074,1.0643430780992553
1446680319,1.00082,0.021201,-0.004036,-1.000577,0.00364,-0.000257,-0.000626,-0.000292,342.340893,238.548349,-48.042659,-240.79483,960.588035,41.728,-19.424,-959.424,0.5634850393992352,1.8281719383021044
1446680380,0.998604,0.02153,-0.004327,-0.998347,0.004072,0.000103,-0.000171,0.000281,343.185573,239.194617,-47.834661,-241.397562,958.682234,43.008,-17.696,-957.472,-0.05239189430311593,1.8213311104998844
1446680440,1.004441,0.021198,-0.00435,-1.004198,0.003748,0.000199,-0.000264,0.000587,344.345954,240.910132,-46.633075,-241.577731,959.425418,40.592,-18.544,-958.272,0.9683004851933785,1.9041549249150225
1446680500,0.999954,0.02717,-0.015058,-0.999445,0.004406,0.000281,-0.000164,0.000111,300.713025,186.52509,-73.992758,-223.960609,960.421794,50.64,-22.288,-958.752,6.623304430686071,1.523922981648896
1446680560,0.99706,0.025557,-0.015029,-0.996617,0.003153,0.000103,0.000266,1e-05,302.470705,186.589177,-74.579767,-226.074292,959.19914,51.968,-21.344,-957.472,-4.454701366099807,3.1269651337803195
1446680620,0.995806,0.025928,-0.015564,-0.99534,0.003484,-5e-06,-0.000131,-0.000226,302.545885,186.551624,-74.661128,-226.179011,958.769647,52.864,-20.384,-957.024,2.202647851327727,2.6645779422104194
1446680680,0.994298,0.025214,-0.012396,-0.993881,0.003994,4.1e-05,-3.5e-05,4.4e-05,307.947266,179.966612,-79.455371,-236.915881,958.015444,48.88,-19.12,-956.496,1.0420988182940611,0.8510783863522706
1446680740,0.993769,0.025263,-0.012844,-0.993342,0.00428,-8.1e-05,1.2e-05,-0.000119,309.675427,178.345093,-79.562284,-240.333891,957.173364,50.32,-19.152,-955.584,-1.460684530838716,0.738100922964915
1446680800,0.993237,0.025099,-0.012386,-0.992826,0.003841,7.2e-05,1.2e-05,2.5e-05,309.076694,178.178242,-79.94152,-239.559879,957.113546,50.096,-18.96,-955.536,0.8916394665724684,1.6659675582762172
1446680860,0.993193,0.024847,-0.013277,-0.992769,0.004064,0.000156,9.5e-05,-8.2e-05,309.177047,178.202752,-79.989261,-239.655059,955.994016,50.528,-17.712,-954.416,3.2765021264676064,1.5525827667806353
1446680920,0.993289,0.020709,-0.011677,-0.992977,0.006746,0.000112,0.000286,-0.001755,350.07507,252.276045,-50.071527,-237.450318,968.490566,57.664,-36.496,-953.536,3.913327526329665,2.1975635416738086
1446680980,0.998778,0.014654,-0.35891,-0.905302,0.410942,0.009331,-0.026134,-0.007143,325.727196,193.154851,-47.343807,-257.726398,956.401378,50.576,-26.304,-954.608,11.904187131919103,1.6376710768852807
1446681040,0.9933,0.022025,-0.016206,-0.992904,0.015355,0.001057,0.000602,-0.011828,308.478565,180.558912,-38.557948,-247.033974,956.531847,49.968,-23.264,-954.88,8.466061894615086,1.64361304529698
1446681100,0.992196,0.020687,-0.015752,-0.991848,0.003672,-0.000231,1.9e-05,0.000237,310.224587,185.062554,-38.998597,-245.904393,972.284858,47.528421,-250.223158,-778.745263,6.756969595377596,1.5402839432099253
1446681160,0.992547,0.021163,-0.014103,-0.992199,0.004293,-9.4e-05,-0.000479,-6.9e-05,309.741451,185.038943,-39.34892,-245.256348,956.468559,42.816,-20.144,-954.544,3.3752446802371,1.6884787341789143
1446681220,0.992433,0.021097,-0.013994,-0.992099,0.004103,-0.000261,2.6e-05,0.000366,310.657244,185.268083,-41.386081,-245.905694,956.787233,50.272,-22.88,-955.104,2.2256391911528226,1.8948365317277478
1446681280,0.992507,0.022137,-0.015355,-0.992123,0.004087,-0.000127,-0.000391,0.0002,311.049498,185.323176,-41.251824,-246.382026,956.066938,52.448,-23.872,-954.256,1.8857726864153899,1.587591050345903
1446681340,0.993379,0.023569,-0.015482,-0.992954,0.004413,0.000202,0.000126,0.00033,310.411127,185.582447,-28.139267,-247.226936,956.718702,52.448,-23.392,-954.928,4.477242361736191,1.9057956348511391
1446681400,0.992347,0.022842,-0.015652,-0.991957,0.003182,-0.000198,-0.000103,0.0001,310.657862,185.6625,-28.176025,-247.47063,955.68746,53.008,-23.568,-953.856,4.664668243386701,1.856643402679627
1446681460,0.992345,0.424234,0.062243,-0.894383,0.028566,0.000519,-0.000299,-0.004077,369.808479,210.466929,-24.443508,-303.081772,942.845033,-402.912,-435.744,-670.48,6.543239787006575,3.1590776158295695
1446681520,1.043297,0.346337,0.435779,-0.510322,0.858485,-0.027454,0.146056,-0.036079,341.290529,208.667991,18.803744,-264.912353,1049.339658,110.208,510.176,-361.328,1.277748963722174,2.2629133614801438
