,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1464121019,0.998324,0.009091,0.03983,0.997485,0.018115,-0.017818,0.003166,-0.000196,87.893217,83.378484,19.89924,-19.39235,1005.4022169,203.60772119999996,122.02478779999997,-624.6099515,-0.3888953323342924,0.17641591275929414
1464121067,0.998647,0.00789,0.005468,0.997504,0.049876,-0.022204,0.005497,0.007321,92.030164,88.271484,17.193528,-19.50457,1020.2675231000001,299.0612727,578.4365455,-354.828,-2.3337821809270136,0.6301555957295613
1464121796,1.004814,0.010975,-0.007871,1.004721,0.011628,-0.011346,0.002375,-0.000367,90.754413,86.676491,19.812663,-18.160993,1010.03356,74.42,80.72,-954.54,-0.28138757303019896,0.24934120146488878
1464121851,1.003934,0.011069,-0.007516,1.003841,0.01184,-0.011529,0.00229,-0.000499,90.808655,86.766917,20.050073,-17.733671,997.941066,-30.96,-24.62,-997.08,-1.8919144254281213,0.3006804160352482
1464121919,1.010905,0.010892,-0.008302,1.010809,0.006522,-0.005253,0.001914,-0.000552,90.705759,86.411553,20.563883,-18.34209,997.500979,-24.785455,-22.865455,-996.858182,-1.8184079810797826,0.23964288706868322
1464121975,1.008356,0.009653,-0.008445,1.008269,0.010122,-0.007214,0.002067,-0.000481,90.457897,86.148223,20.609227,-18.309264,998.442661,-23.44,-24.18,-997.72,-1.853454684895917,0.06452468326045786
1464122031,1.007698,0.009995,-0.00858,1.007609,0.008125,-0.007781,0.00201,-0.000434,90.488122,86.153402,20.455108,-18.602596,997.415462,-23.26,-21.36,-996.84,-1.6247859043747677,0.4674978972892749
1464122092,1.010791,0.009901,-0.00874,1.0107,0.006825,-0.004987,0.001912,-0.000555,90.539816,86.157971,20.39542,-18.897677,998.514079,-23.26,-23.02,-997.9,1.492125217069838,0.0174910943307355
1464122151,1.009664,0.009928,-0.008704,1.009576,0.006346,-0.00592,0.001978,-0.000273,90.525614,86.21437,20.455532,-18.502093,997.549092,-25.02,-19.9,-996.96,-2.707221342719587,0.5186942809907685
1464122211,1.008741,0.009814,-0.00855,1.008655,0.006991,-0.006604,0.001936,-0.000514,90.569277,86.209096,20.360975,-18.841696,1015.210854,-459.46,582.22,37.54,-2.2902369086059773,0.36439201725070314
1464122271,1.013249,0.011099,-0.008407,1.01315,0.004298,-0.002529,0.001522,-0.000498,91.229962,86.935118,19.975955,-19.102269,1004.670684,264.872727,104.145455,-958.08,-0.9034076177188701,-0.19791365603159072
