,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1446750638,0.989925,0.02407,0.00231,0.989619,0.06605,-0.061594,-0.001065,-0.020551,100.55307,-42.107849,61.489648,-67.501358,6.201013,0.885526,1.135409,-0.002469,-0.128985,-0.316943,-0.328051,-0.37839,-0.210434,-0.244899,0.063872,-0.22832,-0.023088,991.6132688999999,-7.3999472000000015,-19.624644699999997,-987.3725714
1446750720,0.990925,0.020006,-0.00242,0.990712,0.065184,-0.060814,-0.001333,-0.020037,101.072071,-42.194036,61.900766,-67.849012,6.675048,0.912008,1.095379,0.266063,0.054587,-0.411839,-0.252123,-0.302898,-0.190875,-0.238857,0.076839,-0.333152,-0.118957,991.6132688999999,-7.3999472000000015,-19.624644699999997,-987.3725714
1446750749,0.988685,0.021165,-0.000723,0.988435,0.048851,-0.044385,-0.001578,-0.019818,99.22483,-44.242843,61.536592,-64.041679,5.553299,0.801049,0.931336,0.075399,-0.062578,-0.340199,-0.309097,-0.310596,-0.195309,-0.14006,-0.011394,-0.382253,-0.059076,991.6132689,-7.3999472,-19.624644699999997,-987.3725714
1446750811,0.989828,0.020796,0.000156,0.989607,0.067041,-0.062776,-0.001242,-0.020306,39.945079,29.833484,20.852002,-16.44709,7.454688,0.454745,1.32231,0.104356,-0.357977,-0.179323,-0.369578,-0.127561,-0.250354,-0.166698,0.013432,-0.275674,-0.065062,994.8194468000002,90.51570799999999,-167.61029230000003,-872.7572207
1446750871,0.99341,0.021271,-0.003119,0.993169,0.061005,-0.056945,-0.001776,-0.018704,40.65674,29.762841,22.014048,-16.806603,8.511739,0.659228,0.878918,0.079029,-0.387231,-0.344481,-0.367432,-0.145912,-0.227131,-0.160249,0.106475,-0.276754,0.023776,994.8194468000002,90.51570799999999,-167.6102923,-872.7572207
1446750934,0.997723,0.002157,-0.018056,0.990026,0.196139,-0.056169,-0.003677,0.026847,28.194923,-6.522722,-7.826567,17.072993,6.355159,-0.02677,0.915773,0.037508,-0.269574,0.011904,-0.362838,-0.187189,-0.03732,-0.070328,0.024791,-0.295481,-0.110472,1009.4268453000001,233.4962286,40.14075630000001,-611.8365858
1446750994,0.989012,0.015711,-0.006749,0.988848,0.066283,-0.061908,-0.001319,-0.020382,92.984168,-63.845577,-65.759681,15.660575,4.711096,0.528786,0.975102,0.018245,-0.008454,0.04998,-0.297046,-0.275797,-0.157344,-0.332314,0.057053,-0.319062,-0.060367,1010.0494064000001,-212.88931829999996,330.226161,-296.0120519
1446751070,0.988551,0.017033,-0.007578,0.988324,0.049492,-0.044855,-0.001414,-0.01944,90.387535,-61.827781,-64.398926,14.138642,5.630867,0.474997,0.917839,-0.016777,-0.241828,0.089883,-0.350366,-0.218586,-0.104264,-0.322517,0.054781,-0.299022,-0.065855,1012.2407467,-70.01981409999999,309.4863514,-331.6270545
1446751138,0.98921,0.019651,-0.005036,0.988954,0.072206,-0.062111,-0.001238,-0.017537,109.674183,15.204631,-106.569266,19.333702,6.248023,0.601122,0.881169,-0.207298,-0.096241,0.138225,-0.43498,-0.322812,-0.22673,-0.315944,0.043408,-0.248649,0.001929,1011.2317746000001,602.7786032,-396.5703053,-414.5400831
1446751200,0.987561,0.021668,-0.007328,0.987285,0.069273,-0.064586,0.000676,-0.020986,110.63444,13.990351,-108.297499,17.770755,7.189554,0.330877,0.781804,0.303123,-0.049478,-0.279669,-0.437133,-0.300902,-0.138849,-0.164604,0.114407,-0.325071,-0.039888,1011.2317746000001,602.7786032,-396.57030530000003,-414.5400831
