,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1440004129,1.011483,0.16063,-0.571348,-0.813414,0.173793,0.008599,-0.004249,0.003906,376.682957,-261.178764,233.573099,138.250127,1039.5945893,168.0304,455.488,-166.44480000000004,3.0412902041529457,-0.9494814973306761
1440004190,1.01756,0.089747,-0.035655,-1.012833,0.062681,-0.00016,-0.000578,-0.001601,371.859369,-225.016524,271.000263,119.173545,1042.9296037,169.3472,548.5247999999999,-478.104,4.324051509598312,-0.5864571540360827
1440004250,1.010563,0.113347,-0.024305,-1.00389,0.007094,-0.001026,0.000888,-0.000187,379.284772,-228.886849,277.242071,120.842306,1025.903258,-5.68,7.84,-1025.792,6.86752058273229,-0.15249806387863507
1440004310,1.011772,0.119205,-0.018713,-1.004546,0.012507,0.000578,-0.000888,0.000378,383.616319,-233.493512,277.203654,125.687076,1029.121136,53.776,-4.24,-1013.472,6.785122689320428,-0.46112819583571807
1440004370,1.011485,0.135301,-0.008909,-1.002324,0.014719,0.000876,-0.0025,0.000287,390.12472,-236.901347,279.301052,134.372551,1020.692992,-27.68,-118.032,-968.336,5.472244268168437,-1.0721627175123531
1440004430,1.009873,0.13455,-0.006281,-1.000849,0.004943,-0.000161,0.00115,-0.000289,391.039148,-237.826971,278.848871,136.344019,1019.437062,-13.936,-180.656,-954.8,4.247923773282021,-1.115133067215543
1440004490,1.009344,0.133619,-0.006637,-1.000437,0.006558,-5.1e-05,0.000209,-2e-06,392.469756,-238.902395,279.543992,137.147396,1009.934541,-255.408,-627.808,-685.808,4.560071129484993,-0.812574869382677
1440004550,1.010247,0.122021,-0.006388,-1.002829,0.005054,0.000453,-1.4e-05,0.000663,387.238027,-236.801981,274.079736,136.953203,1026.158893,-20.192,9.952,-1025.584,6.575282881986462,-0.12561136931131492
1440004610,1.009278,0.121674,-0.006504,-1.001894,0.004929,-0.000546,4.4e-05,0.000327,386.813465,-236.810136,273.581404,136.737852,1025.558667,-22.512,10.016,-1025.2,3.9229955828198086,-0.43080489205998457
1440004670,1.009995,0.119744,-0.005867,-1.002852,0.005209,1.4e-05,0.001432,0.000485,385.645144,-236.505172,272.1184,136.884702,1025.700091,-22.416,9.856,-1025.28,6.254568384457005,-0.2283082048967619
1440004730,1.010214,0.120496,-0.007547,-1.002958,0.006068,-0.000421,0.000283,-0.000748,388.907772,-241.991744,269.229497,141.441638,1045.822365,-97.136,17.44,-1012.576,6.3500562361075,-0.06288032810430276
