,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1443038776,0.965137,0.003549,-0.005351,-0.965099,0.008391,-0.002017,-0.000201,-0.000835,53.288433,-48.210778,13.60252,18.145152,-3.623788,0.906898,-1.413539,-0.373761,-1.629045,-0.929601,-1.338958,-0.959008,-0.87062,-0.86097,-0.930347,-0.766356,-0.576461,1030.846087,13.632,-56.752,-1029.072
1443038837,0.965222,0.007996,-0.016958,-0.964878,0.024188,0.000199,-0.000134,-0.005577,123.156436,-117.458914,34.191005,14.090643,-8.248365,-1.122239,-1.924311,-0.828355,-1.713149,-1.203794,-1.474084,-0.784704,-0.885815,-0.961765,-1.035257,-0.705138,-0.517245,1031.11066,12.675556,-90.542222,-1026.951111
1443038894,0.964889,0.008066,-0.01713,-0.964454,0.018203,-0.000587,-0.000244,0.002226,123.178041,-117.772514,33.00918,14.518961,-9.572092,0.256232,-1.792715,-0.653084,-1.807964,-1.118197,-1.532049,-0.964715,-0.849312,-0.810333,-0.841153,-0.609231,-0.718364,1032.497387,11.184,-89.328,-1028.464
1443038954,0.965436,0.006684,-0.015664,-0.965268,0.008851,-0.00211,-0.000109,-0.000526,139.096334,-122.597382,65.610877,-3.416054,-6.945244,0.028437,-2.424904,-0.709681,-2.081523,-1.051588,-1.342984,-1.014038,-0.756635,-0.875344,-0.697088,-0.689217,-0.742826,1031.211911,12.848,-86.528,-1027.392
1443039014,0.965728,0.00659,-0.015445,-0.965566,0.007865,-0.00021,-7.5e-05,0.000403,139.209861,-122.71637,65.618921,-3.615291,-4.724845,0.796057,-1.967659,-0.454804,-1.94023,-1.224968,-1.101582,-1.133306,-0.896989,-0.803619,-0.719293,-0.550537,-1.027339,1031.107791,12.448,-87.536,-1027.2
1443039074,0.966011,0.007984,-0.015948,-0.965839,0.007781,-0.001773,-0.00022,-0.000424,139.23033,-122.69584,65.697244,-3.676627,-6.494971,0.323175,-1.530938,-0.66021,-2.030494,-1.112973,-1.016783,-1.092762,-0.987918,-0.835875,-0.699374,-0.733577,-0.844157,1031.066787,12.272,-86.672,-1027.248
1443039134,0.965813,0.007707,-0.015238,-0.965651,0.008145,-0.000729,-0.000198,-0.000225,139.18086,-122.665465,65.648345,-3.68877,-6.868924,0.888416,-1.778762,-0.181191,-1.943244,-1.096713,-1.229804,-1.137026,-0.909396,-0.915831,-0.667811,-0.602378,-0.906031,1031.250284,15.584,-86.544,-1027.392
1443039194,0.965339,0.005419,-0.018437,-0.965141,0.008553,-0.001776,-0.000428,-0.00031,139.224526,-122.757638,65.574679,-3.574333,-13.523622,0.656867,-1.60334,-0.450318,-2.024626,-1.293981,-1.189829,-0.861655,-1.171692,-1.147794,-0.837313,-0.467971,-0.838989,1032.010658,10.352,-88.704,-1028.048
1443039251,0.965599,0.007705,-0.016172,-0.965418,0.008469,-0.002183,0.000175,-4.9e-05,139.222597,-122.705057,65.663798,-3.669217,-5.534414,0.75855,-1.601671,-0.257086,-1.774007,-1.091369,-1.274215,-1.157185,-0.943618,-0.79833,-0.824886,-0.626666,-0.854877,1030.30272,13.152,-86.304,-1026.496
1443039311,0.965573,0.007243,-0.014938,-0.965409,0.00843,-0.00129,-0.000435,-0.000209,139.140976,-122.712599,65.478787,-3.622701,-7.146336,0.624206,-2.037146,-0.530347,-1.907154,-1.202226,-1.412119,-0.863257,-0.773902,-0.890415,-0.900636,-0.584154,-0.88071,1032.179281,14.512,-84.704,-1028.48
1443039371,0.965581,0.006671,-0.016503,-0.9654,0.008081,-0.001202,-0.000279,-0.000236,139.146159,-122.636137,65.636491,-3.562806,-7.009904,0.705076,-2.125223,-0.761219,-1.867329,-1.173256,-1.51366,-0.921022,-0.671515,-0.846401,-0.860874,-0.511737,-0.718512,1025.722128,-7.744,162.0,-1007.936
1443039431,0.965885,0.008985,-0.016926,-0.965677,0.008053,-0.001765,-1.9e-05,-0.000457,139.141396,-122.585023,65.738522,-3.250778,-7.377161,0.641287,-1.739372,-0.949878,-1.695019,-0.82008,-1.429916,-0.917009,-0.762388,-0.694421,-0.901328,-0.740903,-0.82308,1027.7895389999999,44.67999999999999,105.08,-959.0928000000001
1443039491,0.965535,0.007173,-0.015741,-0.965371,0.008204,-0.001701,-0.000204,-0.00023,138.98814,-122.538307,65.496992,-3.319729,-6.140492,0.051816,-1.771092,-0.704569,-1.738363,-1.036139,-1.295255,-1.005607,-0.841264,-0.661728,-0.894784,-0.745529,-0.834398,1030.252186,44.096,114.368,-1021.84
1443039551,0.965264,0.010262,-0.017025,-0.965043,0.008418,-0.001724,-0.000475,-0.000247,139.082793,-122.531395,65.713543,-3.269302,-5.833057,0.341926,-1.874149,-0.540421,-1.820748,-1.17561,-1.559246,-0.980556,-0.731639,-0.902847,-0.869216,-0.521158,-0.828223,1023.013961,87.344,446.8,-903.024
1443039611,0.965346,0.00702,-0.01492,-0.965192,0.007651,5.9e-05,-2.1e-05,-0.000145,138.331552,-121.139363,66.669714,-3.856516,-5.84913,0.469029,-1.804966,-0.567038,-1.758312,-1.131218,-1.454678,-0.858489,-0.638252,-0.635344,-0.922153,-0.682151,-0.810143,1011.788341,242.288,845.92,-493.92
1443039671,0.96517,0.008809,-0.0157,-0.964991,0.008578,-0.001646,-0.000198,-0.000156,138.271804,-121.027078,66.767088,-3.538725,-5.438734,0.397466,-1.857499,-0.495118,-1.8252,-1.084373,-1.434865,-0.90451,-0.709453,-0.645735,-0.997168,-0.668915,-0.767328,1007.65702,258.0,955.216,-172.656
1443039731,0.965219,0.006536,-0.0159,-0.965051,0.008523,-0.002625,0.000236,-0.000368,138.23027,-121.059339,66.61129,-3.747018,-9.103126,-0.75465,-2.177819,-0.491387,-1.837661,-1.264139,-1.436615,-1.101608,-0.71459,-0.845429,-0.816095,-0.611751,-0.782983,1012.053656,249.424,712.24,-652.48
1443039791,0.965407,0.006578,-0.015106,-0.965254,0.008211,-0.000807,-0.000406,-1.3e-05,137.68098,-118.751228,69.487637,-4.956432,-6.519022,0.408866,-1.813437,-0.730173,-1.659344,-1.170204,-1.215403,-0.921315,-0.88351,-0.83729,-0.857431,-0.757364,-0.809824,1018.9715,55.264,786.192,-341.12
