,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1443043074,1.014756,0.007648,0.010766,-1.014653,0.008232,-0.000126,-0.000177,-7.8e-05,663.453453,226.909002,35.846967,-622.411984,1021.377077,-357.616,-6.192,-785.952,4.181964581469552,-0.5969125387913371
1443043135,1.014688,0.009915,0.0115,-1.014562,0.006121,2.3e-05,0.000122,-7.2e-05,663.218299,226.947548,35.933885,-622.142304,1022.5837797,-86.5523636,-1.4198545999999992,-802.4258182,1.4332740915297955,-0.44029621445490846
1443043186,1.015129,0.025516,0.015705,-1.010912,0.163452,0.033465,0.015279,-0.110811,655.777511,178.042875,51.575074,-627.062285,1020.080221,-13.584,-0.384,-1019.92,1.8777896401328256,-0.5436301003588317
1443043246,1.014165,0.010195,-0.003124,-1.014096,0.003299,-0.000633,0.000266,0.000538,648.721757,131.296606,63.687815,-632.094821,1020.932837,-11.177143,-1.44,-1020.777143,2.724039544895353,-0.3651006651073288
1443043306,1.014027,0.003458,-0.005524,-1.013988,0.003982,5.8e-05,-0.000101,3.4e-05,648.453794,129.8988,64.865825,-631.988899,1020.32976,-15.6,-8.04,-1020.08,0.9891922790526071,-0.7987560762332074
1443043366,1.013694,0.004731,-0.004925,-1.01366,0.003115,-6.7e-05,2e-06,-9e-06,648.685848,130.724218,64.420932,-632.102286,1019.1706285999999,-112.9506961,19.3660727,-904.4138234,6.02252416196733,-0.14989357764226982
1443043426,1.013564,0.007771,-0.004712,-1.013517,0.0021,3.9e-05,4.3e-05,4.2e-05,649.039276,131.451008,63.753701,-632.381914,1019.1029182,-111.4622961,10.182472700000002,-904.6886234,0.6734702847711387,-0.4475483831944369
1443043486,1.012979,0.005998,0.001279,-1.012938,0.002641,-1.6e-05,-0.000103,-4.1e-05,648.960319,131.639004,64.060383,-632.230803,1019.1029182,-111.46229610000003,10.182472700000002,-904.6886234,0.6927380643191103,-0.37285172255639903
1443043546,1.012829,0.006711,0.001075,-1.012797,0.001729,-6.8e-05,-6e-05,3e-05,648.975773,131.350442,64.302037,-632.282209,1019.1029182,-111.4622961,10.182472700000002,-904.6886234000001,2.2591576449322046,-0.34797185630780736
1443043606,1.012455,0.006582,0.001015,-1.012425,0.001847,-0.000146,-5.6e-05,2.7e-05,649.079152,131.74237,63.91788,-632.34564,1019.8851289999999,-185.5682961,21.281272700000002,-734.3898234000001,1.595675812224393,-0.08619554033218937
1443043666,1.008278,0.007968,-0.000794,-1.008225,0.002461,-1.6e-05,-0.000459,8.6e-05,649.920369,130.231509,56.763551,-634.202517,1021.3911879999999,-253.68229609999997,21.916072699999997,-555.4942234,3.0156111480650805,0.6061268895296288
1443043726,1.007576,0.00887,-0.002519,-1.007503,0.004636,-0.000189,-0.000236,1e-05,650.041793,129.606362,57.996072,-634.343681,1019.885129,-185.56829610000003,21.2812727,-734.3898234000001,3.7683898171737407,0.06276410729473733
1443043787,1.007784,0.007876,-0.001143,-1.007744,0.002074,7.7e-05,-2.1e-05,-6.9e-05,649.941605,129.697022,57.964953,-634.225318,1019.8851289999999,-185.5682961,21.2812727,-734.3898234000001,0.20882193629911683,-0.52700807140954
1443043846,1.000384,-0.049711,-0.380242,-0.903057,0.683856,0.023747,0.071467,0.120852,622.755514,203.536514,30.959592,-587.466324,1022.0081538000001,27.669454599999995,14.000218099999998,-833.2415273,2.493111831034138,1.1210614088552584
1443043907,1.012428,0.018476,-0.425593,-0.902595,0.589982,-0.003321,0.033697,0.049527,622.295105,177.529062,11.130451,-596.163096,1020.3436080000001,-14.092727199999999,-7.6709092,-1020.0956364,4.8448335502725755,-0.2728310586820717
1443043985,1.011156,-0.37661,-0.077919,-0.846171,0.637426,0.047295,0.056833,0.049795,1871.869249,-539.054831,-351.457289,-736.354071,1020.6849908999999,-23.187199999999997,-1.4288,-1020.3216,6.4172673734976655,-0.3168691702749442
1443044045,1.011821,-0.449604,-0.126096,-0.834083,0.698512,-0.08546,-0.056576,-0.181617,2736.414856,667.949485,1440.488638,-2152.108386,1020.5358173000001,-20.4544,-2.1264,-1020.2336000000001,6.593952687603938,0.04118126011626083
1443044105,1.014948,-0.719411,-0.060305,-0.64706,0.943287,-0.014978,-0.016388,-0.064279,1951.866052,1126.716967,1138.453019,-1115.017708,1021.2512219,-26.908800000000003,0.8896000000000001,-1020.792,-0.13106976370778461,-0.5483923185231867
1443044165,1.024838,-0.592139,-0.081701,-0.691381,2.130858,0.010854,-0.099409,0.004787,760.18844,381.210711,324.076984,-568.282024,1020.9085028,-53.455999999999996,48.092800000000004,-842.2639999999999,-3.2505655065653163,0.9088076045828877
1443044225,1.02202,-0.669985,-0.132069,-0.628403,1.642511,-0.016377,-0.03414,0.005217,689.013886,294.008621,267.144741,-562.282901,1033.7141191,-627.8688,200.44160000000002,-93.25280000000001,-0.7434100557052298,0.7464140641809168
1443044285,1.009395,-0.839681,-0.123508,-0.486761,0.983485,0.008229,-0.007464,0.001527,693.253087,297.347547,292.545227,-553.430252,1035.6652409,-615.176,282.07520000000005,-43.2528,-5.174332575395819,-0.13904111252425438
1443044345,1.004285,-0.84683,-0.201578,-0.478097,0.460389,0.003075,-0.005789,-0.015374,685.485822,271.740421,314.246004,-545.237398,1043.7107087999998,-814.6912,355.3328,77.9968,-0.1430616386578018,-0.743597890035325
1443044405,1.010491,-0.808191,-0.229215,-0.514348,0.727484,0.012022,-0.009732,0.001964,693.46822,268.824433,317.532371,-554.770366,1043.7107088,-814.6912,355.33279999999996,77.99679999999998,3.76804823093706,-0.8721452494253968
1443044465,1.011964,-0.845923,-0.187948,-0.46088,0.924919,-0.001476,-0.003567,0.001368,714.924515,296.487028,300.212481,-577.064403,1034.0626165,-575.2303999999999,390.736,-13.255999999999997,-0.9841689688146309,0.09775132896892916
1443044525,1.034873,-0.683568,-0.166599,-0.640599,1.184168,-0.07261,-0.08974,-0.082958,733.278582,301.161094,296.938562,-598.636249,1034.4702174,-330.4864,435.20640000000003,63.8208,3.771538707923203,-0.25032412618291816
1443044585,1.01856,-0.513053,-0.140011,-0.850525,0.699083,-0.061026,-0.021416,-0.065141,671.073352,242.105051,219.000456,-585.668517,1032.0349902,-576.3232,388.1952,-7.411200000000005,4.110296883505622,-1.3611186095712933
1443044684,1.014454,-0.029951,-0.425891,-0.897303,0.910636,-0.011141,-0.019099,-0.0716,658.357205,167.136288,85.56007,-630.924264,1041.6860093,-319.93199999999996,487.89439999999996,-108.8232,11.893308621194175,2.035977746877172
1443044744,1.022518,0.123098,-0.471225,-0.828363,0.91528,0.066909,-0.081698,-0.071814,663.263926,190.853759,83.020987,-629.557615,1036.1865501,-113.25166749999998,288.4095584,-106.89273770000003,9.154445602314773,0.8457468660351315
1443044804,1.005014,-0.047614,-0.472386,-0.885339,0.046329,-0.002199,-0.000699,0.002532,656.163486,197.972209,91.959177,-618.78858,1026.4600552,118.42342220000003,50.3207175,350.0465968,-3.3211238426676215,-0.7131578844743143
1443044864,1.004261,-0.030498,-0.524537,-0.854344,0.079377,0.002541,0.001903,-0.001131,653.336015,196.937691,88.724963,-616.589258,1031.5900411,51.16022220000001,205.8343175,310.5945968,2.1076113525847258,0.32064527746203747
1443044932,1.006757,-0.039072,-0.53907,-0.839094,0.190038,0.021657,0.001018,0.00107,653.087991,194.713606,82.402043,-617.839203,1040.0281597,-98.79897780000002,414.00951749999996,400.46259680000003,-3.248883216898583e-19,1.535723029939808e-18
1443044993,1.001915,0.046266,-0.694788,-0.719421,0.065311,0.001471,0.000343,0.000861,651.955462,191.716002,73.578027,-618.765779,1040.241484,-254.15555959999998,326.66319020000003,238.2044877,0.2806522631518426,-1.1076650805598516
1443045053,1.004018,-0.000476,-0.659312,-0.741071,0.245525,0.005953,0.001162,-0.008596,653.061743,191.492904,73.191724,-620.006192,1041.1597123,-200.6315596,368.2597616,174.154202,3.651711973123936,-0.45494105207851815
1443045113,1.00727,0.046147,-0.458533,-0.855291,0.246623,-0.016369,0.007785,-0.006834,664.601985,189.844007,74.171002,-632.536553,1033.006718,75.6331325,195.8863584,-367.6679377,7.879401124040573,-0.0335246114164989
1443045173,1.002619,-0.006544,-0.660995,-0.751451,0.16631,-0.003866,-0.000941,0.0021,656.327509,186.245588,64.978711,-625.980858,1024.1490453000001,-169.9205818,55.44407270000001,-595.9885091,-4.421795081226688,-1.915732349717757
1443045233,1.002952,0.026287,-0.67502,-0.735604,0.167454,-0.003501,0.005,-0.002974,655.343243,187.446784,64.671815,-624.616071,1029.6320508000001,-198.8681818,141.83567269999998,-274.0065091,-3.5756850368713406,-1.049548912675671
1443045298,1.00476,0.025905,-0.588342,-0.813824,0.032254,0.000678,-0.000149,2.7e-05,660.878146,188.766203,67.209181,-629.768629,1027.9666307000002,-140.3981818,107.49287269999999,-236.41250910000002,-3.248883216898583e-19,1.535723029939808e-18
1443045359,1.003077,0.001395,-0.66432,-0.750547,0.038602,-0.002116,0.000893,-0.001565,657.995434,189.946726,66.352018,-626.475243,1026.9360471000002,-192.48698180000002,66.1304727,-395.84450910000004,-3.828920985057427,-2.053183091170376
1443045418,1.002377,0.010759,-0.696642,-0.714698,0.060597,-0.004839,0.003947,-0.001314,656.886773,190.788941,65.98224,-625.092839,1026.9360471000002,-192.48698180000002,66.13047270000001,-395.84450910000004,-4.6842601888303,-1.9908868577686898
1443045478,1.004748,0.06552,-0.574569,-0.821128,0.035259,-0.003662,-0.00013,0.005768,662.663792,193.058464,69.047554,-630.144654,1026.9829233,-96.09298179999999,158.2828727,-310.7937091,-4.037318661133758,-2.3323151365703425
1443045538,1.004077,0.179887,-0.668923,-0.726576,0.041502,-0.0041,0.006959,0.002476,656.946788,192.380127,65.564389,-624.706236,1031.8049048999999,-352.95938179999996,122.1348727,-85.28810910000001,-1.8489868835486247,-1.804651823423491
1443045598,1.009983,0.054103,-0.315744,-0.830067,0.642509,0.007469,-0.000478,-0.016635,667.538698,189.09159,78.740107,-635.159575,1039.4450247999998,25.103132499999994,363.57875839999997,-110.77393769999999,9.757059994550312,0.35545586683090996
1443045658,1.005432,-0.181964,-0.190308,-0.358191,0.50805,0.101893,-0.018519,0.110363,646.984407,180.001009,88.847507,-614.212701,1054.6457196,-35.9029818,496.6136727,36.765090900000004,-3.248883216898583e-19,1.535723029939808e-18
1443045719,1.011607,0.018642,-0.011971,-1.011363,0.002506,0.000573,0.001633,-8e-06,680.243398,194.191395,91.466211,-645.487084,1037.4429473,-423.74778180000004,284.28887269999996,241.0306909,-5.61844790246243,-1.3836746863110505
1443045780,1.01124,0.01959,-0.011784,-1.010979,0.001777,6.1e-05,-5.6e-05,4.3e-05,680.334781,193.254859,90.280047,-646.031215,1036.4325515000003,-428.47418179999994,387.79847269999993,172.40029090000002,11.550454608619964,0.4950622011786747
1443045838,1.012078,0.020301,-0.011494,-1.011808,0.001594,5.8e-05,2.8e-05,-4e-06,680.731239,193.543637,90.316316,-646.35728,1039.1752225000002,-438.9901818,319.6696727,390.4314909,-2.933765166426028,-0.8278823937745424
1443045898,1.008757,-0.018567,-0.286967,-0.88922,0.467842,-0.009645,-0.022037,-0.042824,716.672853,193.163121,91.213183,-683.929262,1020.9614890999999,-22.488,-1.9264000000000003,-1020.6064,-3.248883216898583e-19,1.535723029939808e-18
1443045958,0.998307,-0.694443,-0.299604,0.304345,0.218645,0.040403,0.037017,0.059632,618.840432,153.882008,84.208654,-592.995321,1022.5166916000002,-9.502981799999999,72.03447270000001,-893.7469090999999,-3.248883216898583e-19,1.535723029939808e-18
1443046019,1.01384,0.043952,-0.131996,-0.989241,0.235654,-0.00774,0.010354,-0.03238,656.445398,166.958198,87.56863,-628.672081,1038.8115245000001,-243.75759999999997,533.7184,-207.6648,-2.146667329374315,-1.2673815363293426
1443046078,1.011143,-0.143479,-0.080698,-0.997651,0.003297,0.000295,-0.001468,0.000263,674.887673,181.891093,89.375669,-643.739011,1044.6569557999999,-150.342,556.298,236.64600000000002,4.4487993212414345,1.2122743926296247
1443046138,1.010959,-0.142957,-0.078532,-0.997713,0.002109,8e-05,6e-05,5e-06,675.097347,181.846086,89.415801,-643.965992,1045.1978739,-90.3428,671.1987999999999,158.79719999999998,-1.9005154308630163,-0.3986974099209214
1443046198,1.011089,-0.146516,-0.074714,-0.997606,0.004161,-0.000321,-0.000517,-1.6e-05,675.317567,181.665196,89.683209,-644.210593,1044.6155052999998,-155.6132,585.6756000000001,201.674,-0.5071249417343999,0.0773369183246904
