,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1464302284,1.004543,-0.145786,0.592468,0.689895,0.435218,-0.030962,0.07063,0.080204,50.078178,23.682228,-34.101418,-17.915392,6.448321,1.486977,0.625049,-0.171834,0.501042,-0.25639,0.048415,-0.270921,-0.077741,0.073122,-0.047093,-0.052399,-0.048393,1035.3847117,57.719698599999994,517.0665038,-162.77200520000002
1464302341,1.003282,0.08696,0.55125,0.826419,0.269327,0.009379,-0.009982,0.002385,65.583829,39.28692,-50.132548,-15.34365,8.125369,1.5381,0.520816,-0.555526,0.373527,-0.244044,0.110386,-0.208584,-0.074445,-0.041535,0.006207,-0.153425,-0.201621,1041.709122,27.0758279,632.8983227,-258.039536
1464302394,1.007147,0.063398,0.019542,1.004956,0.002898,-0.000366,-0.000179,0.000118,51.129657,40.443944,-19.728243,-24.27292,7.424923,1.641669,-0.100715,-0.2276,0.267143,-0.348406,0.054944,-0.105818,-0.073648,-0.086535,-0.081559,-0.139976,-0.078089,1270.8030787999999,564.2951289999999,490.08517870000003,-395.78240939999995
1464302461,1.00819,0.053786,0.042289,1.005849,0.002368,0.000631,3e-06,0.000576,43.041571,32.974844,-11.800851,-25.016921,6.820891,1.416981,0.249598,-0.081614,0.514864,-0.21155,0.112611,-0.055499,0.030403,-0.001828,0.044378,0.009898,-0.031743,1001.3309554,-15.284571399999994,-45.04731430000002,-906.060819
1464302514,1.007349,0.040746,0.052022,1.004682,0.037483,0.000249,0.000344,-0.031049,39.559838,28.396453,-10.200453,-25.280528,6.836534,1.630996,-0.177119,-0.098762,0.352311,-0.645517,-0.068305,-0.100507,-0.05354,0.100796,0.020821,-0.071686,-0.135483,1024.1544018,72.0137143,10.397257100000001,-846.1046286000001
1464302574,1.011214,0.039896,0.065364,1.007008,0.052465,0.000921,-0.046935,-0.004329,35.475493,25.163833,-9.315662,-23.19995,7.551178,1.798354,0.123614,0.003516,0.544336,-0.522216,0.036835,-0.033778,-0.123705,0.083443,0.141605,-0.087481,-0.0592,1186.3268328,335.68436360000004,518.1767064999999,-384.82498350000003
1464302664,1.005859,0.039371,0.065484,1.002933,0.008005,0.000521,-0.000404,0.000141,42.095909,31.903643,-9.895402,-25.615704,6.678668,1.401165,0.023238,-0.068906,0.280678,-0.41075,-0.15531,-0.21702,-0.095223,0.02536,-0.027644,-0.151042,-0.084393,1001.3309554,-15.284571400000004,-45.04731430000002,-906.060819
1464302694,1.007192,0.038647,0.064032,1.004396,0.005821,0.000646,0.000835,0.000802,41.986734,31.900278,-9.737901,-25.500986,7.364581,1.597945,-0.099181,-0.095222,0.387014,-0.559212,-0.214395,-0.247626,-0.089897,-0.008522,-0.002022,-0.057956,-0.168855,1001.3309554,-15.284571400000004,-45.0473143,-906.060819
1464302790,1.006697,0.038645,0.063775,1.003891,0.00722,0.000231,0.000223,0.000552,42.174308,31.967159,-9.766934,-25.715294,7.486965,1.318307,-0.174397,-0.176119,0.215825,-0.514599,-0.140829,-0.1657,-0.079985,0.077754,0.040656,-0.081503,-0.104841,998.312439,-83.52,-138.496,-985.045333
1464302821,1.007664,0.040408,0.065761,1.004697,0.002652,0.000632,0.000564,0.000554,42.269089,32.046312,-9.960532,-25.698175,7.197783,1.486471,0.161334,-0.146432,0.281663,-0.492888,-0.08049,-0.128337,-0.037294,0.016049,0.146082,-0.064577,-0.00885,996.613006,-83.84,-136.8,-983.54
1464302907,1.006776,0.039301,0.064179,1.003923,0.010103,0.000565,0.000562,0.000607,42.333855,32.431176,-9.936713,-25.328116,6.351373,1.465972,0.027595,-0.107177,0.322951,-0.490026,-0.195783,-0.323009,-0.13506,-0.014586,0.011698,-0.033026,-0.159595,995.994032,-80.365714,-137.6,-983.085714
1464302940,1.006263,0.040427,0.065991,1.00328,0.001837,0.000573,0.000135,0.000332,42.219746,32.32238,-10.163924,-25.186937,8.014774,1.320949,-0.069085,-0.190343,0.212406,-0.525294,-0.084901,-0.085214,-0.047391,-0.10852,0.126095,-0.035847,-0.108867,998.047557,-81.211429,-138.171429,-985.028571
1464303045,1.005399,0.038005,0.062695,1.002716,0.002303,0.000863,-0.000643,0.000655,42.637204,33.02359,-10.573578,-24.808748,6.764755,1.655209,-0.186586,-0.363371,0.314563,-0.552088,-0.169781,-0.251631,-0.098982,-0.005645,-0.005253,-0.061317,-0.212704,997.56251,-69.508571,-127.542857,-986.857143
1464303080,1.005022,0.038818,0.06397,1.002226,0.002151,0.000886,-0.000403,0.000483,42.55958,32.934007,-10.622807,-24.773097,7.480538,1.567347,0.035711,-0.230082,0.353727,-0.512709,0.041245,-0.174287,-0.106275,0.089509,-0.017855,-0.046261,-0.135656,999.016179,-70.125714,-127.885714,-988.251429
1464303120,1.005331,0.039828,0.066212,1.002355,0.001356,0.000205,0.00029,1.4e-05,42.653515,32.973755,-11.09378,-24.67555,9.629631,1.229289,0.352882,-0.351558,0.374797,-0.311874,0.013984,-0.088533,-0.065984,-0.01471,-0.121115,-0.025659,-0.096161,997.307649,-70.08,-128.091429,-986.491429
1464303207,1.008274,-0.000188,0.068617,1.000677,0.12022,-0.000424,-0.020258,-0.002665,42.796043,35.005551,-7.829734,-23.012091,7.359869,1.539641,-0.107254,0.026077,0.300051,-0.603487,-0.07336,-0.314865,-0.100295,0.169796,0.010933,-0.128972,-0.084773,995.539229,-73.234286,-119.108571,-985.554286
1464303251,1.006001,0.037162,0.059298,1.003536,0.007177,0.000337,-0.00056,-0.000183,42.273279,33.539164,-7.621367,-24.574329,8.149386,1.260972,-0.115342,-0.131907,0.119058,-0.41824,0.00048,-0.093172,-0.021178,0.097722,9.8e-05,-0.139837,-0.066121,997.489126,-78.171429,-121.28,-986.925714
1464303317,1.007303,0.036814,0.054063,1.005172,0.002302,0.00013,0.000637,0.000508,47.03569,39.732091,-5.497567,-24.563422,7.238527,1.637321,-0.072636,-0.06897,0.412007,-0.485364,-0.138064,-0.099998,-0.006586,0.061768,0.124572,0.011221,-0.080343,996.675,-31.2,17.92,-995.885714
1464303384,1.006392,0.035546,0.053474,1.004328,0.002583,-0.000139,1.9e-05,0.000697,44.824751,37.680987,-5.758177,-23.580987,6.491801,1.487083,-0.008809,-0.03659,0.323422,-0.568857,-0.097311,-0.126432,-0.08215,0.121187,0.078247,0.008987,-0.095402,1030.609555,-27.306667,-26.16,-985.6
1464303420,1.006148,0.035567,0.053341,1.004101,0.002065,0.000714,0.000288,5.2e-05,44.516938,37.534481,-6.034709,-23.160304,6.633063,1.605357,-0.16269,0.060176,0.353512,-0.698284,-0.15394,-0.166489,-0.084772,0.053282,0.069089,-0.005888,-0.1191,1002.9776507,-93.9969524,-13.852571399999999,-881.5497144000001
1464303508,1.006581,0.037062,0.052948,1.004491,0.00398,0.000779,0.000582,-0.000453,45.359286,38.824172,-6.477193,-22.540354,6.054757,1.70707,-0.00188,0.140523,0.478589,-0.579638,-0.145029,-0.106397,-0.010648,0.138947,0.190441,-0.042197,-0.077413,995.78944,-37.965714,-2.011429,-994.994286
