,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1464303710,0.970379,0.01304,0.030192,0.969774,0.050626,-0.001241,3.9e-05,0.009415,451.785618,150.682805,81.427271,-418.025459,1032.879074,13.546667,-31.84,-1032.213333,1.69376189181463,0.05918523072842337
1464303786,0.969021,0.012377,0.026178,0.968583,0.001906,0.000276,-0.00056,-0.001391,450.402425,155.76576,78.067129,-415.336814,1032.8834914000001,55.7532191,79.30071180000002,-1008.6028507000001,1.9702773435726149,-0.015308727042012853
1464303847,0.969699,0.01327,0.027194,0.969222,0.001756,-0.000223,-0.000164,-0.000302,452.605711,153.929658,75.572853,-418.862817,1033.4107798999999,54.91158170000001,75.45219719999999,-1008.9473652999999,2.0240549052065657,0.027662121318328486
1464303922,0.968425,0.012928,0.028399,0.967917,0.001771,4.2e-05,4.2e-05,-0.000135,452.627395,155.883959,73.730099,-418.491835,1026.678814,-78.7,14.98,-1018.22,2.4660316602893526,0.2991693881858223
1464303993,0.970217,0.013946,0.02735,0.969726,0.001861,-1.1e-05,-0.000304,-0.001241,452.479165,155.562556,74.014342,-418.400935,1033.78292,208.298667,196.906667,-985.386667,2.4860917990522045,0.3620139404625488
1464304046,0.970012,0.01378,0.027644,0.96949,0.008422,-0.000343,1.7e-05,9.1e-05,452.156233,155.513957,74.159741,-418.043463,1033.917276,149.653333,172.629333,-1007.36,-0.8114662222597404,0.026140925773010026
1464304117,0.969883,0.013979,0.028008,0.969375,0.002034,-0.00125,-0.000109,-0.000352,451.990422,155.331327,74.234981,-417.919179,1032.090071,92.458667,432.384,-932.074667,2.0681239780650147,0.2102884699321773
1464304159,0.969227,0.013215,0.026971,0.968753,0.004354,-0.000522,-0.000331,0.000242,451.924335,155.367598,74.244122,-417.832254,1031.51717,148.437333,268.309333,-981.482667,-0.27007017147898693,-0.1650332306902287
1464304240,0.969717,0.02032,0.019255,0.969233,0.029891,-0.000165,0.001424,0.013862,438.783846,124.156105,75.035875,-414.096253,1031.968491,-269.333333,403.733333,-909.546667,2.207920163687386,0.14575465826423256
1464304301,0.968945,0.013074,0.017867,0.968686,0.002422,-0.000233,-0.000212,5.8e-05,439.627563,128.144355,75.768387,-413.65485,1031.196241,-263.829333,329.941333,-940.565333,0.3644769822707742,0.050580751268336444
