,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1442423219,1.066737,0.096691,-0.130937,-1.03576,0.220567,0.016156,0.010635,-0.011199,120.5860839996905,-0.5260443822346023,23.2924367455896,-111.20226621169917,-7.25362,1.00376,-2.011051,-0.438838,-1.748724,-0.980843,-1.597666,-1.186715,-1.109985,-0.677104,-0.850407,-0.656696,-0.767209,1039.6215157000001,21.3800321,546.9393263,-101.66451729999997
1442423284,1.068657,0.071008,-0.247966,-1.031107,0.093808,-0.010087,0.004639,0.012299,153.93033,20.097883,28.914193,-149.692714,-9.123663,2.143989,-1.765477,-0.796425,-1.616833,-0.867203,-1.736485,-1.152851,-1.038203,-0.651491,-1.025758,-0.678315,-0.721022,1032.5391085,-71.4086154,433.18301540000004,-359.70523080000004
1442423341,1.069523,0.024696,-0.26863,-1.029199,0.109768,0.014165,-0.017934,0.008087,120.5860839996905,-0.5260443822346023,23.2924367455896,-111.20226621169917,-7.051303,2.389861,-2.782903,-0.68231,-1.068728,-1.245536,-1.494069,-1.033891,-1.175988,-0.875771,-0.871991,-0.571731,-0.807944,994.639812,-1.712,-11.744,-994.496
1442423401,1.059584,0.199695,-0.501092,-0.823398,0.429171,0.005779,-0.012015,0.009912,120.5860839996905,-0.5260443822346023,23.2924367455896,-111.20226621169917,-6.84884,1.038935,-1.640701,-0.195972,-1.974133,-1.254608,-1.624684,-1.083221,-1.020943,-0.725862,-1.056429,-0.616064,-0.713586,993.168785,-2.576,-10.912,-993.04
1442423447,1.073392,0.171079,-0.220606,-1.000442,0.275647,-0.068201,0.041915,0.090356,120.5860839996905,-0.5260443822346023,23.2924367455896,-111.20226621169917,-11.441166,1.295188,-1.91856,-0.154085,-2.037126,-1.293999,-1.589076,-1.004724,-0.930728,-0.651661,-1.117635,-0.531149,-0.946192,1004.660377,8.864,-3.472,-979.6
1442423507,1.066668,0.023451,-0.003459,-1.066392,0.008035,0.002473,-0.001394,-0.001348,157.169869,-26.484316,16.542462,-154.027664,-11.449639,1.315208,-1.948107,-0.739015,-1.699637,-0.851505,-1.652765,-1.188987,-1.069967,-0.319959,-1.266004,-0.682777,-0.589427,995.221582,5.808,-18.672,-994.96
1442423567,1.065398,0.023256,-0.00242,-1.065129,0.007018,0.000282,-9.8e-05,-0.00033,156.738426,-26.304119,15.908982,-153.685655,-14.000455,0.817879,-1.718106,-0.325087,-1.699865,-1.459868,-1.760612,-0.745502,-0.963392,-0.696532,-1.003629,-0.529154,-0.84474,996.515447,6.72,-17.888,-996.272
1442423627,1.063848,0.023531,-0.001838,-1.063577,0.006711,-7.1e-05,9.1e-05,0.000286,156.622916,-26.205593,15.479724,-153.629176,-12.040565,1.0919,-1.962181,-0.507786,-1.962909,-1.271951,-1.637207,-0.665293,-0.780531,-0.800786,-0.82831,-0.649676,-0.960464,996.664458,6.8,-17.616,-996.416
1442423687,1.062756,0.024087,-0.001131,-1.062471,0.006984,-0.000259,0.000425,0.000768,156.544251,-26.065583,15.337506,-153.587042,-12.777041,0.944502,-1.553954,-0.330565,-1.816122,-1.356814,-1.731196,-0.925749,-0.777372,-0.590842,-1.164703,-0.681922,-0.803438,996.242454,7.024,-15.376,-996.032
1442423747,1.061818,0.025791,-0.00332,-1.061488,0.008493,-0.001778,0.001378,0.001661,156.593509,-25.807603,15.04483,-153.709412,-8.189557,1.322175,-1.712718,-0.498831,-1.673867,-1.127857,-1.658266,-0.682527,-0.991323,-0.621714,-1.005069,-0.714678,-0.935284,996.177087,8.112,-20.08,-995.872
