,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1449177721,1.016395,0.007419,-0.005317,1.016346,0.003603,0.000534,-0.000126,-0.00041,382.562815,-123.266879,12.602647,361.93798,1024.1056502000001,-226.7312807,776.2794263,125.93017370000003,-1.1860294864188206,2.1883274687404253
1449177781,1.016252,-0.00627,0.001506,1.015982,0.057314,0.000267,-0.000305,0.054229,422.48934,-126.165853,-68.124628,397.365912,1026.6073883,-428.7858747,455.8532604999999,421.2940041,0.18825699753854908,1.1129571543821069
1449177847,1.009593,-0.034295,0.358182,0.905776,0.184893,-0.032127,-0.004595,-0.005186,448.551088,-170.418195,-43.307592,412.399933,1048.9898434000002,-51.18758799999999,411.80287680000004,-171.6367677,6.562075012220142,1.432391722181212
1449177916,1.017208,0.003128,0.006765,1.016997,0.012411,0.000172,0.000167,0.001805,427.828988,-180.943824,-42.058861,385.391291,1027.8603025,-503.01991340000006,114.11149220000001,-565.6683866,1.516814546741795,1.357794474078166
1449177977,1.016843,0.021738,-0.024173,1.016307,0.006397,0.000227,0.000776,-8.5e-05,425.870027,-81.802375,55.04451,414.297232,1041.2322814,39.857600100000006,363.16647279999995,-102.50875160000001,0.5968497630735553,1.7814516538052678
1449178012,1.015776,0.020078,-0.021972,1.015315,0.011287,-0.000183,0.000772,-0.001228,426.175226,-81.739334,55.179098,414.605259,1041.2322814000001,39.857600100000006,363.16647279999995,-102.50875160000001,-2.194128687455393,1.2805303747387302
1449178088,1.022699,-0.001965,0.102599,0.981564,0.452575,0.002253,0.014458,0.162065,427.967917,-130.634634,51.54762,397.959434,1021.5277385000002,-251.40285260000002,441.2604606,143.36565650000003,3.3363476233459055,1.4648810418874134
1449178146,1.01663,0.015882,-0.001026,1.016492,0.018258,-0.00263,-0.008445,0.008847,414.199291,-84.473026,85.615745,396.350513,1033.131669,-29.226667,-18.951111,-1032.177778,-0.5703069392855145,2.105107928184377
1449178200,1.018279,0.001477,0.010003,1.01753,0.049091,0.000365,0.001398,-0.041409,470.552159,-138.19546,-37.828206,447.752873,1035.981598,12.8,-29.577143,-1034.742857,1.8163741783303895,1.8044159484143263
1449178257,1.017511,-0.000793,0.011368,1.017441,0.005369,8.9e-05,0.001448,0.001332,484.547162,-136.904177,-41.053671,462.986303,1036.462354,14.674286,-29.897143,-1035.84,1.0795422307916696,1.8416457953217142
