,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1441303601,0.985904,-0.007274,0.030957,0.985377,0.01397,0.003132,-0.012868,0.0013,80.080315,-43.629075,-41.280975,-52.9626,1024.4929984999999,-595.0719873999999,160.8343187,-442.1689361999999,0.7110962996963135,0.7579615916508713
1441303711,0.986237,-0.009923,0.029146,0.985729,0.013803,0.003428,-0.012711,0.001456,92.267392,-52.443,-51.591225,-55.489875,1021.7388274000001,-387.3085052,690.7608421,-93.0692842,-0.3367440812652927,1.0469871245328157
1441303771,0.985829,-0.009172,0.029576,0.985339,0.013381,0.003679,-0.012463,0.001686,96.515298,-58.65375,-51.217875,-57.022125,1022.2366912,-670.209398,370.03647629999995,-471.90448769999995,0.1329035981220109,1.2297561363914964
1441303832,0.99257,0.055596,0.268054,0.908467,0.204493,-0.023833,0.00061,0.068276,109.316316,-53.943675,-77.045925,-43.15875,1017.1329042,-169.9056,852.5904,-66.6576,1.7844560197590875,0.8521978925564144
1441303909,0.998947,0.070531,0.70339,0.702199,0.088922,0.00799,-0.00868,-0.005717,118.706594,-30.265725,-113.11155,-19.202625,1074.1257278,-16.219469300000004,340.5507085,-644.2366457,-0.3565931414461982,1.1926863701797685
1441303969,0.999072,0.002366,0.711602,0.699913,0.102604,0.002531,-0.01883,-0.003821,107.075533,-31.323525,-101.434125,-13.686825,1073.6958201,211.3320889,768.4608000000001,-64.5397334,3.682682956890163,1.087509829603703
1441304029,1.001548,0.100676,0.781983,0.61659,0.062961,0.007405,-0.011645,0.004385,115.175194,-42.057075,-106.819275,-9.226575,1155.1915787,205.7644167,620.237371,-216.03837950000008,0.20068293187679503,2.1254750105671323
1441304093,0.999246,0.107709,0.678061,0.720122,0.198598,0.00741,-0.013017,-0.002944,116.141374,-40.463475,-107.491725,-16.624125,1154.1748198,13.361236600000002,564.7891791,-328.55713979999996,-0.3140947582590027,1.0918642034802681
1441304154,1.000231,0.014031,0.761346,0.647623,0.051064,0.004318,-0.012084,0.000845,116.280354,-34.0653,-110.590275,-11.395275,1108.5220032000002,104.24166749999999,495.86666639999993,-438.62603520000005,-0.7201846594550825,0.658669228958331
1441304215,0.995702,0.015427,0.441977,0.887996,0.326795,-0.032704,-0.031393,0.004894,85.378765,-46.161675,-52.005825,-47.24565,1016.4282135999999,-188.1251368,557.4445474,-689.2492632000001,3.654059025532217,0.7946606024833025
1441304285,0.988592,-0.005231,0.028682,0.988098,0.061106,0.002354,-0.011068,0.005404,69.69172,-37.250475,-27.55485,-52.0527,1047.0618203,412.4276637,348.03038389999995,-332.6399809999999,2.5882151218155847,0.8615198549519505
1441304347,0.989087,-0.004775,0.02761,0.98868,0.014278,0.002362,-0.013738,0.000274,70.740765,-37.63605,-28.8063,-52.515075,1047.0618203,412.4276637,348.03038389999995,-332.639981,-0.0380499276312365,0.7182276857862274
1441304442,0.987778,-0.00428,0.027851,0.987368,0.014184,0.002773,-0.013307,0.00092,69.252719,-36.932025,-27.13575,-51.9135,1047.0618203,412.4276637,348.03038389999995,-332.639981,-0.7871551214634335,1.3688006558868135
1441304466,0.987434,-0.004993,0.027455,0.987013,0.013738,0.002825,-0.013204,0.000884,68.51795,-36.41085,-26.26095,-51.761025,1047.0618203,412.4276637,348.03038390000006,-332.639981,-1.249790194823074,1.2246134288731354
1441304524,0.987029,-0.003769,0.029082,0.986581,0.013991,0.003231,-0.013278,0.001237,69.862994,-39.34485,-31.78875,-48.18855,1044.7931495999999,345.44387420000004,388.6186997,-280.70461259999996,0.12271284838384537,1.0715397553921233
1441304607,0.986074,-0.003613,0.028897,0.985641,0.013961,0.003669,-0.013059,0.001511,69.854146,-39.284475,-31.89945,-48.15225,1032.831858,15.6,-24.24,-1032.032,-1.214312303576597,1.2633267114099482
1441304665,0.985747,-0.004084,0.03019,0.985265,0.013998,0.003826,-0.013255,0.001413,69.744095,-39.007575,-31.43265,-48.52215,1034.916118,15.502222,-22.88,-1034.453333,-1.518212488522462,0.7641821194224893
1441304725,0.996789,-0.092599,0.617113,0.776678,0.074265,0.005944,-0.016185,0.003694,116.600864,-32.1726,-110.781825,-16.425225,1031.532406,15.697778,-20.764444,-1030.862222,0.7237961059960297,1.3777783534481827
1441304785,0.998438,-0.030359,0.68387,0.726182,0.14971,0.002264,-0.011622,0.006813,118.08486,-36.49335,-110.779725,-18.00915,1033.626351,14.663529,-23.416471,-1033.148235,0.31202086694555164,1.4866867897084475
1441304846,0.98634,-0.012933,0.034098,0.985663,0.013797,0.003555,-0.01308,0.001459,99.885935,-34.6515,-80.91735,-47.2095,1034.783223,14.72,-23.253333,-1034.328889,-1.728306021533976,1.0586353847001364
1441304907,0.985712,-0.013337,0.033751,0.984976,0.013876,0.003875,-0.012413,0.001726,98.926044,-34.143975,-79.837276,-47.3973,1034.840878,14.72,-21.232,-1034.0,1.4796169093394014,1.0043515763650286
1441305028,0.984917,-0.012507,0.033763,0.984241,0.01395,0.003874,-0.013113,0.001784,99.524216,-34.404675,-80.446275,-47.43105,1033.828991,14.144,-23.184,-1033.376,0.6129424769844757,1.2272835981075119
1441305088,0.984586,-0.012324,0.034473,0.983899,0.013953,0.004239,-0.013024,0.001976,98.855045,-34.083075,-79.951425,-47.09925,1034.918342,14.448,-22.704,-1034.464,-0.24773805476750896,1.2539647272497558
1441305148,0.984614,-0.007438,0.029893,0.984129,0.013495,0.003984,-0.012663,0.001896,99.042,-37.2246,-78.659025,-47.2896,1035.7842,14.272,-22.528,-1035.344,-0.2861255736427814,1.4405914538354105
1441305225,0.984358,-0.008588,0.03021,0.983853,0.013496,0.004281,-0.012564,0.001791,99.288099,-38.243925,-78.4974,-47.260875,1048.825786,-11.68,-23.184,-1033.232,-0.6345066506721193,1.362111329797719
1441305301,0.994009,0.029387,0.500626,0.853299,0.17422,0.004032,-0.014316,0.010213,116.687754,-38.9301,-105.68025,-30.116025,1035.739321,13.456,-21.696,-1035.312,1.8170920475421983,1.4613960676909523
1441305362,0.995695,-0.157467,0.504625,0.832892,0.234875,0.016433,-0.005802,0.005275,107.953757,-21.423375,-102.07155,-27.357375,1035.654385,15.232,-23.424,-1035.2,0.049170712252787324,1.1817857735986557
1441305422,0.999267,-0.026951,0.658252,0.7287,0.176142,-0.014397,0.022374,0.01965,115.13084,-20.771625,-111.085275,-21.215025,1033.632933,16.272,-22.064,-1033.184,0.4667261998940568,0.9672429251931711
1441305509,0.984959,-0.007257,0.018017,0.984761,0.013628,0.003495,-0.012997,0.001272,96.801584,-48.70065,-69.034425,-47.2542,1034.721335,14.672,-22.032,-1034.288,-0.40122967947797766,1.0529992031770128
1441305565,0.996421,0.015909,0.563662,0.804126,0.334916,0.012578,-0.022465,-0.005002,117.506749,-39.884025,-107.132925,-25.638675,1034.240551,13.488,-21.696,-1033.84,0.9935745919414658,0.6241273669290568
1441305625,0.985187,0.009323,-0.008575,0.9851,0.013999,0.003848,-0.013232,0.001516,93.635892,-22.313925,-77.02845,-48.333525,1035.318827,13.088,-23.248,-1034.896,-0.5004448053844439,2.049884142323862
1441305686,0.984443,0.008777,-0.011529,0.984333,0.014004,0.004152,-0.013127,0.001728,93.17351,-21.993975,-76.420275,-48.55335,1034.03872,15.184,-18.944,-1033.648,0.18860129391647232,1.9877958072859983
1441305747,0.984697,0.010469,-0.008897,0.984584,0.014058,0.003941,-0.012766,0.00159,93.275201,-21.959775,-76.52235,-48.603075,1034.956448,-320.976,687.328,-208.976,-0.9932519163493164,1.4711420282508547
1441305808,1.003786,-0.179867,0.12262,0.74903,0.896008,-0.010923,0.064691,0.213202,82.787593,-21.467325,-61.107075,-38.276175,1030.047186,-114.368,677.984,-430.336,-0.7242098154653159,0.9366240745919031
1441305904,1.010955,-0.268386,0.761206,0.442084,0.635624,-0.048476,-0.027098,0.052482,108.062878,-32.221125,-95.274975,-33.0636,1034.344101,-624.928,590.688,-317.84,-2.017822581362339,1.0056683608810013
1441305966,0.998044,0.07694,0.684641,0.72084,0.040866,-0.003513,-0.0186,-0.001279,109.421324,-50.8899,-88.99785,-38.19735,1050.4679456999997,-133.09437410000004,580.5195482,-417.61768359999996,1.8995604821450325,2.139424863043066
1441306058,1.002146,0.165092,0.307592,0.932582,0.334593,0.002513,-0.014244,0.034184,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1026.077615,-78.16,926.528,46.448,-1.3352403878734453,1.7964769732963357
1441306105,0.990582,0.2537,0.260643,0.916308,0.20589,0.005279,-0.026165,0.016246,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1017.961957,-90.432,992.288,175.904,-4.156472823095714,1.710031795626005
1441306200,0.989672,0.241327,0.2748,0.914932,0.193766,0.003046,-0.016639,0.010794,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1017.199736,-39.024,995.504,193.872,-1.260350952915712,2.1806662955863723
1441306311,1.16151,0.081721,0.984036,0.028599,2.46919,-0.034542,-0.031139,-0.052568,85.464975,-10.8249,-82.91415,16.181025,1137.114206,718.288,439.472,-397.888,1.05393366492207,0.8861762272392445
1441306386,1.002552,-0.278994,0.410188,0.694373,0.807675,0.055578,-0.141697,-0.062169,61.632958,-24.648825,-47.42055,-21.50685,1025.943708,-198.784,940.592,252.496,1.014307429772067,1.0565060218871474
1441306467,1.007902,0.430977,0.857911,0.200483,0.277279,0.003789,-0.030964,0.002435,99.748212,-60.009225,-77.396175,15.753075,1056.822703,201.2,696.128,73.856,-1.4425758164727625,0.7867797503669699
1441306520,1.034746,0.320406,0.591049,0.654835,2.801401,-0.059189,-0.059166,-0.027026,75.882685,-40.5678,-53.228625,-34.012875,1059.021724,678.656,318.832,-708.752,-6.382981418213553,0.5969256403841176
1441306599,1.015849,0.158607,0.820152,0.252934,1.162742,0.08282,0.051094,0.017953,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1101.683469,812.864,238.8,-588.784,-2.778974548515152,1.253579878914149
1441306660,1.003804,0.227497,0.567231,0.701098,1.347925,-0.011382,0.003873,-0.025212,78.7864,-46.063725,-53.26755,-32.643225,1052.828707,706.496,242.688,-729.76,-3.7170250448626425,0.8331812789147904
1441306758,0.99104,0.098484,0.337093,0.923335,0.11654,0.002278,-0.010528,0.002428,62.484135,-15.009525,-50.857725,-32.985825,1014.12761,-16.08,962.208,310.272,1.8854255180379846,1.566852004007914
1441306809,1.064522,0.56551,0.742149,0.197562,1.834801,-0.069591,-0.061158,-0.039237,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1074.398253,953.44,422.336,-144.112,-1.9307341102935296,0.5260855125694611
1441306870,1.035759,0.639968,0.761938,-0.068456,0.924512,-0.029012,-0.068093,-0.006106,105.744263,-44.0775,-93.119925,19.1274,1028.811409,562.288,679.6,-74.992,-0.35161554705125914,1.032303459903022
1441306926,1.016651,0.651322,0.763378,-0.047282,0.512477,-0.00119,-0.014337,-0.002323,105.157812,-38.088525,-97.350675,9.036,1048.513213,336.432,622.96,-16.112,0.10167300413877849,1.2722137009821821
1441307005,1.008667,0.125738,0.223198,0.771349,0.578642,-0.28974,-0.18665,-0.05625,93.285526,-37.73715,-79.38345,-24.720525,1018.698732,-58.016,987.216,102.64,0.7400429892869932,1.4610718644732872
1441307076,0.99138,0.148312,0.118232,0.85675,0.314796,0.089454,-0.064172,-0.01797,92.988472,-40.8063,-76.920525,-25.297125,1022.816208,-84.736,925.744,207.376,0.09397759439115203,1.2682922947823563
1441307136,1.016166,0.639162,0.778826,-0.082151,0.311548,0.007589,-0.036006,-0.005058,101.495336,-36.83025,-89.634975,29.902725,1021.443283,-112.304,950.416,-23.296,0.19963280783833875,0.9180869967913239
1441307182,1.102155,0.605487,0.792083,0.042367,2.191326,-0.04456,-0.079966,-0.043492,96.864649,-67.411725,-67.1895,-7.9629,1059.148013,199.28,737.168,13.648,-0.6345971985004141,1.0566957911896109
1441307259,1.056935,0.024069,0.737942,0.186991,1.467246,-0.066019,0.079388,0.195334,88.004477,-39.32445,-71.246175,15.044775,1082.492322,597.152,323.936,-290.272,-0.3286349171329104,0.947747189333083
1441307359,1.02183,0.194523,0.62306,0.676574,1.854521,0.035722,0.018745,0.024688,85.170066,-16.67745,-79.5975,-22.073925,1138.120306,715.024,322.224,-692.512,-1.324219987578323,0.7088209394059706
1441307420,1.030948,0.063942,0.654931,0.672428,2.316281,-0.026216,-0.030149,0.000928,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1097.122157,691.2,332.896,-691.776,-3.8749031272136856,1.2879155202848698
1441307483,1.005243,0.230243,0.473321,0.793505,1.040271,-0.012476,-0.024299,0.006082,92.366208,-25.6062,-85.653975,-20.903325,1175.670768,711.088,312.08,-669.712,-3.8353652290278606,2.086458880163818
1441307544,1.030675,0.09622,0.744755,0.4889,2.311511,-0.035881,-0.115308,0.052842,80.628046,-26.4087,-68.2938,-26.738175,1123.854177,679.056,304.256,-667.488,-3.910912536190209,0.5529932506966383
1441307580,1.028827,0.076723,0.666068,0.63896,2.974954,0.007438,-0.015359,0.002163,77.389693,-13.8852,-70.551825,-25.5468,1074.197052,646.384,361.296,-735.744,-4.385511222454482,0.3253023663115694
1441307640,1.042549,0.143605,0.669033,0.597552,2.320118,-0.048417,0.026388,0.116567,82.397049,-20.499675,-73.4292,-26.874075,1143.305508,749.664,279.344,-669.344,-3.1251977165358116,0.8378748030896493
1441307679,1.028234,0.098138,0.617975,0.688519,2.363126,-0.001984,-0.045545,-0.079712,73.763821,-25.398975,-58.992975,-33.2214,1157.741836,739.168,290.352,-645.328,-4.861248260131476,0.4958318388077201
1441307739,1.046638,0.071685,0.698325,0.622025,3.256051,0.027047,-0.095584,-0.03073,78.544214,-36.680775,-59.1942,-31.821825,1121.251202,647.488,334.608,-706.688,-4.024792543306618,0.37870406009884205
1441307805,1.085848,0.093891,0.729554,0.50561,3.50302,-0.00743,-0.099162,0.035685,90.292688,-50.55585,-68.960925,-20.9628,1108.445856,667.888,372.64,-652.544,-5.092088424194122,0.906090194329141
1441307859,1.045026,0.066513,0.684615,0.626621,3.359701,0.01037,-0.02773,0.142141,73.174962,-17.198325,-63.107325,-29.85255,1086.939068,636.08,415.008,-705.344,-3.2628108369942925,1.2384632127051596
1441307919,1.044579,0.141504,0.861425,0.35972,2.77981,0.046998,0.145188,0.18509,86.522565,-15.5577,-82.446525,-11.90205,1073.787147,752.48,393.392,-558.992,-3.4284103109640345,0.582311440338226
1441308000,1.118835,0.044862,0.982543,0.038384,2.315123,0.026158,0.156651,-0.048983,98.45543787756317,-51.23006823432392,-70.58690883922733,-34.06923100802378,1057.009268,764.112,154.128,-672.928,-0.9303365070966438,0.8911979726051361
