,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1449009040,1.011079,0.005912,0.002454,-1.011034,0.004088,-0.0002,0.00039,0.000114,614.06209,107.040181,46.364029,-602.879415,-8.436874,1.769032,-1.300377,0.050829,-2.078327,-1.424438,-1.695937,-0.794114,-0.880825,-0.806566,-0.838169,-0.586643,-0.739983,1040.7663598,166.46826670000002,283.97022219999997,-230.95324440000005
1449009101,1.01001,0.007236,0.002715,-1.009958,0.003537,0.000535,0.000145,1e-06,613.391943,106.45005,46.209112,-602.313278,-4.567002629329963,-0.7312962891698274,-1.5397033843236412,-0.4435028807416772,-1.2277571568478718,-0.469525179098188,-0.9679802091024019,-0.44307753442899284,-0.7369268439106615,-0.39907411639275175,-0.5963880710493047,-0.3489963343447113,-0.5070216857985672,1019.981987,-18.48,16.0,-1018.56
1449009161,1.009967,0.008626,-0.001226,-1.009907,0.003171,-0.000112,-6.9e-05,-2.8e-05,613.542738,106.652235,46.098583,-602.43968,-16.267653,1.125262,-1.045793,-0.106793,-1.822044,-1.295587,-1.659859,-0.83045,-0.915151,-0.812095,-0.913256,-0.611249,-0.595292,1018.733816,-14.656,12.448,-1018.416
1449009221,1.00988,0.007822,-0.002538,-1.009835,0.00243,-2.9e-05,-3e-06,-5.8e-05,613.698983,106.690409,46.10078,-602.591963,-8.769728,1.882998,-1.231414,-0.104511,-1.950853,-1.151491,-1.758315,-0.970439,-0.82908,-0.694309,-0.969148,-0.687283,-0.74883,1017.993964,-15.952,12.656,-1017.648
1449009274,1.007295,0.002874,-0.015674,-1.005434,0.146041,0.002871,0.015499,0.111934,579.4214187942695,74.18995617645488,35.13301139081687,-571.2686169623598,-15.476564,1.798433,-1.670143,0.124673,-1.743212,-1.050978,-1.644281,-0.96223,-1.030044,-0.840457,-1.012652,-0.630226,-0.668148,1022.595314,-26.528,10.464,-1011.376
1449009335,1.005057,0.003892,-0.008743,-1.005003,0.002533,-5.7e-05,-0.000258,-0.000479,659.808618,42.557608,31.935901,-657.658847,-14.988895,2.593058,-1.549579,-0.03432,-1.674673,-1.105164,-1.80794,-0.963329,-0.765725,-0.653665,-1.041125,-0.721734,-0.688211,1020.177711,-7.552,2.992,-1020.016
1449009395,1.00481,0.003718,-0.004137,-1.004222,0.005301,-4.5e-05,7.9e-05,-2.2e-05,659.859784,45.128753,33.817974,-657.425502,-10.597691,1.90477,-1.642554,0.043437,-1.652583,-1.412569,-1.854679,-0.844314,-0.796839,-0.679985,-0.961133,-0.542377,-0.688009,1020.976712,-25.728,-221.392,-888.464
1449009455,1.004479,0.01765,0.01091,-1.004245,0.004397,9.9e-05,-0.000264,-0.000167,658.379642,50.692945,38.104881,-655.317286,-10.30201,2.468044,-1.636308,0.097296,-1.536026,-1.351101,-1.935381,-0.980934,-0.787344,-0.59524,-1.069907,-0.658706,-0.835033,1018.119192,23.984,-162.736,-938.816
1449009515,1.004438,-0.019889,0.034733,-1.003634,0.003579,-0.000386,-0.000431,-0.000192,670.494049,35.734588,20.423944,-669.228702,-13.812088,1.721032,-2.220305,0.244222,-1.544583,-1.318712,-1.853567,-0.945444,-0.666397,-0.705446,-0.940657,-0.552644,-0.835785,1021.840163,-6.24,2.288,-1021.152
1449009575,1.004135,-0.008058,0.025227,-1.00352,0.035302,0.001961,-0.002122,0.001015,670.10344,37.046903,20.343299,-668.765651,-15.175802,2.253575,-1.878759,0.316056,-1.494614,-1.461939,-1.99186,-1.00399,-0.655656,-0.674416,-0.944824,-0.602025,-0.729231,1019.191481,-6.16,3.712,-1019.024
1449009635,1.005042,0.022749,0.027451,-1.00253,0.021567,-0.000777,-0.000172,0.014988,579.4214187942695,74.18995617645488,35.13301139081687,-571.2686169623598,-9.06838,2.392248,-1.553087,0.037424,-1.520479,-1.25542,-2.169454,-1.017599,-0.687101,-0.655919,-0.82932,-0.616071,-0.740805,1020.800367,-3.136,4.544,-1020.64
