,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1449877990,1.005899,-0.002976,0.015498,1.005656,0.039684,0.000736,0.001933,-0.022962,195.2096,58.137842,53.007126,-178.410431,995.94675,-3.882667,-26.005333,-994.005333,-1.362679340966799,0.332085511536089
1449878081,1.005899,-0.007547,0.016361,1.005697,0.033549,0.000899,0.000659,-0.004858,199.384414,47.220948,63.723921,-182.922334,997.20634,-2.605714,-22.697143,-996.868571,-6.501212961475858,-0.030075677699519805
1449878135,1.006847,-0.009196,0.017533,1.006594,0.01299,0.000981,0.000965,2.8e-05,199.759883,43.321862,65.13843,-183.802824,997.253131,-2.325333,-25.024,-996.864,-5.0976225249704425,0.012132660008820963
1449878169,1.005291,-0.008371,0.016677,1.005086,0.01547,0.000754,-0.000597,0.000561,199.933805,42.380413,65.480589,-184.089425,997.197877,-2.304,-24.618667,-996.650667,-6.109060196633534,0.20644341382000972
1449878229,1.005916,-0.00878,0.017564,1.005648,0.029054,0.000611,-0.000282,6.3e-05,199.74672,45.04334,64.528269,-183.589652,998.202845,-1.493333,-24.021333,-997.845333,-4.342480822132428,-0.03844151575473129
1449878321,1.004624,0.012828,0.115137,0.979414,0.125063,0.031076,-0.002966,0.020239,190.086104,50.813981,39.816888,-178.092073,996.86035,-1.813333,-23.701333,-996.522667,-3.5225643382350755,0.37964311669557627
1449878381,1.010146,-0.182307,0.647507,0.750189,0.106147,0.007492,-0.016032,-0.014053,160.32638346205837,21.77708854592934,-2.8552323087557605,-153.65090476344088,997.038634,-3.861333,-22.826667,-996.714667,-4.35119297964011,0.013913329498631688
1449878436,1.005016,-0.002778,0.01418,1.004871,0.015684,0.000553,0.001203,-0.000416,188.269404,65.212255,32.053256,-173.679512,995.448244,-5.874286,-157.942857,-926.674286,-6.045238360448561,0.3572427939939424
1449878469,1.006803,-0.002936,0.014801,1.006622,0.040573,0.000709,0.000479,-0.009954,188.459317,65.082787,32.47692,-173.850296,997.843167,-1.109333,-26.176,-997.205333,-2.8667417944525533,0.4576117963491379
1449878561,1.004288,-0.005246,0.016509,1.004114,0.009668,0.000681,0.000655,-0.001029,188.945152,62.958019,36.308036,-174.406103,997.895581,-1.578667,-24.128,-997.546667,-4.341862915816701,0.21899927566437877
1449878611,1.004627,0.041311,0.01763,1.001019,0.074982,0.002793,0.002987,-0.013355,195.60665,83.615262,12.094869,-176.262955,1004.7632960000001,-297.69340939999995,250.5961143,-478.96342160000006,1.83210683394037,0.12123829117364932
1449878649,1.005111,-0.007886,0.017482,1.004906,0.010135,-0.000215,0.002394,-0.000725,186.49707,45.712543,48.441222,-174.195821,1005.900542,-444.548571,-631.017143,-608.937143,-6.210395940870246,0.3696549931332333
1449878741,1.005564,-0.007014,0.016523,1.005322,0.038838,0.000108,1.8e-05,-0.000378,186.514798,45.933173,48.462546,-174.150953,991.088808,69.056,-19.776,-974.528,-0.7908257905807007,0.9071263462361562
1449878769,1.006733,-0.00803,0.018259,1.00645,0.045022,-0.000174,0.00377,0.013842,186.765171,46.779749,48.175984,-174.264235,997.803779,-0.091429,-23.04,-997.097143,-1.4006056759068606,0.3132140724944818
1449878862,1.003574,-0.00678,0.016171,1.003392,0.010538,0.000513,-0.000202,-0.000562,188.196245,54.661377,45.888561,-174.136225,997.777996,-1.097143,-23.291429,-997.44,-5.184285911686346,0.9977797967980803
1449878922,1.009227,-0.12044,0.549814,0.831533,0.117006,0.010897,-0.000305,-0.004446,184.804359,36.348639,-0.182522,-181.102655,996.96051,-0.853333,-23.082667,-996.629333,-5.8024678505504435,0.019351075915169873
1449878949,1.009678,-0.233047,0.532975,0.817348,0.109935,-0.013752,-0.022274,0.01198,185.648356,40.688677,-0.558113,-180.984688,998.306579,-2.262857,-24.525714,-997.942857,-2.347050378738497,-0.2701409005006728
1449879042,1.00393,-0.007628,0.016163,1.003752,0.008714,0.000338,0.000337,-0.000453,191.630094,49.438893,48.085105,-178.787353,1060.755641,-87.458462,844.135385,592.073846,-5.750379486429019,0.02507996383485561
