,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1444251682,0.993944,0.172167,-0.437622,-0.846868,0.339926,0.035256,-0.006611,-0.001334,531.0049455490856,72.35143682783266,78.4109376299138,-505.3941037959849,-4.711752785419674,1.1247347530418643,-2.0411822064343164,-0.5438232963497628,-1.4627152279851516,-0.8026174279232833,-1.0559153772942875,-0.7116456825118581,-0.8112457608785316,-0.5896977467519077,-0.7579139458651268,-0.43062779480305224,-0.6454103027428335,1070.3954926,-39.4128,639.4304,334.3248
1444251743,1.001609,0.002462,0.007007,-1.001547,0.012688,0.000302,-0.000738,0.000272,523.128871,-25.083183,64.213729,-518.565369,-14.839208,2.06205,-0.488472,0.009585,-1.626283,-1.047836,-1.857982,-1.204308,-1.115976,-0.848499,-0.979346,-0.580834,-0.67512,1009.6971555,-253.41813330000005,429.79839999999996,-459.8367999999999
1444251803,1.002616,0.001275,0.006881,-1.002568,0.003045,0.000214,0.000346,9.9e-05,522.963501,-24.825845,64.076952,-518.42787,-7.977418,1.940349,-0.609745,0.119894,-1.517575,-1.055204,-1.70776,-0.880485,-1.072077,-1.377287,-1.348824,-0.506645,-0.632139,1007.5232700999999,-285.17493329999996,304.6192,-490.7200000000001
1444251863,1.0019,0.000591,0.006425,-1.00186,0.00327,-6.9e-05,4.7e-05,-0.0,522.634951,-30.122907,66.744215,-517.478465,-10.385308,1.7091,-0.718999,-0.144192,-1.575172,-0.827636,-1.607534,-1.194356,-1.145049,-0.968448,-1.222417,-0.528973,-0.72261,1009.6971555,-253.4181333,429.7984,-459.83680000000015
1444251923,1.002029,0.003074,0.005885,-1.001978,0.006715,0.000373,0.000279,8.8e-05,522.765241,-31.692558,64.459194,-517.805681,-17.29135,2.185475,-0.878072,0.152163,-1.484462,-1.15413,-1.878565,-1.052174,-1.11038,-1.11551,-0.996411,-0.487797,-0.785226,999.895784,31.786667,-100.72,-968.08
1444251983,1.002066,0.004812,0.005699,-1.002017,0.005405,0.000231,0.000351,5e-05,522.908146,-31.770297,64.118007,-517.987697,-9.117195,1.778684,-0.903595,0.046171,-1.529545,-1.177533,-1.836432,-0.981643,-1.100416,-1.039171,-1.052446,-0.597868,-0.718625,1007.5232701000001,-285.1749333,304.6192,-490.7200000000001
1444252043,1.002149,0.004085,0.006365,-1.002103,0.003608,1.8e-05,-4e-06,1.5e-05,522.755597,-31.644535,64.102449,-517.843333,-4.372115,0.67661,-0.572405,-0.271169,-1.728641,-0.858818,-1.577417,-1.33581,-1.126726,-0.910494,-1.005092,-0.482579,-0.783917,997.480911,-2.448,-17.664,-997.264
1444252103,1.001922,0.00638,0.005099,-1.001861,0.006641,0.000205,-0.000441,-9.7e-05,522.937546,-31.493579,64.102666,-518.036168,-10.728117,2.049883,-1.151039,-0.219133,-1.896207,-1.187092,-1.875107,-1.053396,-1.084744,-0.883344,-0.90878,-0.611317,-0.804655,997.00317,0.56,-18.288,-996.784
1444252181,1.001808,0.014866,0.005558,-1.001668,0.002924,-0.000208,0.000135,-2.6e-05,504.649803,43.164655,32.586661,-501.74213,-12.399784,1.717855,-1.33003,-0.234974,-2.260528,-1.166072,-1.464112,-0.697551,-0.790803,-0.947713,-0.79005,-0.664023,-1.087063,997.352685,3.376,-14.88,-997.184
1444252242,1.001894,0.015361,0.005431,-1.001751,0.00241,-0.000222,-7.2e-05,9e-06,504.921859,43.345975,32.555546,-502.002155,-8.866565,0.945125,-0.928091,-0.382204,-2.502442,-1.13991,-1.301674,-0.683635,-0.976162,-0.769919,-0.928511,-0.760197,-1.027526,997.720408,0.208,-21.904,-995.92
1444252302,1.002325,0.016127,0.005194,-1.002169,0.002529,0.000183,-8.4e-05,-3.3e-05,506.441194,44.13177,33.747214,-503.383622,-10.928787,0.326857,-1.849094,-0.662063,-2.208246,-1.057836,-1.337816,-0.832333,-0.948004,-0.616536,-0.853821,-0.75061,-0.995903,997.891729,4.656,-14.416,-997.728
1444252362,1.00276,0.015744,0.008668,-1.002575,0.003422,0.000126,-2.9e-05,9e-06,506.9074,44.045848,34.153656,-503.832738,-9.391267,1.473837,-0.640531,-0.448758,-2.214541,-1.174232,-1.48517,-0.823136,-0.691879,-0.830943,-0.885062,-0.66907,-1.0491,997.306586,7.664,-11.152,-997.152
1444252422,1.002486,0.01614,0.005558,-1.002335,0.003303,-8.2e-05,0.000111,-0.000605,506.31628,43.2551,33.363244,-503.359699,-8.333219,1.905469,-0.511593,-0.071375,-2.185312,-1.322022,-1.449877,-0.713942,-0.839972,-0.934321,-0.952999,-0.551641,-1.181566,998.403595,4.784,-13.52,-998.256
1444252482,1.002289,0.01714,0.006304,-1.002115,0.003214,-9.6e-05,-6.6e-05,-0.000109,506.210221,43.266944,33.42353,-503.247992,-11.328581,1.336126,-0.863078,-0.243476,-2.255828,-1.460001,-1.546262,-0.679944,-0.853971,-0.850609,-0.911266,-0.503533,-1.160331,997.570706,5.808,-13.152,-997.408
1444252542,1.002464,0.015585,0.007407,-1.002259,0.00852,-2.4e-05,0.000158,-0.001177,518.981793,47.88739,41.161271,-515.124715,-16.783594,1.999674,-0.3561,-0.347695,-1.961274,-1.037808,-1.290046,-0.78693,-0.986591,-0.927504,-1.120561,-0.611443,-0.986761,996.794885,5.632,-12.096,-996.656
1444252602,1.002037,0.015771,0.007653,-1.001877,0.004918,-8.7e-05,0.00027,5.8e-05,518.354155,47.841522,41.072895,-514.503776,-13.476405,2.474313,-0.268692,-0.330781,-1.971672,-1.016695,-1.31631,-0.752772,-0.993336,-0.931348,-1.08474,-0.633996,-0.926663,996.474063,5.072,-12.016,-996.336
1444252662,1.002177,0.017959,0.005837,-1.001982,0.003946,-0.000213,-0.000115,9e-05,516.047942,45.13571,36.834099,-512.747873,-7.512257,1.950783,-0.726191,-0.219193,-2.172021,-1.224143,-1.386995,-0.7642,-0.984589,-0.739751,-0.943998,-0.732437,-0.924129,998.590036,7.344,-15.024,-998.4
