,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1445989902,0.994108,0.059074,-0.116123,-0.925955,0.439152,-0.047899,0.05883,0.070765,257.629715,-70.420876,-19.601015,-245.843544,963.395566,39.104,-16.832,-962.384,9.635359060897121,0.7012648439550664
1445989963,0.990583,0.021241,-0.007313,-0.990314,0.008802,-0.000201,0.000306,0.000991,262.582093,-66.030543,34.966197,-251.725232,964.256233,35.84,-16.704,-963.136,1.9970359038538863,1.80071665195748
1445990023,0.998218,0.254865,-0.220606,-0.845002,0.54455,-0.03613,-0.018354,-0.027755,498.84669725896066,116.28107072840177,-152.465936534263,-449.5889429929186,964.590028,49.28,-4.512,-963.248,11.643962445098687,2.011262961716418
1445990083,1.006926,0.844918,0.220328,-0.433966,0.319089,-0.048738,-0.037883,0.007011,498.84669725896066,116.28107072840177,-152.465936534263,-449.5889429929186,1039.664015,434.704,631.472,-77.744,13.307691129485391,2.1956571475419526
1445990143,1.000692,0.656177,0.377674,-0.628156,0.119864,-0.01465,-0.019296,-0.007918,1635.246577,-1441.301609,-190.489818,-593.950946,1024.393241,539.056,632.4,-194.256,8.456668157783998,1.1494529476790531
1445990203,1.006158,0.920201,0.398281,-0.08301,0.01098,0.000336,0.000398,-0.000961,2597.970151,-2445.008761,-393.371798,-785.23915,1113.6205348,593.1344000000001,453.912,-434.2656,2.2629159859938963,3.969956714104142
1445990263,1.0084,0.802182,0.36382,-0.44073,0.504667,-0.042876,-0.038992,-0.023497,2658.357599,-2433.199478,-500.066072,-946.318623,1020.886899,-221.456,511.376,-145.776,7.043928014942003,3.4277239836760036
1445990323,1.008234,0.77739,0.374851,-0.498869,0.192173,-0.00122,-0.000124,0.011181,2635.829004,-2420.988662,-514.233729,-906.329501,1037.692087,848.24,104.736,-493.248,7.619342159528112,2.8585896698315327
1445990383,1.014235,-0.01562,0.255243,-0.958166,0.348861,6.7e-05,-0.000254,0.008678,2843.5879,-2669.845403,-463.376099,-861.949558,1122.558471,677.264,586.032,-394.24,3.8624993547539663,4.133255943243095
1445990443,1.017086,-0.019124,0.255691,-0.955451,0.495736,0.004329,-0.011554,0.074301,3403.987232,-3284.804806,-526.667533,-720.246712,1186.478091,661.104,596.912,-446.0,2.120735392956375,4.110228352657296
1445990503,1.002251,0.017482,0.275775,-0.948181,0.34018,-0.002369,0.006175,-0.016146,3946.930123,-3887.344366,-516.236711,-447.397532,1168.474242,673.12,550.032,-502.768,2.4789124019814173,4.455852574238748
1445990563,1.003818,0.037023,0.268966,-0.952494,0.400566,0.00052,-0.008236,0.022528,4050.116567,-3999.998651,-492.505481,-400.953878,1034.528658,640.336,601.488,-453.472,0.9090717645061533,4.3446816532958
1445990623,1.010824,-0.10082,0.293967,-0.939556,0.311387,0.004458,0.010778,-0.03093,4295.807464,-4249.302211,-541.950961,-319.872831,1169.025668,711.792,500.24,-501.744,8.319784688605724,4.615301670560036
