,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1448303626,0.91273,-0.025372,0.424912,0.807154,0.064101,-0.002952,0.010438,-0.004283,111.326043,-9.274348,-14.109565,-110.036519,1.943925,1.000738,1.399432,0.241903,0.242966,-0.480848,-0.233421,-0.263654,-0.173284,-0.298894,0.111566,-0.399318,0.031064,1024.0248324,-442.79977369999995,-588.1257374,297.8452362
1448303712,0.914547,-0.048479,0.490885,0.767409,0.135524,-0.009549,0.016944,0.000893,111.261067,-38.105207,-45.896905,-93.328677,3.597914,1.257095,1.562613,0.21226,0.496054,-0.232666,-0.062544,-0.401597,-0.191352,-0.267256,-0.114612,-0.342484,-0.042835,1004.4426744999998,-617.1634740999999,-479.3836739,-170.7802279
1448303730,0.916308,-0.046562,0.512723,0.753894,0.149911,-0.020371,0.054541,0.048546,115.925054,-29.015496,-33.717146,-106.071438,4.154461,0.946999,1.498479,0.094476,0.489314,-0.209642,-0.065929,-0.36846,-0.244971,-0.338656,-0.010221,-0.312044,-0.060833,1032.8394653999999,52.9099356,-589.3396620000001,23.335057100000018
1448303798,0.907164,-0.078969,0.240843,0.871001,0.02936,-0.012405,0.022013,-0.004436,108.893542,-8.033014,1.603151,-108.584381,0.551039,1.408726,1.407569,0.282631,0.263644,-0.261237,-0.21583,-0.439203,-0.180269,-0.138738,-0.075413,-0.324253,-0.040958,1040.2151986,338.32525999999996,-764.891196,252.41334270000002
1448303859,0.90647,-0.097096,0.340505,0.834255,0.038092,0.000372,0.02966,0.00672,110.913408,-5.544857,-1.029429,-110.768997,-0.594313,1.378582,1.817234,0.319294,0.255195,-0.317527,-0.102038,-0.329093,-0.174208,-0.19949,-0.083447,-0.314867,-0.055716,1002.8976415,237.95841919999998,-580.2915676,-660.0114092000001
1448303927,0.914107,0.028986,-0.01948,0.910281,0.288022,0.01742,0.049678,-0.038015,110.346925,-35.806621,56.597837,-87.557025,0.218841,0.844305,1.717116,0.341039,0.453433,-0.372231,-0.087022,-0.392033,-0.149592,-0.299275,-0.085381,-0.270154,-0.026483,1034.6469708999998,-232.00425049999998,214.46015359999996,-48.6147879
1448303975,0.906836,0.037113,-0.002046,0.906069,0.026672,-0.011774,0.022791,-0.000442,110.383684,-14.055704,63.291542,-89.335569,0.097117,1.811151,1.746415,0.017189,0.102082,-0.305279,-0.186835,-0.549617,-0.136199,-0.241473,0.029269,-0.237376,0.002784,1032.3236609,-265.5303594999999,302.2140445,-84.55253329999998
1448304037,0.906676,0.037053,0.000633,0.905869,0.052187,-0.013309,0.028173,0.001079,111.277635,-18.104166,62.622499,-90.183748,-1.248148,1.347183,1.630658,0.316734,0.337094,-0.513782,-0.066266,-0.419987,-0.238749,-0.330732,0.00981,-0.254729,0.014236,1042.0674409,-296.8380301,318.47456210000007,110.1501491
1448304122,0.927555,-0.085617,0.748846,0.539436,0.06284,-0.028275,0.02187,-0.013834,127.899965,-24.890548,-36.239588,-120.103148,2.743594,1.163632,1.564826,0.035468,0.252687,-0.373849,-0.215098,-0.481261,-0.439789,-0.147563,0.205533,-0.283023,-0.130284,978.424162,-3.093333,-19.84,-972.48
1448304181,0.927595,-0.114043,0.755431,0.525913,0.041392,-0.015659,0.027775,0.000596,130.238014,-24.984785,-41.578103,-120.86695,3.671202,1.470635,1.384178,-0.038417,0.29447,-0.485188,0.047139,-0.704894,-0.388847,-0.060568,0.11837,-0.222363,-0.213012,983.129436,-386.613333,-12.266667,-902.186667
1448304243,0.918722,-0.066174,0.578485,0.671527,0.301281,-0.029524,0.004905,0.006791,120.72205,-21.382824,-27.991831,-113.954654,4.036333,1.170192,1.38739,0.268968,0.402747,-0.452067,-0.078049,-0.446082,-0.222974,-0.285375,0.071474,-0.229613,-0.136127,981.524897,-7.474286,-10.422857,-981.348571
