,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1446141691,1.009726,0.011875,-0.023339,1.009381,0.045237,-0.00299,0.006778,-0.037281,264.489846,-262.972122,18.267951,-10.327748,1016.5135736999998,-72.411304,59.8831329,-884.1472968,-0.7539656216516285,0.7212104869473286
1446141752,1.009822,0.009099,-0.023616,1.009487,0.048895,-0.002302,0.009362,-0.038025,253.634234,-252.263654,20.435773,-10.235256,1016.5135736999998,-72.411304,59.8831329,-884.1472968,0.743151003893163,0.763192563291451
1446141805,1.009667,0.024948,-0.012167,1.009278,0.046007,-0.001922,0.00853,-0.03797,182.337527,-179.240733,26.609468,19.012191,1042.3505570000002,-85.65576130000001,550.0792484,-224.3950147,2.5544755979652924,0.9214705938503907
1446141873,1.008839,0.027103,-0.010043,1.008415,0.040058,-0.001324,0.009151,-0.036521,189.1891,-177.166974,62.448953,22.453026,1043.2971006,497.5871920000001,380.1155214,-475.4561678,0.43270076406056157,1.209221829489635
1446141925,1.008193,0.027873,-0.004662,1.007795,0.038014,-0.002127,0.010028,-0.03528,188.917157,-176.944771,62.257184,22.451218,1043.2971006000002,497.5871920000001,380.1155214,-475.4561678,1.3602632922339095,1.1935378924805609
1446141985,1.008497,0.022976,-0.012422,1.00814,0.042438,-0.002813,0.00672,-0.035209,188.284952,-176.574385,61.451251,22.279708,1043.2971006,497.5871920000001,380.1155214,-475.4561678,2.043543931902856,1.0369358155164619
1446142045,1.008934,0.024718,-0.011286,1.00855,0.039828,-0.001361,0.00985,-0.037394,188.619857,-177.070357,61.326368,21.505925,1043.2971006,497.5871920000001,380.1155214,-475.4561678,0.024185746244696868,1.2652620470864906
1446142105,1.008604,0.010929,-0.004474,1.008527,0.042494,-0.00205,0.008956,-0.035773,223.262183,-213.212742,62.072865,-23.091661,1013.126419,-8.251429,1.211429,-1012.914286,0.6419007234856405,1.244553753044439
1446142205,1.009256,0.00879,-0.008819,1.009167,0.044388,-0.001449,0.009168,-0.037632,232.769661,-224.187511,58.048222,-23.494839,1013.248486,-9.325714,3.108571,-1013.051429,0.4511406236502208,1.138189009170429
1446142227,1.008974,0.009538,-0.00819,1.008869,0.047616,-0.002201,0.009879,-0.036386,232.287223,-223.605922,58.372097,-23.460027,1011.232127,-9.408,3.754667,-1011.029333,0.8747466146662236,1.3563657658792945
1446142285,1.00952,0.009092,-0.010328,1.009401,0.04501,-0.001824,0.007532,-0.038199,239.95606,-234.356839,47.272491,-20.516701,1011.9739119,-8.747262300000001,-25.323664200000003,-999.1084328999999,-0.26445021672956337,1.0568678239981948
1446142345,1.009423,0.008469,-0.008755,1.009343,0.045781,-0.002169,0.008982,-0.038636,244.074654,-236.25414,58.742073,-17.482285,1011.281914,-6.08,3.862857,-1011.108571,1.0565729929751229,1.1191612687339905
1446142410,1.009548,0.009252,-0.00923,1.009455,0.046416,-0.0027,0.008159,-0.039065,245.488485,-237.475823,59.720267,-17.405775,1012.262604,-8.205714,2.537143,-1012.091429,0.00015594743913976421,1.367627599869329
1446142465,1.009684,0.005692,-0.010998,1.009592,0.045008,-0.002883,0.00819,-0.038873,253.368068,-248.117759,47.174203,-20.183841,1011.832867,-6.994286,2.308571,-1011.657143,0.14451565323559826,1.0827066738956037
1446142525,1.009649,0.007512,-0.01179,1.009542,0.057225,-0.007653,0.001746,-0.041223,252.91678,-247.815467,46.066948,-20.788409,1011.400769,-6.171429,3.222857,-1011.245714,0.08019690398061088,1.3171298910851907
1446142585,1.009685,0.008364,-0.012014,1.009571,0.042009,-0.001868,0.010138,-0.040071,252.415355,-247.407264,45.708693,-20.342244,1011.93218,-9.394286,3.405714,-1011.748571,0.09817217466731627,1.0227532241749708
1446142645,1.010097,0.006506,-0.014403,1.009969,0.046965,-0.003326,0.010628,-0.039489,251.917335,-247.547473,40.523873,-23.241537,1018.929058,-37.818182,-197.847273,-953.483636,-0.19827564301768444,0.976456327436459
1446142705,1.009806,0.006427,-0.015374,1.009659,0.04614,-0.002348,0.008456,-0.039473,252.274792,-247.843566,40.841073,-23.410994,1012.47979,-5.577143,6.422857,-1011.885714,-0.4659818636976852,1.1731480331664492
