,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1449511099,0.978284,0.02385,-0.065011,-0.975811,0.004827,-0.000443,-7.6e-05,-8.4e-05,884.993695,294.314206,286.171121,-784.025878,1041.6596035,301.88,396.0848,185.9712,4.0830256503622815,0.45746796301833387
1449511160,0.982425,-0.034625,0.008851,-0.981613,0.093069,-5.7e-05,-0.000444,-0.000587,823.18726,144.576882,281.934435,-759.766958,1002.705126,2.432,30.992,-998.32,9.646335996401543,0.8500116034921898
1449511220,0.983737,-0.032441,0.01615,-0.982978,0.057094,0.000195,-0.000139,0.002489,823.018957,144.667684,282.409249,-759.391437,1004.617474,1.984,30.384,-1004.064,5.702152440056685,1.4070819080283483
1449511280,0.983867,-0.032406,0.015116,-0.983193,0.031038,-5.4e-05,6e-06,-3.4e-05,822.929051,144.705883,282.532614,-759.240859,1002.648379,2.352,30.384,-1002.096,0.599202151376544,2.679901041741368
1449511340,0.984091,-0.032199,0.015684,-0.983282,0.03321,-0.000139,0.000195,-0.000101,815.107931,139.775922,271.218595,-755.55591,1003.120856,2.24,31.696,-1002.544,6.942645509477859,1.7418742498634996
1449511400,0.983981,0.018439,0.000654,-0.983801,0.006491,8.8e-05,-0.000166,0.000152,799.428667,111.895214,229.943589,-757.423596,1005.872061,17.808,28.64,-1005.232,4.011725711185351,2.367806571645887
1449511460,0.984331,0.017799,0.000199,-0.984165,0.005641,2.8e-05,3.6e-05,-2.4e-05,797.959412,114.93142,231.399685,-754.972188,1005.013579,16.533333,28.853333,-1004.373333,5.888440894882727,2.5632209440158555
1449511520,0.984359,0.017903,-0.000261,-0.98419,0.005568,-0.000104,2.6e-05,-3.1e-05,797.624448,114.913085,231.105257,-754.711104,1005.521726,17.616,26.544,-1004.944,3.26549158508269,2.763693197558024
1449511580,0.984229,0.019077,0.0013,-0.984006,0.018472,-0.00014,4.5e-05,4e-05,797.396116,114.108523,230.397589,-754.807769,1005.105424,17.552,28.656,-1004.496,4.779728278979778,2.8336072493947486
1449511640,0.984646,0.017636,0.002323,-0.984464,0.0071,-0.000167,5.2e-05,9e-05,798.226874,112.666162,230.322139,-755.925231,1001.808392,-50.944,28.032,-968.048,8.432197037506139,2.398597184903952
