,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1440274725,1.046262,-0.003237,-0.017441,1.046107,0.039776,0.010751,-0.025296,0.028712,300.302662,-240.628376,-142.54975,-109.356875,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-3.8092816766291446,0.37839071057708956
1440274803,1.045915,-0.00325,-0.017178,1.045718,0.047808,0.010679,-0.022521,0.02873,300.513646,-240.54125,-143.0825,-109.43175,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.5029785055269493,0.39394128054993705
1440274839,1.045715,-0.002836,-0.018019,1.045548,0.040009,0.01061,-0.022559,0.028877,300.366098,-240.660126,-142.813874,-109.1165,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.2212363781182636,0.46996060277095647
1440274905,1.04608,-0.003893,-0.017909,1.045916,0.065019,0.015962,-0.021404,0.028213,298.534792,-238.013375,-143.25175,-109.321375,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-1.7794403002167112,0.25206905946545055
1440275024,1.045913,-0.001937,-0.013652,1.045808,0.045079,0.011024,-0.024032,0.029223,299.240018,-238.042,-143.71875,-110.568125,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-1.6560273427971817,0.38968687728791124
1440275068,1.045016,-0.003844,-0.01577,1.044828,0.056242,0.01134,-0.022631,0.028873,298.99873,-237.8705,-143.679751,-110.334625,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-3.6072457088209595,0.010174101705444536
1440275151,1.045145,-0.003878,-0.01275,1.045051,0.047038,0.011337,-0.027533,0.030304,298.359274,-237.456126,-142.60275,-110.892125,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.4967310104130664,0.045667081224443046
1440275203,1.044413,-0.003799,-0.016841,1.044262,0.057214,0.011287,-0.029127,0.030927,297.53551,-238.288125,-137.913874,-112.70725,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-0.40078091114661035,0.20236604595428104
1440275341,1.044308,-0.00445,-0.015639,1.044071,0.053456,0.010952,-0.026647,0.030145,296.002621,-237.56175,-136.35125,-112.055625,1034.483502,-67.46,-336.56,-928.34,-1.4564095964915327,0.4992981699072111
1440275387,1.044408,-0.004252,-0.015302,1.044249,0.049085,0.011195,-0.025756,0.030059,293.362389,-236.515751,-132.386499,-112.2265,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-1.1281503214020545,0.38388194353557226
1440275455,1.04464,-0.005375,-0.016583,1.04449,0.040449,0.01108,-0.024387,0.029761,293.359526,-236.676875,-132.328375,-111.9435,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.7781505588283197,0.43123342951518956
1440275527,1.044129,-0.00675,-0.017577,1.043832,0.054372,0.010721,-0.024842,0.029634,303.971961,-243.711875,-143.686374,-111.163125,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.3192967405790457,0.5173385120737907
1440275571,1.044615,-0.006984,-0.018349,1.044423,0.042882,0.011282,-0.023875,0.029565,303.558596,-243.58775,-143.370373,-110.71375,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.992750255416657,0.6132247103319806
1440275627,1.044663,-0.007385,-0.01785,1.04448,0.040907,0.011163,-0.025155,0.029982,303.717913,-243.5965,-143.506374,-110.954875,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-2.911397854630393,0.273568743919574
1440275724,1.044286,-0.006642,-0.01775,1.04395,0.059351,0.010738,-0.022934,0.029144,303.78712,-243.857751,-144.012375,-109.909125,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-3.654427061223506,0.4390407823994123
1440275764,1.044391,-0.007116,-0.017381,1.044215,0.042506,0.011139,-0.025407,0.030204,303.681683,-243.7205,-143.250624,-110.913875,1026.8609476,-555.6093332,128.34222219999998,-614.291111,-3.4635152249540453,0.45569572295579513
