,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1448482210,0.955964,-0.000777,-0.001843,0.955949,0.01087,0.004958,-0.004267,-0.007429,77.042412,-46.941846,52.569448,-31.096919,3.396715,-0.803574,-0.520839,-0.778719,-0.464099,-0.169539,-1.379404,-0.240553,-0.498688,-0.283045,-0.08925,-0.277333,-0.304764,1034.4111863,16.5240001,66.0697332,-936.5391999999999
1448482372,0.958028,-0.000825,-0.001985,0.958011,0.009382,0.005014,-0.003729,-0.005282,82.22768,-50.689554,55.169541,-33.866339,8.45584,-1.165858,-0.333336,-0.571035,-1.091834,-0.169881,-0.697009,-0.21192,-0.588367,-0.03869,-0.210259,-0.30574,-0.062392,1034.7128883,16.9097334,65.83426659999999,-936.8058667000001
1448482402,0.959307,-0.000433,-0.001855,0.959281,0.00984,0.004386,-0.003963,-0.004901,84.722288,-51.690645,57.87869,-33.971271,8.176806,-1.257354,-0.453979,-0.44038,-0.937726,-0.356902,-1.001182,-0.262297,-0.494236,-0.184068,-0.175499,-0.23924,-0.046943,1034.1439548999997,19.5645334,65.1649333,-936.9261333999999
1448482449,0.95806,-0.000808,-0.002745,0.958041,0.009437,0.00453,-0.003805,-0.005955,85.767917,-51.966218,58.414811,-35.236362,5.110395,-1.019566,-0.798386,-0.330328,-0.919318,-0.452836,-0.884966,-0.322091,-0.499896,-0.19471,-0.224964,-0.346818,-0.166048,1035.8434757,6.864800099999999,-23.0510667,-1034.38
1448482510,0.953256,-0.00109,-0.002655,0.953176,0.090967,0.00539,-0.002944,-0.008182,88.0206,-54.766561,58.407877,-36.531357,1.569003,-1.205935,-0.769826,-0.695895,-0.771884,-0.148036,-0.689939,-0.206719,-0.592469,-0.106694,-0.097688,-0.251552,-0.164392,1035.674657,10.8776001,-24.415866700000002,-1035.2088001
1448482573,0.95533,-0.004058,-0.002443,0.955234,0.151369,0.006614,-0.007417,-0.007455,68.084045,-40.692594,46.150766,-29.119931,4.703298,-1.420977,-0.55275,-0.640634,-0.940388,0.076373,-0.791774,-0.166189,-0.476527,-0.282871,-0.131425,-0.24325,-0.151149,1032.1291342,142.5432,220.13106650000003,-758.4661333
1448482654,0.947528,-0.006848,-0.00376,0.947473,0.056022,0.005598,-0.004458,-0.008313,83.993325,-54.143325,56.06559,-31.27148,-1.185978,-1.24084,-0.579585,-0.333782,-0.760836,-0.157454,-0.78488,-0.189021,-0.461571,-0.240392,-0.158762,-0.308225,-0.152907,1034.8106231999998,-13.7005333,-68.2238667,-1018.4749333000002
1448482710,0.947913,-0.004558,-0.00418,0.947853,0.055658,0.000504,-0.000949,0.010412,88.558518,-55.470617,58.688669,-36.163618,-2.398177,-1.457452,-0.600818,-0.535309,-0.856628,-0.209729,-0.725426,-0.083934,-0.399287,-0.119323,-0.172044,-0.316246,-0.155609,1037.8742479,12.112266700000001,-24.493733299999995,-1034.9032000000002
1448482775,0.951135,-0.002445,-0.003135,0.951089,0.020554,-0.000239,-0.001015,0.004141,78.165387,-45.039843,53.795477,-34.433545,3.667824,-0.875751,-0.579276,-0.384976,-0.896807,-0.431332,-1.054823,-0.386192,-0.434366,-0.232222,-0.137731,-0.329621,-0.157764,1034.736211,-2.752,-12.8,-1031.296
1448482820,0.951093,-0.002995,-0.00263,0.951006,0.015855,0.000447,0.000458,-0.006245,84.308989,-45.542152,57.359259,-41.625984,6.001683,-0.961633,-0.378496,-0.465828,-0.855991,-0.256552,-1.048385,-0.369588,-0.488771,-0.180608,-0.131756,-0.305438,-0.143749,1035.067029,11.328,-17.706667,-1034.56
