,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1441736514,1.003291,-0.000421,0.024209,-1.002986,0.002803,0.00021,5e-05,-0.000271,652.574098,158.981802,32.76352,-631.987756,-3.9723939218323387,0.48747434968146425,-1.9022365373647487,-0.6428980637071493,-1.5279809865507128,-0.7441039663262211,-1.1464698467994743,-0.645569962786935,-0.771178224997472,-0.5409748651026393,-0.6336552533117604,-0.3735218849226413,-0.5283233589847305,1016.0546079000002,50.822400000000016,537.5216000000001,-453.712
1441736574,1.002217,0.014232,0.006549,-1.002074,0.003204,-0.000101,-0.000841,-0.000453,645.913253,28.759314,31.899267,-644.482693,-10.635102,1.395605,-1.208944,0.039813,-1.848271,-1.367188,-1.721136,-0.882712,-0.890569,-1.041038,-1.133655,-0.550423,-0.764876,996.630212,15.856,-89.392,-968.752
1441736634,1.001739,0.013441,6.2e-05,-1.00164,0.003387,-0.000301,-0.000217,0.000424,646.368615,28.694054,32.071677,-644.933402,-12.888637,1.213889,-1.345685,-0.147605,-1.931639,-1.222514,-1.6814,-1.182877,-0.927186,-0.91389,-0.934223,-0.674515,-0.626659,997.002691,0.24,-198.768,-937.136
1441736694,1.001726,0.009496,0.008513,-1.001628,0.002714,0.000123,0.000256,-9.7e-05,646.339994,28.618652,32.149283,-644.904392,-15.54084,1.145504,-1.199361,-0.100646,-1.916925,-1.15934,-1.529666,-0.974043,-0.958998,-0.865201,-0.867365,-0.691857,-0.769679,994.785507,2.8,-19.152,-994.544
1441736754,1.001521,0.009352,0.007585,-1.001434,0.002321,-0.000229,8e-06,-0.000115,646.769065,29.289992,33.552149,-645.224135,-10.546898,0.596769,-1.543075,-0.215283,-1.726898,-1.144197,-1.513599,-0.88764,-0.906902,-0.847642,-0.962709,-0.634639,-0.738992,995.690412,21.168,-42.896,-981.808
1441736814,1.001377,0.018381,0.01423,-1.001101,0.002384,-6e-06,-0.000161,9.2e-05,640.441396,75.978338,23.226764,-635.493357,-11.663707,1.113613,-1.849644,0.043877,-2.080264,-1.432905,-1.81709,-1.159951,-0.672556,-0.63744,-0.725675,-0.642528,-0.765716,1006.347912,224.448,716.976,-660.688
1441736874,1.001416,0.002305,0.021947,-1.00116,0.002881,-0.000113,0.000123,-0.000565,650.107019,130.390275,37.395425,-635.797122,-8.021843,1.239421,-1.49935,0.09786,-2.240981,-1.300303,-1.562487,-1.036469,-0.77888,-1.038478,-0.907346,-0.506905,-0.62279,1005.716277,-894.256,407.28,187.456
1441736934,1.001249,0.007975,0.00589,-1.001167,0.003447,-0.000372,-0.0002,0.000235,639.232688,55.145457,38.799173,-635.665736,-7.598453,1.26629,-1.506695,-0.136231,-1.833662,-1.085617,-1.702231,-0.985761,-0.839754,-0.768288,-0.718219,-0.562487,-0.785452,1002.209485,854.016,390.016,-332.72
1441736994,1.001201,0.009002,0.006085,-1.001096,0.004521,0.000209,-1.7e-05,0.000917,648.228127,30.654055,54.632623,-645.19113,-8.574287,1.131635,-1.083095,0.106379,-1.634609,-0.884849,-1.369513,-0.80115,-1.132565,-1.003164,-0.974675,-0.554386,-0.795294,1006.223493,577.504,594.944,-407.104
1441737054,1.001307,0.006564,0.006144,-1.001244,0.002671,-3.9e-05,6e-05,-0.000314,647.512404,40.937992,63.422197,-643.096301,-9.463093,1.210687,-1.419586,-0.053385,-1.733701,-0.917653,-1.378354,-0.97295,-0.988881,-1.134065,-1.142274,-0.55852,-0.661046,1023.517599,789.232,408.224,-75.744
1441737114,1.000954,0.009638,0.006478,-1.000863,0.001916,0.000125,-4.3e-05,-3e-05,647.364533,40.767346,63.009031,-642.99792,-12.499024,1.538566,-1.791495,-0.713148,-1.979904,-0.792822,-1.309475,-0.599383,-0.832469,-1.070091,-1.143097,-0.615211,-0.695958,1064.124278,177.728,324.048,-2.864
1441737174,1.001221,0.009347,0.006316,-1.001148,0.002542,-6.7e-05,-5.7e-05,0.000143,646.650845,38.8887,59.156276,-642.763109,-14.280861,1.593263,-2.061419,-0.483599,-1.841505,-0.74504,-1.427149,-1.008973,-0.839139,-0.824875,-0.940651,-0.59713,-0.909359,1001.080205,147.216,210.208,-950.384
1441737234,1.001152,0.504215,-0.484493,-0.551377,0.720577,-0.001435,-0.023576,-0.026673,662.23796,114.867913,42.041882,-650.415882,-12.257202,1.368474,-2.393046,-0.580996,-1.666322,-0.751723,-1.371745,-1.063321,-0.973968,-0.735765,-0.856339,-0.571508,-0.712781,1026.661352,-133.44,899.872,-118.128
1441737294,1.038166,0.077883,0.650416,-0.306015,1.341882,-0.079249,-0.191873,0.002995,606.209038,104.196826,64.843362,-592.887441,-16.218687,-0.136509,-1.542669,-0.497305,-1.586779,-0.702793,-1.17042,-0.577353,-0.778215,-0.597778,-0.833561,-0.417655,-0.490424,1055.284941,20.704,869.024,344.192
1441737354,1.142841,-0.340678,0.95296,-0.147055,1.991364,-0.046383,0.005469,0.101709,605.931273,56.925992,71.33341,-598.983549,-5.40206,0.054683,-1.638173,-0.183625,-1.486627,-0.137867,-0.696037,-0.612468,-0.755208,-0.648469,-0.822856,-0.383263,-0.605138,1220.76519,1131.184,171.504,-2.496
1441737414,1.022583,-0.595935,0.740777,-0.199533,0.875468,0.109904,-0.032261,0.014136,618.049004,61.407976,56.436748,-611.404693,-11.924609,1.759928,-2.039773,-0.054448,-1.226413,-0.545098,-0.688056,-0.572022,-0.835626,-0.66079,-0.883586,-0.416708,-0.69505,1030.458865,590.336,679.568,-270.32
1441737474,1.040989,-0.587902,0.675682,-0.460019,1.274038,-0.009566,0.023432,-0.01705,638.047137,82.474558,64.913913,-629.224864,-8.423263,0.467149,-1.015865,0.495731,-1.251199,-0.462285,-0.965812,-0.823568,-0.68595,-0.542957,-0.543146,-0.305623,-0.622615,1089.820738,490.64,699.6,-505.824
1441737534,1.029603,-0.595968,0.625533,-0.512667,1.201677,-0.011741,0.003416,-0.025928,638.371905,81.462149,64.023205,-629.819362,-10.332982,0.80573,-1.182117,0.503351,-1.333537,-0.430556,-0.843287,-0.730491,-0.522797,-0.57366,-0.602087,-0.432615,-0.769732,1043.416077,403.024,765.76,-498.16
1441737594,1.078905,-0.559143,0.730948,-0.433994,1.120396,0.039255,0.024295,-0.058425,631.59926,71.628196,60.111583,-624.411715,-9.972598,1.871528,-0.580634,0.638336,-1.245539,-0.342941,-0.834476,-0.850435,-0.585664,-0.535883,-0.629789,-0.334902,-0.774958,1246.227811,569.264,661.808,-487.024
1441737654,1.082799,-0.509536,0.814487,-0.252727,0.980432,0.070103,-0.089081,0.019193,612.584544,67.773677,62.91048,-605.332969,-8.898373,2.089279,-1.405349,1.203509,-1.081109,-0.472559,-0.818864,-0.742657,-0.551866,-0.324615,-0.629276,-0.253901,-0.812858,1390.546686,615.328,581.168,-432.592
1441737714,1.047738,-0.185485,0.319867,-0.433152,1.212205,0.181194,-0.204583,0.010322,614.271175,78.688827,49.71741,-606.614878,-8.186335,-1.370924,-2.557121,-0.85078,-1.837273,-0.510457,-1.082667,-0.84065,-0.957467,-0.667072,-0.574774,-0.410878,-0.58736,1149.736797,691.216,244.272,-342.832
1441737774,0.99563,0.148626,-0.526169,-0.829763,0.146923,0.000931,-0.006613,-0.007045,627.488928,93.913551,52.718701,-618.159409,-2.495798,0.674888,-2.742838,-0.97398,-1.74977,-0.81182,-0.883854,-0.776962,-0.930313,-0.549177,-0.708465,-0.240417,-0.691755,1036.824549,-570.416,741.712,444.0
1441737834,1.006595,-0.394734,0.299439,-0.764771,0.285909,0.065347,-0.140523,-0.014018,593.389336,71.438149,32.749189,-587.851462,-11.599836,-0.791249,-2.606916,-0.970328,-2.48757,-0.663635,-1.907582,-0.647205,-0.780195,-0.546978,-0.055843,-0.310801,-0.431865,1036.032146,177.584,678.24,1.264
1441737894,1.001223,-0.494787,0.232149,-0.836324,0.04529,0.001827,0.003471,-0.001351,586.14005,67.907504,31.244685,-581.228334,-7.185107,-0.49173,-3.028854,-0.908536,-2.947517,-0.900224,-2.168957,-0.529864,-0.633648,-0.699009,-0.06967,-0.241013,-0.376623,1002.124176,489.664,497.984,-712.544
1441737954,1.012979,-0.224494,0.982648,-0.002484,0.228969,0.003104,-0.027456,0.009358,593.152851,74.967472,73.488527,-583.661814,-5.385809,-2.088718,-2.632611,-0.982609,-2.261569,-0.680573,-1.849483,-0.672223,-0.889531,-0.836276,-0.460422,-0.561359,-0.704389,1029.647514,465.344,678.592,-271.2
1441738014,1.011197,-0.240378,0.977586,-0.034318,0.185427,-0.007603,0.051034,-0.008941,597.20884,62.557519,76.663771,-588.879424,3.280129,-2.078519,-2.68012,-1.314386,-2.376229,-0.789958,-1.915864,-0.650402,-0.727639,-0.775382,-0.425709,-0.570193,-0.672323,1036.078068,-193.648,735.312,177.168
