,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1444339547,0.926982,0.031473,-0.022094,0.925465,0.041955,0.004057,-0.003009,0.001184,72.096867,58.441473,-21.526926,-36.288631,5.042273,-0.119343,1.747057,-0.450001,0.501353,-0.356155,-0.298091,-0.258788,-0.200681,-0.046535,-0.031344,-0.218847,-0.130601,1007.4759191,8.928319400000001,178.3220608,-917.5128175000002
1444339597,0.925956,0.026532,-0.024089,0.925252,0.003817,0.001939,-0.001234,0.000304,71.377614,57.576126,-21.628662,-36.206532,4.926616,0.137339,1.50935,-0.358939,0.453782,-0.331947,-0.192573,-0.245214,-0.20873,-0.107819,-0.050928,-0.197481,-0.15878,1007.6548878,21.2952527,179.1372608,-918.4922842000002
1444339657,0.935604,0.041599,0.113053,0.887114,0.626731,0.015768,-0.021565,0.117516,71.218477,63.336214,18.91247,-22.043861,5.686478,0.02216,1.31312,-0.522981,0.310079,-0.35981,-0.168701,-0.457013,-0.1175,-0.097994,-0.153084,-0.191942,-0.053895,1009.1874470999999,-118.14448440000001,166.4496416,-297.3554243
1444339765,0.931602,0.046328,-0.01472,0.930326,0.004204,0.003353,-0.001944,0.00046,74.777157,63.090546,33.952066,-21.384619,7.607951,0.230923,1.617717,-0.484295,0.302596,-0.276445,-0.412982,-0.650951,-0.285624,-0.011672,0.009331,-0.108491,-0.129784,1000.809169,8.930909,33.163636,-1000.116364
1444339826,0.930136,0.045486,-0.015338,0.928882,0.001962,-0.000705,0.000558,-5.1e-05,76.531249,64.448069,35.388613,-21.209917,6.94404,0.567682,1.862971,-0.504784,0.328906,-0.304828,-0.383574,-0.368503,-0.190901,-0.041327,-0.03499,-0.126954,-0.069994,1022.8353715,-154.6404686,286.6645987,-80.1524429
1444339886,0.931908,0.046427,-0.01512,0.930612,0.119906,0.005629,-0.000423,-0.090367,79.214908,61.216686,37.751614,-26.723436,7.133651,-0.147184,1.432607,-0.618288,0.266018,-0.449087,-0.404181,-0.414738,-0.219693,-0.101503,0.003058,-0.026101,-0.067087,1002.445391,9.706667,31.004444,-1001.831111
1444339946,0.934562,0.101791,0.189091,0.851988,0.16658,-0.026901,0.024193,0.002163,84.92427873259994,66.33463989401312,-1.7671715053945414,19.918481002115506,6.802728,0.092252,1.430098,-0.648534,0.197174,-0.426477,-0.059693,-0.211898,-0.192316,-0.032657,0.042382,-0.17812,-0.135235,1003.662864,9.173333,31.626667,-1003.022222
1444340006,0.927377,0.032654,-0.007866,0.92676,0.004232,-0.001688,0.001716,-0.000341,102.231442,15.317226,36.443228,-94.273363,6.758981,0.651699,1.468182,-0.862264,0.136392,-0.410457,-0.275612,-0.273408,-0.164456,-0.051103,-0.020928,-0.192502,-0.071295,1001.830069,7.072,32.112,-1001.2
1444340080,0.926999,0.031881,-0.011051,0.9254,0.018628,-0.000493,0.000106,-0.01187,74.224041,8.565495,42.664566,-59.928877,8.226027,0.22137,1.179763,-0.725451,0.153252,-0.570164,-0.257916,-0.318631,-0.095871,0.012729,0.045708,-0.159004,-0.160783,1001.872661,7.728,33.536,-1001.184
1444340140,0.926426,0.03075,-0.011915,0.925827,0.002711,-0.000783,-0.000159,-0.000176,68.465828,3.69384,36.352627,-57.890076,9.543012,0.258082,0.905282,-0.554349,0.065005,-0.690202,-0.355986,-0.334296,-0.130621,-0.053649,-0.147048,-0.170061,-0.158298,1004.10167,9.264,32.224,-1003.456
