,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1448922048,1.02469,0.052345,-0.695469,-0.740527,0.256588,0.007736,-0.00512,-0.004785,425.338008,157.692205,-36.313113,-393.297253,-5.190657,0.283123,-2.777437,-1.115727,-1.389981,-0.926991,-1.768958,-0.718886,-1.582325,-0.881834,-0.97696,-0.684569,-0.764148,1019.5655874999999,336.79679999999996,464.63199999999995,-344.02239999999995
1448922109,1.015758,-0.022819,-0.002664,-1.015475,0.003792,-0.000187,-0.00035,-0.000269,423.968235,154.227785,-22.310211,-394.289134,-6.492018,-0.630262,-1.764666,-0.074525,-2.096405,-1.142794,-1.780998,-1.189162,-1.175894,-0.945437,-0.91798,-0.770569,-0.517016,1013.4558419000001,252.8608,409.96320000000003,-412.79200000000003
1448922169,1.015294,-0.022437,-0.00165,-1.014904,0.006154,-4e-06,-6.3e-05,-0.001622,423.934493,154.520259,-21.835622,-394.16404,-12.347824,0.074122,-1.686306,-0.31863,-1.922731,-1.09736,-1.747686,-1.13193,-1.33625,-1.099724,-1.001766,-0.645777,-0.477331,1013.4558419000001,252.8608,409.96320000000003,-412.79200000000003
1448922465,1.017703,-0.025713,-0.002951,-1.017365,0.004913,0.000661,0.000711,0.000732,430.682585,167.582261,1.09556,-396.738282,-6.569768,1.522822,-2.017669,-0.284713,-1.911261,-1.161694,-1.707707,-1.020452,-1.205918,-1.081761,-0.868241,-0.657777,-0.727151,993.231987,-6.336,-2.608,-993.168
1448922526,1.016258,-0.095747,-0.024795,-0.957153,0.244915,-0.035927,-0.035278,-0.091104,456.606677,114.812366,31.689813,-437.184848,-16.768728,1.383018,-2.05621,-0.357269,-2.102603,-1.319068,-1.787812,-0.917556,-0.897247,-0.959306,-0.762075,-0.632076,-0.768639,996.041682,-2.8,-30.08,-985.968
1448922586,1.013404,-0.025082,-0.029138,-1.007227,0.163803,5.2e-05,0.032796,0.072078,462.609328,111.134578,52.259217,-443.565039,-8.875056,2.035983,-2.344263,0.245684,-1.856932,-1.405684,-2.023427,-1.136855,-1.165185,-1.046613,-0.682605,-0.409455,-0.522279,992.349639,-8.832,-21.392,-992.032
1448922646,1.011756,-0.014845,-0.024505,-1.011337,0.003568,0.000186,-0.000239,-0.000264,476.431528,108.160398,116.084794,-449.234324,-7.176853,2.38519,-1.792318,-0.34167,-2.227061,-1.292906,-2.179747,-1.05495,-0.691395,-1.008806,-0.694905,-0.52482,-0.683689,992.445196,-6.48,-24.848,-992.064
1448922706,1.009758,-0.014723,-0.018,-1.009465,0.005028,-7.2e-05,-0.000232,0.000134,441.781308,-18.752182,144.329316,-417.115866,-7.469951,1.169228,-1.803261,-0.182375,-2.24504,-1.232176,-1.979933,-0.846154,-0.974426,-0.742974,-0.691482,-0.818887,-0.785747,992.303034,-6.448,-20.512,-992.016
1448922766,1.010214,-0.016211,-0.017288,-1.009919,0.003754,-7.4e-05,6.3e-05,0.000287,451.292076,4.647488,172.590044,-416.958496,-13.082632,1.052674,-1.682431,-0.024469,-2.120929,-1.258966,-2.025316,-0.897827,-1.094991,-0.943718,-0.785267,-0.594296,-0.624412,991.053625,-8.176,-19.632,-990.784
1448922826,1.010125,-0.019551,-0.017536,-1.009745,0.005857,0.000129,-0.000104,0.001124,446.572968,8.990649,159.54749,-416.847746,-7.790934,1.207672,-2.054528,-0.15515,-2.027366,-1.225613,-1.928632,-1.049526,-0.973143,-0.75366,-0.685807,-0.740494,-0.748299,993.840539,-10.304,-19.36,-993.552
1448922886,1.008548,-0.016221,-0.015903,-1.008257,0.00429,-9.5e-05,-0.00089,0.000147,540.461492,87.024708,323.934957,-423.691825,-8.883818,0.617446,-1.928079,-0.000178,-2.198285,-1.129096,-1.79604,-0.927139,-1.030069,-1.061331,-0.893501,-0.596929,-0.673741,993.502549,-8.192,-24.16,-991.136
1448922946,1.008212,-0.01916,-0.015828,-1.007893,0.00353,-1.1e-05,-7.3e-05,0.000114,539.11349,87.962119,322.535061,-422.937467,-11.440177,0.859531,-1.939586,0.083014,-2.333142,-1.212094,-1.962972,-0.873948,-0.954658,-0.900019,-0.888898,-0.666639,-0.668714,992.48453,-7.04,-17.904,-992.256
