,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1437680357,1.000726,-0.020237,0.000716,1.000499,0.016636,-0.006901,-0.011557,-0.009601,152.370699,-17.02185,23.0055,-149.658525,1009.0189705,52.3141072,449.35419659999997,-637.4891837,5.904812980799931,1.244795381756877
1437680405,1.001435,-0.020832,0.001917,1.001211,0.016622,-0.007043,-0.011394,-0.009715,152.314416,-16.99695,22.93965,-149.61435,1009.0189705,52.3141072,449.35419659999997,-637.4891837,5.237285121791781,0.7037107016186541
1437680465,1.001515,-0.020724,0.002158,1.001293,0.01662,-0.006606,-0.011399,-0.009501,152.431583,-17.19405,22.45035,-149.784227,1009.0189705,52.3141072,449.35419659999997,-637.4891837,4.905264208069866,0.6786285371012338
1437680526,1.000972,-0.020495,0.001989,1.000751,0.01658,-0.006365,-0.011673,-0.009756,152.425735,-17.009325,22.9401,-149.7261,1009.0189705,52.3141072,449.3541966000001,-637.4891837,4.717659354147451,1.5020408069897802
1437680616,1.001143,-0.019733,0.0011,1.000929,0.024931,-0.006534,-0.011633,-0.009719,152.384893,-17.07315,22.94445,-149.675851,1009.0189705,52.3141072,449.35419659999997,-637.4891837,4.0448095722334445,1.0250752029985881
1437680688,1.000827,-0.019827,0.000606,1.000609,0.016983,-0.006478,-0.011582,-0.009468,151.899571,-17.328,22.79955,-149.175149,1009.0189705,52.3141072,449.35419659999997,-637.4891837,5.054815161550775,1.1153719428790683
1437680748,1.000964,-0.019848,0.000753,1.000762,0.016325,-0.006551,-0.011748,-0.009141,153.017542,-16.991475,24.288675,-150.117075,1009.4653982999998,63.66112940000001,415.71526329999995,-637.5067837,0.24534916335223284,0.30446428021205874
1437680808,1.000396,-0.019492,0.001381,1.000201,0.016363,-0.006116,-0.012279,-0.008781,152.843633,-16.8588,24.377475,-149.941877,1009.0189704999999,52.31410720000001,449.3541966000001,-637.4891837000001,1.2339818519892605,0.5922970564957333
1437680868,1.00058,-0.019911,0.000707,1.000378,0.016905,-0.005769,-0.012096,-0.009502,151.950114,-17.514,22.4895,-149.250676,1009.0189705,52.3141072,449.35419659999997,-637.4891837,5.057127757193326,0.806661262247558
1437680945,1.002062,-0.020411,0.001112,1.001841,0.018085,-0.006586,-0.01145,-0.010294,153.670899,-17.54355,22.895025,-150.936075,1009.0189704999999,52.31410720000001,449.35419659999997,-637.4891837000001,2.6300366326896145,0.6247920086390495
1437681010,1.003536,-0.015764,0.000759,1.001159,0.050907,-0.00592,-0.011137,0.010011,124.767499,-34.9092,2.807925,-119.606475,1009.7313147000001,127.95,519.21,-585.2792,1.6518585518216604,0.8999981415981178
1437681091,1.002139,-0.025794,0.011965,1.00173,0.017437,-0.006812,-0.010959,-0.011578,67.057334,-27.845175,-15.5022,-58.98795,994.3021640000001,5.9573333,0.5578666999999967,-927.8127999999999,3.2229250232114492,0.25349082990168104
1437681151,1.002422,-0.026459,0.011203,1.001879,0.051344,-0.006912,-0.011087,-0.043815,67.926559,-22.733775,-10.751325,-62.30475,1016.9961445000001,58.1253333,300.21386670000004,-601.2528,0.757988928474166,0.2548944057258116
1437681212,1.003136,-0.026574,0.007822,1.002746,0.018331,-0.007882,-0.010427,-0.012131,72.677454,-28.503375,-33.0894,-58.087425,991.9077454000001,3.5200000000000005,-18.8784,-991.6591999999998,5.268357326904685,0.8974438825824793
1437681272,1.003674,-0.024304,0.006554,1.002151,0.061146,-0.007228,-0.010867,-0.02479,80.816396,-28.0866,-18.89055,-72.44895,995.2905534000001,56.56,110.03519999999999,-891.0848,2.3791100382992854,0.8903157137486827
1437681332,1.003446,-0.02271,0.005053,1.002161,0.07057,-0.006923,-0.011485,-0.026168,102.581051,-26.11215,-15.651525,-97.19115,1003.8862422,-45.7876,490.8612,-580.124,3.4592104406375133,0.8960929108016514
1437681392,1.001199,-0.020396,0.003966,1.000954,0.018268,-0.006941,-0.011605,-0.010539,142.731455,-22.041075,-14.48415,-140.271975,1014.6980019,124.2864,587.6627692,-514.1948308,1.3720251884755914,0.5791088681649057
1437681464,1.001955,-0.021369,0.004534,1.001704,0.021902,-0.007612,-0.011411,-0.011124,131.203733,-20.503725,-8.062875,-129.337725,1015.4604929000001,133.4824,578.5567691999998,-505.4420308,3.3647743576258553,0.7228708411455714
1437681516,1.003641,-0.0226,0.003157,1.003378,0.018818,-0.008571,-0.01017,-0.012997,131.071316,-20.54445,-8.02305,-129.195675,1015.4604929000001,133.4824,578.5567691999998,-505.4420308,2.9701847985712453,0.9666532796302592
