,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1440537067,1.021412,0.268973,-0.382495,-0.830659,0.310771,-0.025515,0.014955,0.106854,317.028527,-106.559887,103.525827,277.573763,1056.0597575,123.73920010000002,379.8256001,-610.3114667,2.7767623930627727,1.3079131571369167
1440537129,1.016593,-0.007853,-0.019018,-1.016345,0.009543,0.001592,0.001841,-0.00274,310.189773,-98.248554,121.600977,267.911723,1055.2604993999998,290.32106680000004,196.27786679999997,-638.4451555999999,3.796303447523463,1.321205635124136
1440537189,1.016072,-0.005992,-0.019286,-1.015857,0.004541,-0.000222,-0.000286,-0.000937,310.100253,-97.988196,121.756773,267.832802,1055.2604993999998,290.32106680000004,196.2778668,-638.4451556,-0.6570348456875902,1.8416533464696982
1440537249,1.010564,-0.003885,-0.018419,-1.01036,0.005901,-7.3e-05,0.000209,0.000672,310.819706,-98.247669,121.682721,268.604266,1055.2604993999998,290.32106680000004,196.2778668,-638.4451556,3.2049817247197763,1.4401024071912505
1440537309,1.015342,-0.003537,-0.020385,-1.015119,0.004478,-0.000404,-0.000322,-0.000973,310.125771,-97.843528,121.751499,267.917498,1051.5652155,256.68426680000005,134.8218668,-753.8179556,-4.362226714874707,-0.05530463372312782
1440537369,1.016339,-0.009009,-0.022233,-1.016037,0.005338,-0.00011,0.000111,-0.001263,309.809028,-97.935106,121.855216,267.470061,1055.2604993999998,290.32106680000004,196.2778668,-638.4451556,0.6100735436342785,1.592993440529194
1440537428,1.013837,-0.019364,0.003002,-1.013616,0.013678,0.000303,-0.000176,-0.000533,307.91612,-102.657614,105.992847,270.254996,1063.7368336,270.3882668,359.9098668,-557.7587556000001,0.4699957669684278,1.9766822926333014
1440537488,1.016118,-0.011446,0.000366,-1.016042,0.006691,0.000241,-0.000419,-0.001376,307.607375,-102.35412,105.987573,270.020583,1003.035563,209.456,-403.84,-893.488,-0.6375445419764935,1.9723932603575476
1440537549,1.014992,-0.006712,0.000616,-1.014949,0.007202,0.000203,0.000368,-0.00044,307.760688,-102.017003,105.943625,270.340121,1002.837736,163.952,-320.48,-924.528,3.0026935628736626,1.91345046225982
1440537608,1.007664,0.009768,-0.01238,-1.007525,0.005483,-1.9e-05,0.000152,0.001593,350.021377,-186.878504,146.847123,256.955279,991.728012,-31.888,-67.152,-988.864,-1.2877954250157584,1.8828794900011416
1440537668,1.009096,-0.003628,-0.078302,-0.977958,0.213237,-0.006942,-0.004194,-0.012388,340.373519,-186.532762,145.41332,243.442968,1011.874685,-22.304,-90.896,-986.752,5.5058530312301315,0.43972745644030153
1440537728,1.004058,0.012221,-0.01038,-1.003814,0.041212,0.000593,-0.000518,-0.004533,355.161982,-198.407924,149.2491,253.808461,1005.263241,-34.224,-777.408,-629.408,1.346467484739764,1.4874826422266123
1440537788,1.018311,0.022156,-0.635051,-0.697626,0.302716,0.043736,-0.011767,-0.006591,338.466906,-181.815124,93.399769,268.178433,1009.293761,-64.976,-823.552,-569.296,1.336917185034,1.1210505827798147
1440537848,1.017686,0.08129,-0.788655,-0.628696,0.269574,-0.001082,-0.001989,0.001617,327.805832,-169.623859,78.037088,269.382364,1006.541813,-94.848,-836.816,-550.592,4.430892630918272,1.5027235952552256
1440537908,1.009385,-0.015723,-0.074086,-0.97661,0.123223,-0.030254,0.005436,0.021975,352.048422,-187.620867,127.496381,268.870978,1004.798944,133.866667,-458.186667,-748.995556,8.725724193126602,0.9084976237945586
1440537969,1.004329,0.013555,-0.009091,-1.004181,0.008439,0.000142,0.000129,-0.001286,354.62158,-188.657433,136.324655,267.54278,995.977679,391.344,-232.0,-872.16,3.155505002494008,1.6212368946449256
1440538028,1.012001,0.024075,-0.079295,-0.980184,0.232802,0.018759,-0.01713,-0.009847,348.549984,-170.1198,158.303706,259.427521,995.973827,1.024,-18.56,-995.536,3.6998694757089376,1.5682729417188166
1440538088,1.019075,0.207621,-0.724015,-0.680276,0.140854,-0.001773,-0.001042,0.003206,311.165799,-143.520792,87.241117,261.935481,996.024427,-0.992,-19.152,-995.76,4.211463317936951,1.6582476887421569
1440538149,1.026567,0.084215,-0.74758,-0.675512,0.249607,-0.001229,-0.006248,0.000463,315.127762,-144.071814,87.553367,265.93269,995.840406,1.6,-16.368,-995.632,1.8905972974964518,1.6849456459930494
1440538209,1.007804,0.017686,-0.023117,-0.998066,0.007703,0.000269,-0.000852,0.001398,349.219742,-159.218823,151.283453,271.50363,1039.729366,2.048,929.712,103.088,6.831855283360907,0.3927615711739628
1440538268,1.107248,0.163324,0.991451,-0.022841,1.266814,-0.006956,-0.014821,-0.082142,385.378217,-139.368336,130.107991,334.603433,1067.881537,841.792,350.704,71.12,-0.03507512746112652,1.7148514940266506
1440538328,1.03227,-0.263517,-0.385452,-0.762203,1.00984,0.003423,-0.062727,0.058553,347.645257,-161.014784,77.370617,298.162304,1085.400675,816.944,103.184,-365.504,1.0641720248339182,0.7275464892178403
1440538388,1.151202,-0.102535,0.611377,-0.215877,2.064278,0.041285,0.003621,0.033961,384.646567,-153.769881,124.93685,328.54827,1162.940441,1123.936,188.032,-100.88,1.9389269995494678,0.013018711674433508
1440538448,1.246254,-0.022078,1.042366,0.021984,2.423727,-0.029127,0.061457,-0.088312,394.526704,-169.619877,150.969225,322.468295,1226.432431,1148.688,157.728,-22.784,3.5197159614010163,1.3475642598443351
1440538508,1.254803,-0.034537,1.040734,0.017078,2.436258,-0.002534,0.05275,-0.113968,402.645447,-164.401209,149.491693,335.553489,1266.807304,1142.096,183.472,-40.16,2.0888008394116215,1.266187250912376
