,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1446762297,1.057536,0.011074,0.026759,1.056769,0.048134,-0.001249,-0.00872,0.006114,27.411312,-20.931195,-4.003389,-17.219183,1.899699,0.490036,1.085736,-0.454969,0.383055,-0.397766,-0.048518,-0.365836,0.017112,-0.055665,0.108463,-0.149852,0.035429,1027.0227262,22.322133400000006,228.28906669999998,-743.6932573
1446762357,1.057436,0.011879,0.029614,1.05693,0.006097,0.00196,-0.004092,0.000778,28.014486,-21.909696,-3.7164,-17.05318,5.687659,0.981563,1.141595,-0.530636,0.409407,-0.355002,0.029333,-0.518661,-0.199919,-0.091181,0.13418,-0.2049,0.076907,1027.0173505,21.8293334,227.8133334,-743.6932573
1446762417,1.056344,0.012864,0.028037,1.055872,0.003138,0.0012,-0.000388,-8.4e-05,27.976212,-21.868264,-3.696898,-17.047776,5.709549,0.58009,1.047327,-0.493929,0.34015,-0.326428,-0.012177,-0.497416,-0.034195,-0.091838,0.135475,-0.165682,-0.01794,1027.0173505000002,21.8293334,227.81333339999998,-743.6932573
1446762487,1.056874,0.011657,0.027129,1.056438,0.004039,0.002215,-0.001624,0.000879,27.954579,-21.882754,-3.644032,-17.004934,2.175165,0.573538,1.226411,-0.176524,0.517298,-0.174297,0.206312,-0.160726,0.148952,0.019957,0.223352,-0.046147,-0.013028,1027.0227262,22.322133400000002,228.28906669999998,-743.6932573
1446762548,1.057353,0.012421,0.026983,1.05692,0.003714,0.002228,-0.001545,0.001001,18.952902301310043,8.596513422237152,9.530223930802823,-8.437071631172321,-1.658513,0.393233,0.761602,-0.294484,0.464852,-0.62342,-0.128607,-0.395415,0.061154,-0.02503,0.067965,-0.159517,0.01813,1054.7733824,-191.5325687,697.2526135,-115.8884811
1446762608,1.056179,0.00447,0.014275,1.056034,0.015303,-0.000589,0.003631,0.001533,34.807499,7.247875,29.399795,-17.113586,8.439774,1.030706,1.133677,-0.493559,0.28439,-0.315296,0.196361,-0.207477,-0.06681,-0.180696,0.122187,-0.092755,-0.051076,1105.2104823999998,-238.9889416,603.910082,172.6941511
1446762668,1.056575,0.004799,0.013518,1.056451,0.010811,6.9e-05,-0.002516,0.001284,34.92031,7.017182,29.644861,-17.059426,7.635439,1.05948,0.983063,-0.552049,0.360765,-0.41284,0.050226,-0.329147,-0.078489,-0.171829,-0.027365,-0.112099,0.00447,1104.9752194,-201.50627500000002,616.0327487,193.45681770000002
1446762729,1.05804,0.003441,0.015618,1.057821,0.031864,-0.000165,2.4e-05,-3.5e-05,34.980949,6.361512,29.834065,-17.10712,4.046382,0.761762,1.141708,-0.511266,0.417466,-0.400027,-0.025215,-0.301325,0.060818,-0.139479,0.077123,-0.149183,-0.06122,1105.0145858,-198.66094160000003,607.702082,253.34481769999996
1446762789,1.056299,0.002734,0.015165,1.056155,0.01734,0.00132,0.011373,4.9e-05,34.442655,7.725773,28.507812,-16.845565,7.099766,0.807825,1.142283,-0.343866,0.370845,-0.435334,0.053967,-0.331665,-0.081312,-0.135211,0.063035,-0.153642,-0.112137,1105.3285823,-208.7491468,631.5156205000001,196.67240750000002
1446762848,1.057144,0.002546,0.01453,1.056778,0.043867,0.00074,-2.3e-05,0.003301,31.440929,16.640941,21.268624,-16.069444,7.932577,0.641552,1.187548,-0.516292,0.305233,-0.370398,0.006846,-0.417022,0.004297,-0.12013,0.039869,-0.116524,-0.102504,1180.4664169000002,105.2183677,632.4740687999999,84.20461249999998
1446762898,1.06768,0.003176,0.018041,1.061814,0.009335,0.001228,-0.000769,0.000579,30.876256,17.820097,19.6138,-15.644345,7.886132,0.948126,1.025024,-0.549913,0.411236,-0.282058,0.143459,-0.227111,-0.021174,-0.279118,0.015024,-0.137521,-0.033195,1151.7471411000001,54.352978599999986,577.7058169,50.314022099999995
1446762958,1.056391,0.00295,0.015076,1.056205,0.010506,0.000513,-0.000513,-0.001759,27.918606,13.079282,19.00196,-15.717299,7.484772,0.917755,1.170007,-0.451114,0.374597,-0.411416,0.079714,-0.26503,0.091721,-0.225882,0.039289,-0.087634,0.000305,1146.9653259,166.81721530000002,626.2819382999999,152.0825015
1446763013,1.057079,0.018146,0.023678,1.056643,0.006702,0.000461,0.000603,-9.7e-05,32.890823,19.261729,21.5037,-15.752283,8.395226,1.051856,1.141958,-0.408801,0.269743,-0.395729,0.156035,-0.373837,-0.171241,-0.214704,-0.024387,-0.205386,0.043842,1181.8990616,48.89857859999999,559.8888734,127.9505758
