,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1442952406,1.034605,0.024907,0.008643,-1.034235,0.009306,-0.00057,0.000564,-0.004036,154.400665,-152.955337,-7.248763,19.746533,998.602151,117.792,-186.112,-973.904,3.6605770278255303,0.6390266581426485
1442952467,1.013772,0.023127,0.00757,-1.013464,0.006027,0.000218,-0.000291,0.002124,153.663355,-152.300093,-6.642663,19.272364,995.723292,119.152,-185.12,-970.992,5.33309005871562,0.5934141434793107
1442952527,1.014213,0.02533,-0.007195,-1.01023,0.00723,-0.00022,0.001462,0.000589,157.540991,-153.481825,-17.046814,14.838032,997.743665,118.016,-184.416,-973.344,2.7337279687708,0.596268361821705
1442952587,1.009877,0.017095,-0.026341,-0.99297,0.304163,-0.027865,-0.086549,-0.156858,213.237421,-211.858737,-22.378074,6.848909,998.375948,4.816,-62.784,-949.264,8.960538258876106,0.8614941398481053
1442952647,1.012505,0.024782,-0.00255,-1.012181,0.005461,6.6e-05,-0.000138,-0.000358,226.10673,-223.752785,-32.163292,4.779498,999.564962,11.696,32.608,-998.88,4.826625934784847,0.826828025542734
1442952707,1.003888,0.02357,-0.006788,-1.003575,0.004836,5.3e-05,-0.000529,0.000565,225.720241,-223.401572,-31.912667,4.617137,1001.086508,11.36,27.728,-1000.56,4.1843947366584375,1.0969566132778266
1442952767,1.007925,0.024616,-0.006305,-1.007205,0.043973,0.000245,9.4e-05,-0.00892,219.699415,-211.960596,-52.89329,14.737482,998.718227,12.176,31.104,-997.456,3.5078435006610604,0.5441403269134187
1442952827,1.011636,0.025329,-0.009057,-1.011269,0.005794,-2.2e-05,0.000609,0.001948,217.054475,-206.505447,-63.709104,20.18641,1000.307716,14.848,28.064,-999.728,9.02804438714759,0.5768559945905266
1442952887,1.010697,0.025673,-0.008682,-1.010324,0.004758,4.1e-05,0.000186,-0.000351,218.665351,-208.537981,-62.821852,19.452929,1000.299113,13.376,28.192,-999.728,3.954480528936408,1.1265243987506808
1442952947,1.007065,0.024103,-0.008088,-1.006724,0.005193,-0.000263,-0.001317,-6.9e-05,223.002002,-213.299966,-61.154189,22.175805,1001.591612,14.112,29.76,-1000.976,4.183780773036736,1.7313348885172521
1442953007,1.009024,0.023803,-0.008288,-1.00869,0.005723,-3e-05,0.00053,-0.001256,223.075217,-213.369635,-61.135608,22.288844,1008.948366,16.448,-26.048,-979.616,7.367998612564039,0.5660381472588342
1442953067,1.006038,0.023398,-0.005776,-1.005733,0.005022,-0.000143,-0.000491,-0.000425,222.996113,-213.327745,-60.987843,22.306626,989.024718,95.104,-461.744,-865.712,6.525422017188911,1.2220845238565676
1442953127,1.006009,0.022809,-0.005844,-1.005723,0.004953,0.0001,5.2e-05,-0.000943,223.051623,-213.37647,-60.922146,22.570594,999.828677,-41.76,-67.36,-991.36,7.159180991771731,0.7405666183749037
1442953187,1.008862,0.021712,-0.004281,-1.008603,0.007699,4e-06,0.000634,-0.000456,223.796411,-217.51584,-48.432696,20.590724,1001.012941,8.896,30.624,-1000.432,6.971813608750072,0.5912213771217775
1442953247,1.005921,0.022279,-0.004075,-1.005644,0.00551,0.000142,-0.000187,5.9e-05,223.564261,-217.364155,-48.151766,20.339669,1000.665047,10.8,30.0,-1000.08,7.108288957369826,0.6117384054742931
