,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1446766993,0.989724,0.136777,-0.743026,-0.57093,0.328535,0.02204,0.053064,0.021637,580.8192323468932,-7.413263101475191,149.19840760646701,-552.0643112400537,1002.0752012,-471.76445709999996,182.44834289999997,-265.42308570000006,5.814323551809444,1.6646810762723712
1446767191,0.996565,0.001708,0.006996,-0.996497,0.003853,0.000699,0.000574,0.000942,655.631209,-16.232824,243.314868,-608.592779,1000.990395,7.92,37.44,-998.704,3.2567416046867463,1.2883847762645158
1446767252,0.998065,0.002074,0.004392,-0.998045,0.002331,1e-06,-0.000293,-2.9e-05,655.609461,-16.239523,243.353114,-608.554161,1002.505896,12.704,35.888,-1001.696,3.61883097093083,1.9441636584967341
1446767312,0.998176,0.001859,0.004983,-0.998149,0.002503,-0.000129,0.000124,7.1e-05,655.749079,-15.952572,243.489243,-608.657702,1001.916481,12.704,35.616,-1001.12,3.7511075261578077,2.0426185267346217
1446767372,0.998564,0.002045,0.005593,-0.998527,0.002996,0.000118,-0.000184,-6e-05,655.763872,-15.69155,243.403244,-608.7149,1003.439034,11.776,37.92,-1002.576,4.963886399696275,1.6299642869027642
1446767432,0.998705,0.001803,0.005101,-0.998657,0.003381,8e-05,-6.9e-05,-2e-06,655.9388,-15.728931,243.390063,-608.907579,1003.368332,10.992,38.608,-1002.48,1.8584765494581357,2.3145732928710867
1446767492,0.998952,0.000739,0.004407,-0.998925,0.003343,-3.4e-05,-7e-05,-3.7e-05,656.107897,-15.423614,243.321567,-609.124892,998.872665,11.968,38.016,-996.768,2.8799763562917726,1.5260818042164017
1446767552,0.999103,0.002027,0.004427,-0.999079,0.002838,-3e-05,4.8e-05,5.2e-05,656.259689,-15.054122,243.478007,-609.235114,1004.300414,15.776,36.288,-1003.44,3.4609039510730875,2.0303317757054478
1446767612,0.999392,0.002158,0.005501,-0.999185,0.004752,1.2e-05,-5.2e-05,-0.002038,656.315463,-14.102516,243.548016,-609.289389,1002.93853,15.696,36.304,-1002.064,7.805804377841797,1.3611047536268948
1446767672,0.998602,0.001819,0.005204,-0.998559,0.003053,-1.7e-05,3.2e-05,0.000298,656.045909,-13.463574,244.045642,-608.814892,1002.747528,12.8,35.28,-1001.952,5.586303161832451,1.6866963500983698
1446767732,0.999383,0.000476,0.006293,-0.999326,0.002814,9.2e-05,-2.3e-05,1.1e-05,656.198774,-13.35035,244.15541,-608.938056,1002.347508,13.152,38.944,-1001.424,6.95359078584707,0.6176306963291999
1446767792,0.999352,0.002842,0.004453,-0.999328,0.002259,-0.000124,-0.000242,-2e-05,656.207488,-13.579824,244.198625,-608.925113,997.441288,-12.128,-490.16,-657.968,6.181596452646364,0.8053285038560118
1446767852,0.999656,0.001737,0.004954,-0.999614,0.003263,-8.4e-05,1.8e-05,6.6e-05,656.251818,-13.632331,244.057094,-609.028448,1005.646409,15.536,35.776,-1004.816,4.508679343286523,1.8001702794985928
1446767912,0.999519,0.00234,0.004335,-0.999492,0.002969,-3e-05,7e-05,4.3e-05,656.002819,-13.556056,244.084104,-608.751015,985.453213,194.144,-434.848,-713.616,5.138374944369815,2.128805180045855
