,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1440623645,1.008332,-0.008878,0.045109,1.007277,0.009415,0.000481,0.000344,-0.005388,18.461831,-15.421016,7.040859,-7.230859,10.13466,0.330445,1.362469,-0.153504,0.392369,-0.331365,0.070467,-0.287616,0.018041,0.008503,-0.040633,-0.198209,0.040758,1024.0797078,-115.94536860000001,700.7923751000001,-195.4907033
1440623716,1.007024,-0.009624,0.044364,1.005993,0.003189,0.000445,0.000248,0.000427,18.20314,-15.311719,6.701719,-7.200938,9.69931,0.233233,1.498861,-0.205994,0.388295,-0.357812,0.032741,-0.254926,0.035273,0.029491,0.00631,-0.19927,-0.024683,1024.0797078,-115.94536859999998,700.7923751000001,-195.4907033
1440623753,1.007358,-0.006924,0.043533,1.006382,0.003614,0.000478,0.000473,0.000245,18.25015,-15.345859,6.708047,-7.240547,7.155638,0.547431,1.183667,-0.276408,0.368103,-0.491835,-0.020846,-0.171451,0.010963,0.047692,0.026025,-0.158105,-0.018215,1027.1023011000002,26.084210900000006,576.3712322000001,-280.7110608
1440623836,1.015341,-0.011517,0.042158,1.014389,0.00646,-0.000401,-0.000675,6.9e-05,18.144641,-12.871875,9.277969,-8.791094,3.626779,0.507802,1.403246,-0.121572,0.37434,-0.457414,0.04498,-0.158033,-0.016762,-0.083877,-0.01286,-0.132843,-0.068463,1055.7090233,72.73378369999999,365.9252773,-491.24097029999996
1440623898,1.016856,-0.008789,0.041116,1.015968,0.011271,0.000622,0.000878,-0.000213,18.301737,-13.049453,9.258359,-8.877422,0.295745,0.575679,1.50951,-0.236368,0.226425,-0.302807,0.173716,-0.109985,-0.026328,-0.073024,0.024126,-0.134012,-0.088248,1057.0441276999998,128.96474279999995,293.46573040000004,-569.6099413999999
1440623943,1.025852,-0.008239,0.035364,1.025108,0.037902,0.000925,-0.000856,-0.00642,18.604929,-13.515625,9.202656,-8.867031,3.715716,0.700036,1.23343,-0.379272,0.200898,-0.438996,0.074326,-0.181888,-0.163661,-0.04984,0.096056,-0.147009,-0.118126,1055.2848262000002,77.78591559999998,354.9949916,-539.8053659
1440623993,1.021889,-0.01075,0.035116,1.021195,0.019306,-3.2e-05,0.005402,0.001164,18.893602,-13.838281,9.157813,-9.024062,5.400453,0.697708,1.209316,-0.329034,0.314686,-0.522507,0.06259,-0.188461,-0.013234,-0.020743,-0.018001,-0.185293,-0.085789,1055.2848262000002,77.78591560000001,354.9949916,-539.8053659
1440624082,1.014186,0.015037,0.052591,1.009301,0.159427,0.003533,-0.009018,0.065887,37.635437,-8.716172,18.771953,-30.946953,8.11375,0.187324,1.445492,-0.091743,0.430862,-0.474586,-0.113412,-0.264522,-0.095776,-0.086959,-0.022723,-0.155214,-0.102997,1037.9386144,-109.1885078,356.2788098,-658.1593454000001
1440624119,1.014125,-0.064385,0.122598,0.976726,0.076117,0.030635,0.027081,0.009514,18.41885,-14.455937,7.697344,-6.447969,7.544341,0.673438,1.262937,-0.183265,0.467401,-0.240609,0.080031,-0.222569,0.014254,-0.035735,-0.006098,-0.168685,-0.016583,1023.3061674,-17.08537,730.0434799000001,-206.05614649999998
1440624182,1.012302,-0.003682,0.041835,1.011386,0.021638,-0.000208,0.000358,0.000349,18.963821,-15.798203,8.243984,-6.473984,4.709501,0.82865,1.358277,-0.300839,0.433183,-0.177644,0.136581,-0.231899,-0.12762,-0.102212,0.059919,-0.049322,0.039909,1023.8733194999999,102.0677845,677.5843487,-268.4791487
