,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z,audio_naive:pc1,audio_naive:pc2
1447722881,0.998871,-0.064914,0.015649,-0.996608,0.021472,2.8e-05,0.002691,0.000195,262.385323,-68.692,216.502592,-131.349503,1004.7272122,-31.848000000000006,-274.4656,-25.71840000000001,9.98807071951579,0.6699985453243017
1447722942,0.995983,-0.062143,0.016182,-0.9939,0.013401,-0.00026,0.000231,8e-06,262.057064,-68.147349,216.29841,-131.314787,1011.384529,4.8,44.672,-999.04,1.3598487659986784,1.6660596375746461
1447723002,0.995643,-0.080832,0.019253,-0.990594,0.161195,-0.002541,0.003888,-0.04374,205.229713,-53.503913,157.032919,-120.102158,1001.714638,1.424,50.576,-1000.32,9.931928658215277,0.5753925188030115
1447723062,0.996405,-0.07687,0.036692,-0.992187,0.032396,0.004499,-0.004917,0.00025,196.490948,-55.953059,149.208073,-114.943236,1002.443629,0.064,44.848,-1001.344,3.5125063167549655,2.226843439292992
1447723122,0.99793,-0.064047,0.052064,-0.994495,0.016373,0.000921,-0.000731,6.1e-05,197.525325,-56.756451,150.006603,-115.289126,1003.199846,2.208,42.624,-1002.224,2.9827395925683065,2.3420488197142846
1447723182,0.996169,-0.061942,0.056333,-0.992631,0.013813,0.000191,-0.000108,5e-05,197.487364,-56.584104,150.169949,-115.096494,1004.511209,5.104,40.144,-1003.616,3.2128247810103043,2.1373609197457233
1447723242,0.995641,-0.062344,0.058633,-0.99194,0.006441,-0.000352,0.000107,4.1e-05,197.471821,-56.47945,150.360372,-114.872534,1003.36035,8.016,39.312,-1002.48,4.271751271840858,1.6141070736380785
1447723302,0.995455,-0.061564,0.056697,-0.991923,0.006021,-5.6e-05,-1e-06,-0.000155,197.588202,-56.752443,150.174388,-115.180744,1002.120683,6.0,39.232,-1001.264,3.2680975078049004,1.554019151494246
1447723362,0.995704,-0.061454,0.057173,-0.992151,0.007232,-0.000261,-0.000212,7.7e-05,197.55725,-56.637991,150.138878,-115.230701,1001.931227,5.232,42.464,-1000.944,2.9678263714856303,2.411732057437225
1447723422,0.995378,-0.061739,0.057586,-0.991785,0.005651,-3.5e-05,2.4e-05,-1.9e-05,196.992461,-56.291962,149.812187,-114.857716,1001.442471,2.848,40.272,-1000.56,1.1326404674518895,1.9027070624981302
