,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1444756357,0.993618,0.015692,0.02269,-0.993218,0.005198,0.00029,-5.8e-05,0.000158,440.640783,96.178276,55.281485,-426.446664,-12.077022,1.70453,-1.431139,-0.665388,-1.808609,-0.926041,-1.730552,-1.101794,-0.913268,-1.016894,-0.973473,-0.564581,-0.981566,1006.8501297999999,-112.7568,326.3136,-512.9536
1444756418,0.993676,0.013822,0.024582,-0.993268,0.002956,-0.000131,-5.4e-05,5.5e-05,440.589726,96.195254,55.274826,-426.391012,-4.489596,1.905176,-1.507464,-0.492039,-1.814799,-1.025964,-1.613587,-0.968075,-0.877866,-1.141427,-1.139761,-0.724465,-0.94656,1036.942773,26.896,-27.104,-1036.128
1444756478,0.993416,0.014645,0.022993,-0.993025,0.003506,0.00021,7.6e-05,3e-05,440.359449,96.216701,55.216679,-426.155655,-8.058639,1.759142,-1.620565,-0.498681,-1.923108,-1.073172,-1.527961,-1.023926,-0.977593,-0.92235,-1.094407,-0.77768,-1.063211,1035.689787,28.144,-29.232,-1034.784
1444756538,0.993398,0.015692,0.020902,-0.993044,0.002533,-0.000224,-5.1e-05,2e-06,440.265028,96.211562,55.070866,-426.078123,-5.616471,2.112227,-1.587284,-0.600175,-1.875934,-1.010809,-1.481726,-0.99581,-1.106687,-1.045093,-1.037209,-0.737196,-0.989401,1035.879125,29.76,-31.808,-1034.848
1444756598,0.993372,-0.013987,0.032783,-0.992715,0.002858,-0.000125,-0.000252,0.000147,450.175343,109.168449,105.62021,-423.772567,-6.809438,1.304238,-2.108468,-0.280239,-1.406536,-0.805407,-1.556885,-1.132448,-0.975732,-0.906344,-0.776715,-0.567053,-1.070339,1031.914655,2.32,-22.112,-1031.552
1444756658,0.996412,-0.017678,0.016569,-0.990639,0.170233,0.003076,-0.006533,-0.011549,461.859287,93.33347,126.802135,-434.064301,-13.978847,0.860613,-1.753811,-0.448683,-1.687698,-0.974135,-1.606046,-0.863319,-0.573941,-0.743281,-1.031285,-0.670536,-0.82754,1031.038634,0.496,-23.232,-1030.656
1444756718,0.993576,-0.012362,0.028032,-0.993088,0.002784,1.8e-05,-3.5e-05,6.8e-05,464.592009,94.225069,130.445681,-435.83266,-9.11162,1.535946,-1.890951,-0.396463,-1.827205,-1.066344,-1.593408,-0.865861,-0.713088,-0.578976,-0.875212,-0.830166,-0.889722,1031.846286,-0.72,-23.76,-1031.456
1444756778,0.993794,-0.010577,0.031004,-0.993244,0.002611,-1.2e-05,2.3e-05,2.7e-05,464.560964,94.325154,130.477196,-435.76851,-9.253673,1.390862,-1.884417,-0.487343,-1.76016,-0.995154,-1.651455,-0.813235,-0.619882,-0.64456,-0.921115,-0.75909,-0.960557,1032.871164,3.696,-20.976,-1032.544
1444756838,0.99375,-0.01188,0.029415,-0.993237,0.002342,0.000139,-4.3e-05,4.2e-05,464.62828,94.197591,130.445015,-435.877479,-8.546171,0.434276,-1.551268,-0.454137,-1.847582,-1.028687,-1.499391,-0.793626,-0.692033,-0.700477,-0.921966,-0.772078,-0.946465,1038.878413,-47.024,-323.984,-896.96
1444756898,0.994101,-0.011066,0.027686,-0.993641,0.003058,0.000134,-0.000106,3.2e-05,464.346188,94.260367,130.255703,-435.619819,-8.704448,1.399724,-2.152634,-0.575993,-1.837878,-0.891212,-1.461387,-1.007547,-0.743195,-0.621777,-0.914301,-0.68858,-1.030787,1032.115459,6.613333,-64.32,-1027.466667
