,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1438378685,0.029559,-0.023391,0.011662,0.012976,0.001846,0.00024,0.000251,0.000568,337.267017,78.484219,-45.103592,324.890295,1.003202,0.038869,1.398472,-0.15884,0.378842,-0.331343,-0.001242,-0.357802,0.027884,0.025481,0.050408,-0.106426,-0.025677,995.571824,-0.303158,-19.553684,-995.301053
1438378740,0.407494,-0.00764,0.395931,-0.073545,0.113613,0.004544,-0.000951,0.002493,360.425702,78.161936,-85.014399,341.413692,-0.192561,0.215086,1.668448,-0.161922,0.408321,-0.342184,-0.047388,-0.353946,0.017652,-0.100372,0.036382,-0.161928,-0.14748,995.454859,-0.248889,-19.822222,-995.2
1438378818,0.531882,0.038624,0.509452,-0.134841,0.112895,-0.006437,0.003464,0.002597,367.980652,71.275242,-94.984709,348.28064,0.557262,0.36379,1.623358,-0.032883,0.514887,-0.332822,0.007662,-0.312232,-0.006367,-0.113223,0.025204,-0.101813,-0.059744,993.788529,0.071111,-18.755556,-993.546667
1438378849,0.509414,0.085302,0.485543,-0.123456,0.072565,0.003741,-0.000507,-0.001195,363.520283,73.137772,-92.185892,343.940136,2.874057,0.343705,1.749504,-0.137737,0.519535,-0.356467,0.008632,-0.337658,-0.082694,-0.226591,-0.226152,-0.348593,-0.172065,995.135259,0.053333,-19.253333,-994.88
1438378934,0.031195,-0.023079,0.012142,0.014142,0.00525,-0.001505,-0.001076,0.000353,343.434611,76.241943,-64.642967,328.564459,2.148953,-0.227872,1.39306,-0.148133,0.292739,-0.391202,-0.007833,-0.356516,0.000159,-0.061997,-0.021825,-0.170746,-0.091381,999.390375,-1.653333,-5.013333,-995.333333
1438378980,0.030206,-0.022626,0.012265,0.013628,0.003808,0.000299,-1e-05,-1.6e-05,343.440899,75.95359,-65.225182,328.522739,5.085592,-0.142605,1.513573,-0.020073,0.4613,-0.330718,-0.00763,-0.297714,0.035479,-0.097316,-0.008613,-0.165087,-0.111628,995.227693,0.124444,-20.746667,-994.933333
1438379029,0.029604,-0.022333,0.012311,0.01386,0.002083,6.6e-05,1e-05,-1.1e-05,343.510909,72.050419,-68.729902,328.76046,-2.027668,-0.182955,1.437575,-0.124721,0.557569,-0.303732,0.032375,-0.301528,0.040085,-0.059951,0.002065,-0.209249,-0.120663,996.115449,-70.834286,-349.074286,-855.702857
1438379114,0.030371,-0.022753,0.012935,0.014189,0.078691,0.034779,-0.007251,0.009866,344.279794,71.961288,-69.594622,329.386095,1.915704,-0.303923,1.493179,-0.102134,0.407015,-0.270185,0.014614,-0.281033,0.076735,-0.054297,-0.025,-0.203726,-0.148399,1039.571395,184.203636,490.589091,-806.021818
1438379160,0.642087,0.075731,0.592186,-0.203479,0.558796,-0.092402,-0.004714,-0.032338,369.803764,66.043463,-89.01264,351.62331,-1.66869,-0.272454,1.511766,-0.137377,0.632778,-0.274566,-0.012182,-0.336267,-0.052464,-0.251198,-0.085432,-0.176572,-0.080771,1054.785485,-201.76,874.702222,502.933333
1438379250,0.599236,0.534653,-0.118628,-0.17763,0.239374,0.003715,0.030669,-0.022692,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-4.52697,-0.227462,1.656376,0.032431,0.62587,-0.232826,0.036488,-0.345091,-0.052318,-0.293127,-0.087576,-0.133652,0.012834,1052.539739,203.495385,874.215385,415.187692
1438379280,0.030304,-0.01938,0.016674,0.014486,0.002361,0.000224,5e-06,0.000234,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-2.210626,-0.76819,1.025758,-0.024952,0.603112,-0.129378,0.158837,-0.255439,0.046528,-0.166578,-0.020399,-0.104129,-0.040852,1012.749816,-218.447059,665.392941,-590.607059
1438379340,0.030345,-0.019897,0.016938,0.014792,0.002014,0.000421,-0.000255,0.000609,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,2.409974,-0.194692,1.686397,0.001818,0.638927,-0.326858,0.042113,-0.287503,-0.002434,-0.165442,-0.033893,-0.141933,0.011752,1026.803556,-511.893333,300.231111,218.453333
1438379400,0.032379,-0.020138,0.017694,0.015445,0.002635,-6.7e-05,-0.000566,-1.6e-05,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,3.2333,-0.728956,0.717583,-0.094968,0.533689,-0.131233,0.138676,-0.288091,0.04591,-0.112464,-0.025138,-0.131616,-0.055954,1007.851219,-17.903158,595.654737,-708.311579
1438379449,0.031582,-0.020427,0.017617,0.015825,0.002281,-0.000789,0.00027,0.000129,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-3.43871,-0.684,1.409776,-0.129853,0.494776,-0.251287,0.06914,-0.238283,0.014133,-0.146183,-0.005834,-0.091696,-0.005574,1032.534686,-210.862222,543.217778,-69.813333
1438379530,0.032468,-0.02088,0.018577,0.015983,0.00206,-0.000446,-0.000425,0.000309,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-2.407649,-0.413317,1.290735,-0.052224,0.513913,-0.26053,0.07363,-0.236002,0.028318,-0.174681,-0.039386,-0.109877,0.028421,1045.319015,263.006316,434.661053,-43.183158
1438379569,0.037921,-0.019137,0.017856,0.015993,0.002097,0.000544,0.000119,4.3e-05,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-0.594124,-0.065935,1.698454,0.012773,0.576558,-0.283096,0.07411,-0.256131,0.04624,-0.192119,-0.033652,-0.111403,0.017092,1071.08298,753.074286,552.297143,-179.131429
1438379629,0.031814,-0.020688,0.018024,0.015601,0.001903,-6.1e-05,-0.000162,-0.000148,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,3.577839,0.058539,1.588084,-0.291537,0.39017,-0.45878,-0.107876,-0.298139,0.091462,-0.056987,0.015224,-0.128989,-0.039741,1018.585216,161.617778,483.644444,-131.36
1438379708,0.227738,-0.022983,0.024458,0.012741,0.082573,-0.000157,-0.00567,-0.017039,365.94516953346454,46.60727521686351,-34.844187810039365,358.878806996063,-1.698013,-0.196464,1.505897,0.00512,0.760357,-0.168971,0.16312,-0.211584,0.017789,-0.278396,-0.121361,-0.146718,-0.112966,1041.918374,17.6,897.852632,-358.585263
1438379812,0.043399,-0.02003,0.016996,0.015706,0.029584,0.001115,0.00137,0.015131,365.20462,22.428656,-6.33033,364.216436,-3.963275,-0.198613,1.621396,-0.122881,0.471736,-0.362061,-0.016817,-0.280889,0.000638,-0.151516,0.006621,-0.09137,0.031458,1004.357356,-300.547368,533.541053,-545.263158
1438379869,0.029732,-0.01923,0.015298,0.015353,0.002046,0.000395,-0.000121,9.9e-05,359.963264,17.507151,5.16033,359.498602,3.042815,0.18214,1.586015,-0.162919,0.474363,-0.335557,-0.057806,-0.302928,-0.007514,-0.19051,-0.072606,-0.260852,-0.114382,1063.474816,523.591111,727.342222,364.195556
1438379940,0.029378,-0.019413,0.014533,0.01611,0.002301,0.001442,0.000498,0.000439,360.437717,17.516439,5.417763,359.969509,3.791545,0.133365,1.675914,-0.097159,0.488628,-0.377327,-0.035714,-0.315634,0.013739,-0.156149,0.037319,-0.077576,0.024688,1036.209507,169.714286,1008.32,159.954286
1438380000,0.029122,-0.019362,0.014307,0.015903,0.002185,-0.000797,-0.000882,-0.000492,360.277071,17.419567,5.310644,359.815023,2.628384,0.064052,1.720285,-0.005818,0.558825,-0.309835,-0.013084,-0.294819,0.051494,-0.156409,-0.016498,-0.13288,0.013764,1045.115724,489.848889,650.737778,87.128889
1438380060,0.04069,-0.018931,0.01857,0.0164,0.024135,0.000409,0.000737,0.004265,361.027421,20.139469,6.891069,360.383175,-0.954752,-0.302075,1.706838,-0.040392,0.66546,-0.205785,0.111713,-0.241169,-0.025404,-0.223832,-0.032895,-0.080423,0.029846,1002.051975,-824.96,313.386667,-162.755556
1438380125,0.030766,-0.017955,0.018336,0.015912,0.002149,0.000231,0.000228,6.2e-05,362.065367,24.20809,8.572958,361.151972,-1.329688,-0.648226,1.129968,0.011401,0.656109,-0.119647,0.122025,-0.24144,0.040184,-0.186958,-0.030338,-0.110914,-0.007098,999.130531,-61.257143,123.154286,-916.662857
1438380201,0.030193,-0.017655,0.017605,0.016241,0.002162,0.000361,0.000181,-0.00012,359.142414,19.37462,20.207922,358.048098,-1.175844,-1.193108,1.116735,-0.086769,0.579705,-0.163044,0.171828,-0.187475,0.033052,-0.134669,-0.047488,-0.062761,0.046152,1066.340383,-81.246316,702.753684,486.837895
1438380256,0.031032,-0.017576,0.018246,0.015791,0.002358,6.1e-05,-0.000214,4.6e-05,359.686947,19.701921,20.514061,358.559034,-0.752895,-0.399692,1.049852,-0.021123,0.726093,-0.125401,0.084774,-0.274531,0.013412,-0.157314,-0.007163,-0.110124,-0.035804,1002.424396,-564.693333,566.592,-320.106667
1438380300,0.665413,0.038321,0.605096,-0.199209,0.25873,-0.00117,0.000157,0.001832,370.884766,35.769131,-40.450024,366.928823,-4.313281,-0.160679,1.552257,-0.155482,0.590218,-0.194965,0.144588,-0.254926,-0.025843,-0.321184,-0.087141,-0.151411,-0.039747,1069.035809,-244.106667,892.604444,320.408889
1438380381,0.665574,0.046296,0.620772,-0.215531,0.301463,-0.002708,0.002864,0.000442,371.887991,35.481003,-40.137957,368.003906,1.114608,0.021493,1.611572,-0.115313,0.642134,-0.230575,0.105067,-0.187399,0.00678,-0.268603,-0.043868,-0.10152,0.002036,1046.604054,-202.936471,962.108235,333.289412
1438380409,0.141041,0.019276,0.088365,-0.00843,0.183959,-0.014672,-0.001398,0.006162,369.131106,35.796515,-29.178715,366.213963,-3.665021,-0.112291,1.561523,-0.142424,0.488916,-0.2505,0.057304,-0.358028,-0.122866,-0.326782,-0.102078,-0.103576,0.046953,989.671594,-963.334737,-152.707368,-89.296842
1438380493,0.073514,0.022606,0.016998,0.01388,0.047194,0.000578,0.006726,-0.006345,361.733423,33.897564,-24.433805,359.287096,-3.984913,-0.250244,1.595705,-0.050323,0.611166,-0.215175,0.048429,-0.292253,-0.046392,-0.262214,-0.063879,-0.148096,-0.012266,1019.180826,99.946667,693.777778,-438.08
1438380541,0.031139,-0.022704,0.014687,0.014801,0.001786,0.000155,-0.00019,-0.000317,362.196759,34.970768,-25.737791,359.583075,2.564646,-0.226584,1.594234,-0.021878,0.540501,-0.22508,0.067106,-0.256967,-0.007591,-0.247667,-0.075273,-0.187757,-0.019183,1004.790083,-743.191579,592.151579,-29.456842
1438380617,0.032387,-0.022699,0.016005,0.015844,0.007063,-0.001343,-0.00051,0.000514,362.760113,35.175074,-25.254244,360.164896,0.566499,-0.588446,0.968713,0.108475,0.539658,-0.209016,0.153126,-0.283891,-0.03019,-0.215393,-0.086423,-0.136537,-0.054402,985.386727,-963.013333,-15.36,-176.933333
1438380660,0.032321,-0.022119,0.014756,0.015163,0.003149,0.000997,-6e-06,-0.000687,362.896956,35.470205,-25.072695,360.286345,2.604395,-0.980303,0.266455,0.117971,0.544621,-0.043296,0.158583,-0.343961,-0.086133,-0.290193,-0.144766,-0.106193,-0.138999,1003.557344,-189.884444,702.488889,-681.422222
1438380709,0.031346,-0.021955,0.014963,0.014764,0.002584,0.000228,0.000412,0.000103,362.364468,35.435696,-25.246813,359.741283,-0.446007,-0.829267,0.774282,0.097298,0.512218,-0.12327,0.178452,-0.273508,-0.031004,-0.263785,-0.085831,-0.087196,-0.067288,1004.332063,-190.174118,734.738824,-647.077647
1438380788,0.031031,-0.021429,0.015277,0.014767,0.004008,-0.000421,-0.000613,-1e-05,362.092863,35.005066,-25.281937,359.507483,1.363754,-0.552604,1.25309,0.06093,0.539065,-0.191318,0.132975,-0.254141,-0.008702,-0.257729,-0.0651,-0.150777,-0.072177,1006.548967,-524.657778,611.928889,-317.884444
1438380845,0.036807,-0.022314,0.014082,0.016764,0.021694,0.000338,0.000383,0.003667,362.899336,35.958206,-26.490736,360.136183,2.202865,-0.188705,1.632062,-0.101139,0.519045,-0.270167,0.076486,-0.293164,-0.046762,-0.236951,-0.059849,-0.123264,0.009931,1002.03503,-595.708235,485.421176,-234.88
1438380900,0.031596,-0.022326,0.015621,0.015292,0.00273,-5.9e-05,-0.000487,3e-05,361.720742,35.183331,-25.10718,359.127415,-1.527361,-0.063153,1.506202,-0.111958,0.480242,-0.309106,0.036809,-0.28697,0.006538,-0.202551,-0.058943,-0.208395,-0.052034,1007.869456,-961.768421,191.629474,-113.381053
1438380960,0.031701,-0.022548,0.015459,0.015439,0.002163,-0.000181,0.000136,0.000201,361.983289,35.216146,-24.916128,359.40192,-0.259053,-0.315248,1.337045,-0.034363,0.524393,-0.29054,0.162717,-0.261168,-0.034673,-0.255758,-0.107123,-0.195567,-0.049811,1009.705624,-216.746667,680.725333,-657.792
1438381021,0.18142,0.049389,0.134699,-0.017977,0.12305,-0.031267,0.002486,-0.008288,360.327176,29.928583,-23.923756,358.220362,-5.036851,-0.146224,1.396223,-0.168845,0.498173,-0.369887,0.052769,-0.163903,0.050635,-0.223328,-0.060031,-0.191931,-0.049947,994.18926,-872.564706,5.891765,-165.007059
1438381080,0.563091,0.031066,0.51716,-0.16294,0.166183,0.030821,-0.003007,-0.011728,369.237625,33.719082,-41.594852,365.278934,-0.549587,0.076656,1.708322,-0.061455,0.60296,-0.285035,-0.037259,-0.367334,-0.122898,-0.323352,-0.083094,-0.13836,0.012071,1043.408563,-489.048889,777.048889,428.8
1438381139,0.087329,0.041081,0.03194,0.012354,0.002319,-0.000199,-0.00011,0.000103,358.92057,32.061054,-21.189011,356.855541,-1.127635,-0.08311,1.43308,-0.164052,0.463344,-0.417018,-0.030144,-0.236134,0.058094,-0.111665,0.022581,-0.175843,-0.07257,1065.100778,606.804211,449.515789,356.530526
