,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1443643417,1.013649,0.073623,-0.028983,-1.010512,0.027676,0.000648,5.7e-05,-0.010861,663.020233,-93.488928,-68.781782,-652.772855,-5.266147,1.862414,-2.125472,-0.566013,-1.701678,-1.083876,-1.681476,-0.99988,-0.983253,-0.638489,-0.841018,-0.519216,-0.764045,1004.269449,-65.536,-238.496,-947.632
1443643478,1.01422,0.015967,0.01514,-1.013934,0.018552,-0.000636,1.3e-05,0.007677,678.311762,-122.279517,61.300716,-663.734619,-10.509914,1.195584,-1.389099,-0.777355,-1.981329,-0.90433,-1.521414,-0.851123,-1.485208,-0.763561,-0.882882,-0.760006,-0.614614,995.19875,-4.848,-28.72,-994.704
1443643538,1.012589,0.016364,0.016958,-1.012299,0.009288,-7.6e-05,0.000946,-0.000379,674.890913,-106.893567,55.953161,-664.016563,-8.549757,1.460334,-1.836853,-0.626715,-2.277833,-0.957385,-1.422578,-1.138602,-1.30943,-0.487367,-0.839365,-0.624588,-0.608918,995.493506,-5.312,-26.176,-995.072
1443643591,1.011516,0.016528,0.016428,-1.011223,0.011296,9.2e-05,-0.002843,-0.000824,677.024171,-109.010566,51.690018,-666.147059,-7.901816,1.265309,-1.840269,-0.358922,-2.068231,-1.169155,-1.63234,-1.122361,-1.094991,-0.469445,-0.789335,-0.561605,-0.768193,996.386235,-3.104,-25.536,-995.984
1443643651,1.010592,0.015122,0.009731,-1.010418,0.009724,-0.000222,0.001935,6.5e-05,675.707058,-164.229294,-28.446647,-654.825805,-8.127749,1.306218,-2.034502,-0.139981,-1.742265,-1.533419,-1.856919,-1.165927,-0.892053,-0.402723,-0.915738,-0.729724,-0.718819,996.475073,-5.264,-32.288,-995.872
1443643711,1.009206,0.015721,0.008602,-1.00903,0.009349,0.000276,-0.000365,0.000325,675.880196,-163.869331,-28.578861,-655.088924,-9.255581,1.222978,-1.937637,-0.472161,-1.922568,-1.141739,-1.668756,-1.217269,-0.953505,-0.585853,-0.904863,-0.570346,-0.83937,1000.642729,81.376,-260.496,-859.68
1443643771,1.008897,0.016171,0.009984,-1.008707,0.008502,0.000495,0.000886,-9.1e-05,676.021599,-163.975203,-28.680929,-655.204122,-5.909147,0.541667,-1.946248,-0.535746,-1.931744,-1.207638,-1.869259,-1.091506,-0.894403,-0.579207,-0.858932,-0.552704,-0.789905,995.807661,-7.056,-28.656,-994.896
1443643831,1.008733,0.017242,0.010333,-1.008525,0.00869,0.000534,0.000395,0.000312,674.515101,-164.255654,-28.306681,-653.59538,-8.027938,0.669692,-1.649286,-0.470519,-1.899767,-1.455709,-2.015113,-0.674182,-0.861825,-0.67002,-0.862826,-0.529765,-0.665908,996.235285,-5.52,-25.92,-995.824
1443643891,1.009185,0.016782,0.010974,-1.008354,0.032106,2.2e-05,0.000142,0.00048,669.027418,-150.168684,-25.15379,-651.039952,-10.746426,-0.273414,-1.449454,-0.613569,-1.779964,-1.256149,-1.901453,-0.967367,-0.929544,-0.438998,-0.828471,-0.630123,-0.825257,995.361771,-8.064,-25.488,-994.352
1443643951,1.008068,0.018277,0.012908,-1.00779,0.009383,0.000295,-0.001267,2.2e-05,648.023101,-106.492983,-15.498732,-639.023029,-7.566588,0.077422,-1.320693,-0.86391,-1.826299,-1.03135,-1.615033,-0.898777,-1.000315,-0.590932,-1.004304,-0.70328,-0.767083,995.260674,-6.864,-20.736,-994.944
