,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1440522618,0.993844,-0.015859,0.006879,-0.993685,0.003779,0.000536,-0.000798,-0.001758,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-17.850375,1.754082,-0.999212,-0.179398,-1.517621,-1.229949,-2.005749,-1.278587,-1.147803,-0.825059,-0.563635,-0.429259,-0.727231,1040.0801336,38.68373329999999,568.2821332999999,-308.8928
1440522679,0.994931,-0.014047,0.004662,-0.99481,0.002981,0.000147,-0.000441,1.5e-05,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-4.696052,1.863179,-1.042703,-0.517681,-1.689048,-1.042722,-1.695079,-1.233396,-1.14254,-0.932491,-0.751647,-0.425451,-0.64651,1047.102648,-401.62559999999996,728.1488000000002,-134.59359999999998
1440522739,0.99485,-0.010862,0.003739,-0.994758,0.003781,0.00015,-4.5e-05,-0.001571,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-6.777924,0.980154,-1.204841,-0.317637,-2.32067,-1.051698,-0.862044,-0.793691,-1.041675,-0.803417,-1.176492,-0.749322,-0.753949,1049.5528558,-217.7328,642.336,-385.8752
1440522799,0.99514,-0.014232,0.003104,-0.995021,0.003011,-4.9e-05,0.000106,-1.9e-05,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-5.262796,1.71709,-1.490761,-0.412974,-2.01213,-0.990874,-1.471478,-1.118154,-1.068179,-0.978575,-0.944914,-0.505053,-0.693469,1047.102648,-401.62559999999996,728.1488000000002,-134.5936
1440522859,0.996871,-0.011591,0.002362,-0.995104,0.171374,0.000112,6.7e-05,-0.000393,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-6.158987,0.740155,-1.838134,-0.325981,-1.484781,-1.002158,-1.544534,-0.874731,-0.817134,-1.068463,-1.097643,-0.613465,-0.70513,1048.5844381000002,-314.14880000000005,634.4752,-338.49120000000005
1440522921,0.993799,-0.014977,0.008545,-0.993523,0.017365,-0.00038,0.00017,0.01404,467.075278,-34.227924,-0.549302,-465.794263,-5.032682,1.582599,-1.037672,-0.335651,-1.634829,-0.987305,-1.401131,-0.998933,-1.144585,-0.982471,-0.960221,-0.513756,-0.581539,1006.0110055000001,665.9311999999999,159.3664,-21.47360000000001
1440522979,0.994611,-0.007218,0.008392,-0.994534,0.00264,8e-05,0.000123,1.5e-05,466.673441,-31.767299,-3.324491,-465.577812,-6.799081,0.890832,-1.218558,-0.20719,-1.977156,-1.094095,-1.244646,-0.982932,-0.996414,-0.923332,-1.081746,-0.639597,-0.629712,1023.8434385000003,318.584,310.9456,29.883199999999988
1440523039,0.995226,-0.005999,0.006653,-0.995172,0.002385,0.000245,-9e-05,-3.4e-05,467.59415,-31.735973,-3.586412,-466.500545,-7.606513,1.588518,-1.205136,-0.339867,-1.807773,-1.162571,-1.698866,-1.147951,-0.987222,-0.906574,-0.863862,-0.375607,-0.709922,1023.9405626,318.69120000000004,310.976,30.001599999999996
1440523099,0.992508,0.126029,-0.223147,-0.934677,0.407059,0.0207,0.013722,0.005747,464.143691,-25.698078,-19.967152,-462.867606,-15.905981,1.640435,-1.123352,-0.606874,-1.723165,-0.946421,-1.628552,-1.112991,-1.04003,-0.872584,-0.945346,-0.506139,-0.733284,1029.7196485999998,173.996,345.9176,-78.81359999999998
1440523159,0.994431,-0.01259,0.005503,-0.994328,0.003245,0.000218,-0.000654,3.1e-05,467.879342,-35.174669,2.90005,-466.54494,-11.652208,1.219147,-1.537897,-0.275751,-1.706446,-0.935559,-1.533059,-1.044374,-1.260155,-1.176004,-0.894377,-0.406062,-0.68994,1032.3975478999998,18.2464,400.8464,-73.45280000000001
1440523219,0.994616,-0.006801,0.005717,-0.994565,0.002484,9.1e-05,-9e-06,-6.3e-05,467.731712,-34.857275,2.985979,-466.420252,-8.867443,-0.657578,-0.974139,-0.345503,-1.950344,-1.005317,-1.338364,-1.020079,-1.041934,-0.858762,-1.043018,-0.552106,-0.688577,1024.545494,-29.024,-303.456,-772.272
1440523279,0.994426,-0.00419,-0.006196,-0.994381,0.003041,0.000231,-0.000266,0.000254,506.23212,-110.387188,21.521916,-493.580098,-12.782253,0.803688,-2.140352,-0.543635,-1.473375,-0.841569,-1.498792,-0.965571,-0.679651,-0.960274,-1.358492,-0.714897,-0.68139,1024.242511,-21.488,-1.824,-1022.496
1440523339,0.99405,-0.00708,-0.004614,-0.993996,0.003615,-4.4e-05,-9e-06,-6e-05,506.251696,-110.168993,21.613067,-493.644884,-14.347907,1.003674,-2.122271,-0.449447,-1.873186,-0.757346,-1.276168,-1.012209,-0.603476,-0.834056,-1.214807,-0.773039,-0.965372,1023.733888,-13.216,-78.32,-987.632
1440523399,0.994029,-0.007076,-0.004375,-0.993975,0.003433,-4.3e-05,0.000164,1.2e-05,506.315116,-110.049127,21.580653,-493.738134,-13.49028,0.829366,-2.224081,-0.485904,-1.984673,-0.940584,-1.250776,-0.86899,-0.584543,-0.675468,-1.018173,-0.723323,-1.059851,1021.013762,-20.448,2.784,-1020.688
1440523459,0.994145,-0.006386,-0.004406,-0.994108,0.001908,7e-06,0.000251,-6.3e-05,506.187727,-109.942314,21.628295,-493.629165,-15.321781,0.561476,-1.761637,-0.250499,-1.728101,-0.830213,-1.238512,-0.898659,-0.820547,-0.911753,-1.149671,-0.73195,-0.919854,1020.8336018,-332.9928,143.3464,-567.9687999999999
1440523519,0.99443,-0.000478,-0.006589,-0.994393,0.00263,-8.2e-05,-0.000189,3.7e-05,506.296529,-109.65494,21.642,-493.803982,-8.878842,0.514142,-1.687181,-0.482532,-1.816978,-0.86253,-1.152012,-0.870514,-0.889718,-0.767105,-1.223302,-0.758004,-0.80004,1035.070104,341.616,838.24,-293.728
1440523579,0.994415,-0.00283,-0.005781,-0.994384,0.002347,0.000116,-5.4e-05,1.7e-05,494.364021,-106.983517,30.924103,-481.656375,-13.518025,0.533134,-2.216006,-0.272517,-1.890297,-1.199045,-1.271864,-0.789887,-0.816973,-0.807756,-1.157748,-0.757768,-0.847768,1048.54998,248.064,674.496,716.384
1440523639,1.004616,0.039737,-0.20785,-0.928345,0.99366,0.052574,-0.050746,-0.031802,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-17.00646,0.30671,-1.762661,-0.961159,-1.807702,-0.694701,-1.087959,-0.769518,-0.867932,-0.812719,-0.87874,-0.398022,-0.574963,1060.718275,755.248,569.104,-50.048
1440523699,1.008205,-0.292507,0.050787,-0.714263,0.832003,-0.012808,-0.022129,0.08295,462.4316859701533,-75.23748102442002,-61.61856367250033,-442.0794639567223,-12.799959,0.632234,-2.077252,-0.294128,-1.495365,-0.377026,-0.861445,-0.918612,-0.661024,-0.958471,-0.672353,-0.40222,-0.810773,1055.834741,302.832,825.776,-9.136
