,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1441818360,0.990793,-0.004346,-0.066232,-0.988557,0.006418,-0.000169,-0.000104,-2.8e-05,520.024164,-9.942421,-34.423727,-518.7871,-11.705666,1.559017,-1.277363,-0.436999,-1.543403,-1.024934,-1.59712,-1.006569,-1.2405,-1.06634,-0.812501,-0.374332,-0.672186,1021.014346,-18.736,14.352,-1020.592
1441818421,0.991298,-0.003838,-0.065909,-0.989088,0.003847,2e-06,-0.000169,-0.000186,520.12114,-9.718253,-34.531773,-518.881489,-4.398498,1.31458,-1.197879,-0.59953,-1.667133,-1.037725,-1.527056,-0.971666,-1.093665,-0.952827,-0.882785,-0.59453,-0.641554,1017.764077,-19.28,11.344,-1017.376
1441818481,0.991737,-0.004044,-0.065836,-0.989528,0.006216,-7.5e-05,0.000319,7.9e-05,520.046911,-9.65146,-34.538758,-518.807911,-4.128238,1.09103,-0.705803,-0.283026,-1.6654,-1.23939,-1.80295,-1.052261,-0.986922,-0.91502,-0.876495,-0.444801,-0.564552,1018.750162,-17.472,13.28,-1018.4
1441818541,0.998834,-0.027099,-0.040769,-0.967686,0.31621,0.016826,-0.053142,-0.11114,882.69037,-322.687118,-422.656669,-669.767073,-15.577903,1.07731,-1.388059,-0.279583,-1.772477,-1.243537,-1.587459,-0.773703,-0.993754,-1.048715,-1.014651,-0.552477,-0.706707,1015.705696,-64.304,-189.328,-911.2
1441818601,0.995051,0.000352,-0.014799,-0.994938,0.002145,-0.000265,-0.000417,4.8e-05,990.840781,-226.68015,-633.089951,-727.720783,-10.8349,1.900008,-1.344605,-0.001613,-1.840165,-1.203,-1.919699,-1.042807,-0.958872,-0.796509,-0.562759,-0.697816,-0.876613,1008.081271,32.32,-238.72,-976.96
1441818661,0.995845,0.002129,-0.014474,-0.995733,0.002379,-0.000158,3.9e-05,-3.3e-05,990.9296,-226.479555,-633.292294,-727.728142,-8.008756,1.64811,-1.298927,0.055597,-1.90609,-1.238189,-1.74919,-1.09868,-0.840173,-0.94258,-0.735463,-0.609728,-0.855525,1020.315089,-11.008,2.064,-1020.112
1441818721,0.98782,0.082013,-0.560565,-0.800294,0.166592,-0.006823,-0.005291,0.001816,548.827658,-54.025684,-76.571328,-540.705675,-12.074924,2.269261,-0.837289,-0.921263,-1.726813,-0.761748,-2.008123,-0.850571,-0.896602,-0.950921,-1.008147,-0.625529,-0.653146,1021.758389,-10.784,0.832,-1021.568
1441818781,0.995719,-0.000975,0.015866,-0.995555,0.010762,-0.000315,-0.001008,-0.007492,630.287606,-66.826643,-60.140893,-623.836771,-10.508856,1.411857,-1.873686,-0.264859,-2.239531,-1.133908,-1.514897,-1.053625,-0.901362,-0.874485,-0.985521,-0.644413,-0.750818,1022.726482,48.816,-114.224,-981.28
1441818841,0.996157,0.000292,0.014614,-0.996042,0.002479,1.5e-05,-0.000122,0.000264,618.287026,-74.906529,-71.864664,-609.509792,-7.968761,1.692238,-1.63383,-0.184986,-1.971033,-1.151767,-1.784996,-1.146084,-0.732642,-0.777549,-0.841506,-0.571902,-0.809265,1029.644837,-431.232,-91.568,-88.72
1441818901,0.996499,0.001612,0.000509,-0.996481,0.004151,-0.000285,-0.000279,0.000283,593.75583,-65.102052,-68.08283,-586.234883,-8.40349,0.949638,-1.487816,-0.035383,-2.091533,-1.343293,-1.641621,-1.188949,-1.013939,-0.976104,-0.936396,-0.549146,-0.719488,1013.405977,-967.072,247.104,-103.152
