,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1447711745,1.002926,-0.012599,0.008721,-1.002785,0.014652,0.000354,-0.000583,-7.6e-05,559.366342,141.874472,-122.257733,-527.080824,-5.207008,1.664354,-1.287799,-0.212479,-1.822297,-0.947348,-1.866766,-1.064781,-1.11016,-0.930527,-0.941463,-0.83973,-0.924042,1033.9430381999998,210.5568,422.62879999999996,-131.08
1447711806,1.003165,-0.010525,0.009783,-1.003055,0.00405,2.1e-05,-3.3e-05,0.000139,559.288223,141.987186,-122.199544,-526.981118,-7.677404,1.951619,-0.847376,-0.239718,-1.824262,-1.126243,-1.880521,-0.900278,-1.103362,-1.08459,-0.94492,-0.711802,-1.02221,1020.509926,-8.768,12.624,-1017.792
1447711866,1.003099,-0.009978,0.009664,-1.002986,0.005359,8.5e-05,1.7e-05,-0.000471,559.235167,141.931792,-122.276064,-526.922041,-6.868509,1.088505,-0.770811,-0.170111,-1.621778,-0.967119,-1.815268,-0.905227,-1.217448,-1.087942,-1.039202,-0.757005,-0.873637,1022.459705,-7.504,13.392,-1022.272
1447711932,1.00223,-0.004733,0.001947,-1.002209,0.003433,-0.000613,-0.000564,0.000411,562.907964,111.218159,-60.035636,-548.534736,-11.202429,1.347297,-0.934289,-0.303293,-1.72691,-0.918733,-1.54888,-0.859629,-0.851643,-0.987922,-0.878108,-0.539972,-0.79324,1042.429784,-355.52,469.552,-55.184
1447711993,1.002499,-0.006279,-0.000445,-1.002466,0.003401,-0.000206,-0.000118,0.000434,573.924899,115.627301,-55.507737,-559.408441,-9.862341,1.66566,-0.747907,-0.174793,-2.158133,-1.24377,-1.351944,-0.897053,-0.850152,-0.778506,-0.802944,-0.649796,-0.950566,1032.890909,-154.96,379.813333,-945.6
1447712053,1.002517,-0.006008,-0.002735,-1.002485,0.003488,0.000174,9.2e-05,0.000709,572.844596,115.15762,-55.793355,-558.368687,-9.488574,1.675279,-0.734967,0.000286,-1.996019,-1.184495,-1.651305,-0.819726,-0.586302,-0.87648,-0.988098,-0.541219,-0.916239,1012.771346,-958.448,255.408,-196.688
1447712113,1.002608,-0.005138,-0.000612,-1.002587,0.003343,0.000175,4e-05,-0.000422,572.626779,115.219432,-55.44699,-558.166996,-8.171542,1.875499,-1.096823,-0.373481,-2.011996,-1.030851,-1.691435,-0.992166,-0.620366,-0.74425,-0.719965,-0.374522,-1.150013,1024.311431,-525.12,416.0,-506.704
1447712173,1.001652,-0.008946,-0.083255,-0.97286,0.305843,6.6e-05,0.007663,0.00871,572.688644,122.734756,-65.140525,-555.213131,-14.647705,1.885083,-0.709972,-0.28743,-1.850049,-1.110682,-1.609234,-0.818815,-0.934046,-0.933106,-0.871341,-0.602044,-0.654147,1036.521437,-163.808,672.128,-602.48
1447712233,1.002365,-0.008372,-0.008377,-1.002293,0.002423,-0.000258,5.3e-05,7.4e-05,572.999292,128.145284,-58.753979,-555.386211,-3.642642,2.086789,-0.505336,0.183105,-1.656927,-1.091019,-1.397787,-0.845858,-1.277694,-1.233211,-1.043218,-0.510767,-0.510257,1033.975575,-30.128,678.016,-779.888
1447712293,1.002438,-0.004608,-0.004826,-1.002409,0.003306,0.00017,-2.4e-05,0.000897,573.566377,128.276393,-58.377773,-555.980505,-9.455462,1.986903,-0.83278,-0.41694,-1.585312,-1.201188,-2.041206,-0.912382,-0.856841,-0.686368,-0.843246,-0.787634,-0.514576,1036.593508,-39.904,657.84,-793.632
1447712353,1.002652,-0.003634,-0.001619,-1.002633,0.003217,-0.000113,-0.000251,-0.000599,574.517896,126.472526,-56.43216,-557.574977,-12.696973,1.139303,-1.104598,-0.685217,-1.367247,-1.189201,-2.011178,-0.833373,-0.495559,-0.761595,-0.949864,-0.5572,-0.831412,1030.075486,-129.936,408.72,-789.936
1447712413,1.002761,-0.003906,-0.001821,-1.002742,0.00319,1.4e-05,-0.000133,0.000225,573.129718,126.746081,-55.49708,-556.17059,-14.822627,1.559848,-0.866037,-0.242568,-1.976242,-1.115243,-1.499984,-0.875015,-0.820917,-0.740707,-0.93735,-0.672946,-0.659867,1028.232955,-10.592,228.896,-997.968
1447712473,1.002696,-0.002471,-0.002899,-1.00268,0.003343,-6.2e-05,-0.000105,0.0002,573.277879,125.648661,-57.48511,-556.376012,-11.47852,1.606993,-0.996481,-0.275832,-2.169737,-1.087612,-1.53255,-0.963747,-0.976907,-1.025099,-0.977913,-0.619466,-0.612339,1032.451432,-625.392,636.784,-59.568
1447712533,1.002682,-0.003752,-0.003735,-1.002652,0.003649,6.3e-05,0.000125,-0.000532,573.303461,125.597758,-57.594241,-556.402544,-8.070266,1.999698,-1.442108,-0.72005,-2.055173,-0.880992,-1.315561,-1.039845,-0.876569,-0.746741,-0.985998,-0.75144,-0.867926,1041.892598,-629.76,398.64,-627.072
1447712593,1.002415,-0.008984,-0.00216,-1.001579,0.05901,0.004875,-0.001057,0.011402,574.691745,125.193309,-63.293174,-557.273785,-14.306351,1.37663,-2.115098,-0.925624,-2.244986,-0.868673,-1.206671,-0.874529,-0.703332,-0.855764,-1.04113,-0.792445,-0.883275,1030.9716677000001,-326.8048,473.22453329999996,-629.9536
1447712653,1.00252,-0.00778,-0.001902,-1.002471,0.002728,-0.000358,-0.000143,-0.000588,574.005324,122.816886,-77.111757,-555.383104,-11.435914,1.230252,-1.802217,-0.678215,-2.103415,-0.928847,-1.350065,-0.754873,-0.853794,-0.849467,-1.097595,-0.868174,-0.896366,1030.9716677000001,-326.8048,473.22453329999996,-629.9536
1447712713,1.001352,0.110716,-0.489546,-0.839989,0.450012,-0.006881,0.018246,0.007983,531.950837,110.509361,-101.578564,-510.198466,-9.21606,0.879897,-1.558141,-0.83796,-2.04606,-1.025281,-1.553415,-0.8016,-0.817915,-0.60669,-0.785377,-0.486241,-0.581559,1046.4455601,-79.6926857,640.5595429000001,-205.3254857
