,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1439323637,0.986181,0.093249,-0.111526,-0.975361,0.046653,-3.4e-05,-0.000361,-4e-06,492.698329,23.820362,-25.777704,-491.445418,-6.756661,1.523692,-1.729882,-0.617833,-2.188408,-1.23703,-1.78518,-0.794226,-0.814776,-1.087344,-1.119778,-0.493205,-0.624094,1012.9879862,602.6176,-53.360800000000005,-203.94320000000002
1439323697,0.987103,0.090846,-0.109616,-0.976765,0.022302,-0.000168,0.000294,0.001194,492.41527,24.669234,-26.224436,-491.09593,-9.341418,0.832128,-1.224745,-0.782339,-1.889154,-1.295383,-1.694574,-0.876451,-0.932137,-1.111467,-1.059472,-0.402478,-0.636682,1016.1973102,500.83360000000005,26.674400000000002,-219.08559999999997
1439323757,0.987408,0.092801,-0.100532,-0.977869,0.009952,7.5e-05,-2.2e-05,-8e-06,492.1093,25.107749,-25.84802,-490.787086,-9.825742,1.496556,-1.812421,-0.314374,-2.035858,-1.417235,-1.610976,-0.852261,-1.049176,-1.03217,-1.147275,-0.471216,-0.513412,1016.1973102,500.8336000000001,26.67439999999999,-219.08560000000003
1439323817,0.987535,0.088122,-0.101632,-0.978291,0.014273,-1e-06,-0.000686,-4.8e-05,516.388437,13.050235,-68.572064,-500.025346,-10.956084,0.188647,-1.480192,-0.569544,-2.118856,-1.319944,-1.679204,-1.142267,-0.959103,-0.830728,-0.985735,-0.437147,-0.599776,1012.9475596,170.8634667,403.4730667,-266.2261333
1439323877,0.982833,-0.022822,-0.348469,-0.912918,0.154681,0.003482,0.003945,-0.005862,524.787202,-27.016767,-72.312477,-518.998057,-10.768342,2.26438,-1.626171,-0.747735,-1.80676,-1.262824,-1.969621,-0.839429,-0.945491,-1.038593,-1.03293,-0.633286,-0.491522,992.663264,-5.424,-19.808,-992.368
1439323937,0.990342,0.000199,0.004529,-0.99031,0.003644,0.000162,-2e-06,-0.001367,578.515298,-83.402012,-104.826962,-562.785502,-7.661118,1.21263,-1.922503,-0.134437,-2.18457,-1.312245,-1.745284,-1.18747,-0.702101,-0.667769,-0.56476,-0.56985,-1.102771,992.336032,-3.728,-17.92,-992.096
1439323997,0.990689,-0.000757,0.005343,-0.990661,0.002281,-5.7e-05,-3.1e-05,2.1e-05,579.220998,-77.14756,-105.762614,-564.232563,-6.705815,-0.101602,-1.572754,-0.215561,-1.867597,-1.143881,-1.621037,-1.16381,-0.94625,-0.677362,-0.643397,-0.55336,-0.824042,991.599605,-2.8,-15.488,-991.408
1439324057,0.990639,-0.000279,0.005677,-0.990616,0.002209,1.5e-05,3.6e-05,-6.5e-05,579.924546,-76.975559,-105.936649,-564.945509,-5.361541,0.20665,-1.415396,-0.20162,-1.78107,-1.069048,-1.61011,-1.28697,-0.885423,-0.770348,-0.711683,-0.679298,-0.94043,994.35333,-3.04,-18.56,-994.112
1439324117,0.990691,0.000809,0.002933,-0.990675,0.002272,0.000258,5.9e-05,-5.9e-05,579.67823,-76.76034,-105.048899,-564.887507,-11.376825,0.479336,-1.771181,-0.294428,-2.141347,-1.742316,-1.460396,-0.82028,-0.837742,-1.015851,-0.942258,-0.599043,-0.770321,1001.163889,46.016,11.184,-969.168
1439324177,0.990659,0.00115,0.001922,-0.990646,0.003062,-0.000191,-0.000289,-5.5e-05,579.512721,-76.7097,-104.971111,-564.73933,-7.36198,0.792351,-1.128679,-0.14679,-2.174006,-1.649938,-1.675753,-1.012582,-0.917157,-0.851142,-1.234569,-0.672371,-0.712918,993.78981,41.450667,-29.525333,-974.869333
1439324237,0.990377,-0.001581,0.004464,-0.990359,0.001981,7.9e-05,0.000175,-2.1e-05,578.075559,-77.928984,-103.164849,-563.430711,-8.157786,0.431843,-1.357234,-0.383806,-1.956093,-1.376147,-1.68473,-1.079254,-0.53495,-0.804772,-1.163386,-0.737411,-0.734216,1066.8925,104.943158,-260.042105,-923.216842
1439324297,0.990186,0.000225,0.000834,-0.990176,0.003869,0.000113,0.000394,-0.000189,578.372267,-77.02096,-103.478638,-563.802426,-14.063333,1.103082,-1.406023,-0.254567,-1.992548,-1.581934,-1.537551,-1.028247,-0.931111,-0.86929,-0.848404,-0.681012,-0.780722,993.937513,-1.584,-25.184,-993.552
1439324357,0.989787,0.001379,0.003952,-0.989767,0.002628,0.000163,-8.8e-05,0.000129,590.654123,-97.654063,-98.350346,-572.737134,-14.665882,0.851275,-1.586769,-0.287693,-2.147154,-1.38931,-1.520577,-0.937699,-0.944464,-0.783581,-1.092459,-0.69741,-0.805519,994.10013,5.888,-22.224,-993.04
1439324417,0.990479,0.000614,0.005013,-0.990451,0.002275,1.7e-05,6.3e-05,4.1e-05,612.297953,-144.10321,-99.412789,-586.735928,-8.410658,-0.25619,-1.17934,-0.430852,-2.096978,-1.407751,-1.403121,-0.884742,-0.988143,-0.940537,-0.965064,-0.735161,-0.628884,993.995163,5.264,-18.688,-993.712
1439324477,0.990255,-0.002653,0.004079,-0.990237,0.004968,-0.000155,-1.4e-05,-0.00229,612.683151,-141.455097,-94.513906,-588.583072,-12.890219,-0.178476,-1.43921,-0.358848,-1.995862,-1.231258,-1.643314,-1.06037,-0.807077,-0.921472,-0.907505,-0.728316,-0.677478,993.31497,8.08,46.736,-955.584
1439324537,0.994431,0.016239,-0.03914,-0.94445,0.432428,-0.007735,0.001984,0.008135,543.298594,-23.500575,-48.63132,-539.384174,-12.583255,-0.203986,-1.63814,-0.551874,-2.021143,-1.146565,-1.417879,-0.872132,-0.906654,-0.873633,-0.901678,-0.549454,-0.629198,1025.843583,-245.888,742.144,-106.464
1439324597,1.006099,-0.189479,-0.013626,-0.450388,1.467167,-0.003775,-0.041641,0.089872,471.171129,-4.151147,-62.797737,-465.408851,-11.149986,-2.54826,-0.696124,-1.299839,-1.407793,-0.693405,-0.804835,-0.930608,-0.914043,-0.268941,-0.818901,-0.334782,-0.59778,1045.199687,-300.032,862.912,232.256
1439324657,0.994487,0.024695,-0.403949,-0.885716,0.756347,0.000221,0.073935,0.153343,470.3840912140788,-1.0972975305827,-52.495516060622506,-463.5205966208831,-13.569256,-2.27958,-0.279222,-1.436494,-1.284163,-1.196871,-1.157959,-0.58023,-0.867053,-0.898308,-0.66067,-0.464314,-0.49969,1035.875992,-234.656,972.496,81.056
1439324717,0.983524,0.110786,-0.516092,-0.827971,0.11978,-0.000395,-0.00043,-0.000378,471.050496,-6.278019,-85.469189,-463.184487,-14.320338,-0.319848,0.376165,-0.824891,-1.497398,-0.951174,-1.201628,-0.794307,-0.866547,-0.709008,-0.699824,-0.590416,-0.59543,1026.024469,-521.072,875.888,113.472
1439324777,1.01366,-0.028786,1.011492,-0.042571,0.010425,0.003221,0.000499,-0.002285,454.642107,-21.715522,-23.596785,-453.505713,-8.740382,-0.414239,-0.333288,-0.962644,-1.295476,-1.41232,-1.52022,-1.087895,-0.894339,-0.791115,-0.766411,-0.626194,-0.452074,1005.080698,68.912,265.28,-778.976
1439324837,1.013779,-0.066089,1.009588,-0.034226,0.102307,0.001697,-0.006305,-0.000161,455.069012,-23.535281,-25.235386,-453.753171,-8.499963,-0.80811,-0.924131,-1.044908,-1.55086,-1.349965,-1.48495,-1.075701,-0.947251,-0.830315,-0.726498,-0.71052,-0.358669,1086.961266,-325.12,222.432,285.488
1439324897,1.018066,-0.103737,0.989947,-0.108,0.243803,-0.032012,0.004478,0.065387,459.335496,-22.729191,-25.672009,-458.014981,-17.670739,-2.669979,-0.433018,-1.18535,-1.275326,-1.428888,-1.426693,-1.00054,-0.907008,-0.652743,-0.689844,-0.604952,-0.435295,1024.060316,-63.584,433.504,-6.752
1439324957,1.014076,-9.3e-05,1.012173,-0.061544,0.012583,-0.000249,0.000322,-0.000333,457.831862,-20.911178,-23.255528,-456.761183,-3.58056,-1.299956,-0.164644,-1.111221,-1.147254,-1.213042,-1.317042,-1.039554,-0.872616,-0.818334,-0.716447,-0.537031,-0.36838,1022.683756,-81.264,504.64,-146.992
1439325017,1.013345,-0.086693,1.000808,-0.124814,0.085204,-0.000407,-0.002267,-0.000351,460.093051,-24.579726,-26.817733,-458.649181,-17.343141,-0.85425,-0.184616,-0.966965,-1.368853,-1.548233,-1.401921,-0.921732,-0.924824,-0.661244,-0.64269,-0.66054,-0.468942,990.299196,198.976,80.496,-473.28
1439325077,1.013288,-0.104727,1.001208,-0.103645,0.038507,-0.003251,0.000331,0.000845,460.659639,-25.188495,-27.616927,-459.13838,-11.408671,-1.05655,-1.139717,-0.75796,-1.615812,-1.689948,-1.4097,-0.872404,-0.886328,-0.916745,-0.518565,-0.54567,-0.15946,1013.328397,829.008,521.904,-183.856
1439325137,1.014971,0.028685,1.014511,-0.00664,0.007597,0.000299,-4.8e-05,-4.2e-05,453.50845,-20.567395,-21.955327,-452.508263,-5.173519,-0.575147,-0.062831,-0.651515,-1.405514,-1.410875,-1.546144,-1.03909,-0.856468,-0.711718,-0.705045,-0.532105,-0.50479,1001.440829,-6.4,611.04,-792.224
1439325197,1.014564,-0.019183,1.012295,-0.043238,0.0199,-0.002998,0.000319,0.003356,455.088773,-22.135046,-23.505372,-453.937546,-17.232277,-1.588338,-0.058998,-0.990666,-1.270678,-1.430664,-1.493825,-0.996762,-0.934721,-0.719658,-0.694826,-0.540597,-0.454408,1017.858602,-128.144,659.696,-352.4
1439325257,1.014927,-0.081814,1.010188,-0.053691,0.005511,-2.8e-05,0.00013,-7.6e-05,459.906551,-24.603954,-26.770929,-458.46523,-6.342209,0.034426,-0.242629,-0.794525,-1.515384,-1.36539,-1.469032,-0.862377,-1.005356,-0.714719,-0.72657,-0.571274,-0.477287,1006.642123,92.0,761.84,-651.168
1439325317,1.0151,-0.058462,1.009013,-0.032934,0.06861,-0.005389,-0.004838,0.00877,457.183489,-23.444478,-25.255601,-455.871692,-10.111815,-0.670123,-2.130426,-0.955934,-1.871159,-1.997843,-1.167108,-0.603443,-0.945658,-0.925622,-0.538011,-0.691799,0.011637,1008.934375,76.096,720.96,-678.688
1439325377,1.00163,-0.037311,0.21397,-0.50044,0.310705,0.104612,-0.00414,-0.021674,466.062109,-16.118731,-60.372247,-461.012198,-21.814148,-1.698746,0.029342,-0.825878,-1.208885,-1.059881,-1.207738,-0.921531,-0.9109,-0.752772,-0.70522,-0.558968,-0.460367,1019.890567,-130.0,726.032,-246.816
1439325437,0.995163,-0.006295,0.050139,-0.597482,0.240648,0.094809,-0.018474,-0.019065,465.288369,-17.966211,-54.915664,-460.797128,-18.307671,-1.935248,0.156027,-0.820586,-1.199011,-1.03456,-1.237875,-0.838861,-0.943726,-0.752876,-0.660201,-0.540382,-0.483308,1057.640613,-245.424,330.096,-291.488
1439325497,1.012143,-0.168952,0.988645,-0.122064,0.046854,-0.002295,0.004797,0.006837,460.014417,-26.738248,-29.269811,-458.297577,-11.739166,-1.88311,-0.351225,-1.22671,-1.446304,-1.518568,-1.350572,-0.919726,-0.931657,-0.792427,-0.710649,-0.657659,-0.446748,1050.179599,56.784,740.288,437.504
1439325557,1.023654,-0.201399,0.968499,-0.20239,0.66262,-0.075664,0.372999,-0.085051,470.3840912140788,-1.0972975305827,-52.495516060622506,-463.5205966208831,-9.969605,-1.825913,-0.16331,-1.115865,-1.113551,-1.254628,-1.245533,-0.867711,-0.857507,-0.683886,-0.701153,-0.579306,-0.427501,1018.682313,516.976,375.808,-411.856
