,raw_acc:magnitude_stats:mean,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,proc_gyro:magnitude_stats:mean,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,raw_magnet:magnitude_stats:mean,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,audio_naive:mfcc0:mean,audio_naive:mfcc1:mean,audio_naive:mfcc2:mean,audio_naive:mfcc3:mean,audio_naive:mfcc4:mean,audio_naive:mfcc5:mean,audio_naive:mfcc6:mean,audio_naive:mfcc7:mean,audio_naive:mfcc8:mean,audio_naive:mfcc9:mean,audio_naive:mfcc10:mean,audio_naive:mfcc11:mean,audio_naive:mfcc12:mean,watch_acceleration:magnitude_stats:mean,watch_acceleration:3d:mean_x,watch_acceleration:3d:mean_y,watch_acceleration:3d:mean_z
1442358663,1.013855,0.030128,-0.661761,-0.761632,0.146024,0.0014,0.004507,-0.00575,354.419408,179.138636,-40.448891,-303.050823,-12.524345,-1.716287,-1.745326,0.077346,-0.695301,-1.266923,-1.150748,-0.534395,-1.226457,-0.65332,-0.761358,-0.504596,-0.417833,1009.0853979,22.025600000000004,208.712,-763.6080000000001
1442358724,1.03176,0.222828,-0.357008,-0.933902,0.214205,-0.002982,-0.001368,0.000997,321.571513,111.197043,-68.747813,-293.643573,-8.788881,-0.272926,-0.775995,-0.096181,-1.240771,-0.895623,-1.663929,-0.833987,-0.787036,-0.717121,-0.613237,-0.728556,-0.738454,1061.1050602999999,35.87085709999999,557.5577143,-476.2361143
1442358784,1.029051,0.060378,-0.186366,-1.002242,0.235652,0.008252,0.001366,9.8e-05,328.290432,94.216977,-62.609482,-307.972446,-10.116257,-0.267523,-1.450577,-0.306933,-1.878585,-1.308388,-1.609987,-0.492243,-0.613361,-0.752632,-0.456184,-0.504742,-0.453079,1006.626236,-26.992,92.032,-989.152
1442358844,1.024016,0.23676,-0.144146,-0.979907,0.205124,-0.009581,-0.010892,0.01037,329.864475,106.512266,-72.423783,-303.555978,-13.252532,-0.080039,-0.847682,0.109754,-1.275151,-1.174634,-1.560906,-0.637177,-0.65835,-0.554084,-0.531087,-0.484482,-0.674952,1001.684641,-5.968,81.168,-996.464
1442358904,1.009505,-0.160554,-0.43097,-0.892831,0.197844,0.006907,-0.011714,-0.023101,342.149826,160.944897,-68.861534,-293.938508,-11.706245,-1.109847,-1.118932,-0.143699,-1.751665,-1.170282,-1.291911,-0.976483,-0.887485,-0.882443,-0.847608,-0.576195,-0.463265,992.855624,-986.672,-29.792,-86.016
1442358964,1.010454,-0.06018,-0.391761,-0.928357,0.09451,-0.002863,0.002127,0.00292,340.441349,159.671401,-70.447084,-292.300071,-9.288223,-1.106716,-1.742522,0.546178,-1.877566,-1.39115,-1.130985,-1.133592,-1.000643,-0.768893,-0.682136,-0.435079,-0.461646,991.207247,-986.992,-29.568,-84.208
1442359024,1.017784,0.161045,-0.34413,-0.926475,0.422195,-0.005099,-0.000385,-0.001535,333.749698,150.191988,-73.845408,-288.743393,-11.22526,-0.810641,-1.217961,0.578753,-1.482175,-1.050041,-1.269507,-0.898197,-1.135563,-0.586116,-0.637615,-0.327421,-0.436257,991.948937,-987.84,-29.632,-83.104
1442359084,1.011951,-0.057841,-0.399425,-0.926333,0.100778,-0.000444,0.001448,0.004136,337.650519,156.490061,-71.829638,-290.443426,-10.65948,-0.929238,-2.008729,0.634927,-2.104826,-1.494999,-1.18279,-1.133435,-1.070818,-0.483207,-0.589075,-0.276599,-0.417954,992.130589,-987.936,-29.104,-84.064
1442359144,1.012301,-0.050709,-0.372618,-0.936704,0.127463,0.002348,-0.005172,0.005868,337.732897,156.440027,-72.037,-290.507331,-12.596956,-1.074588,-1.512278,0.338259,-2.021472,-1.189563,-1.347859,-0.898047,-1.050727,-0.774593,-0.606164,-0.246813,-0.435156,992.343805,-988.096,-29.232,-84.656
1442359204,1.008923,-0.074847,-0.437728,-0.905105,0.088069,-0.000298,-0.001106,0.002365,335.750592,155.567465,-71.839461,-288.727837,-11.621502,-1.742459,-1.250357,0.631126,-2.162443,-1.330842,-1.461187,-0.941019,-1.107134,-0.862318,-0.411677,-0.238072,-0.428298,992.073803,-987.984,-29.088,-83.008
